# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 21:35:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\3_5bhqdi.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=100\realisation5\exponential_priors-20240423223528.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-339.948,1,0.0625,1,1,0,403.859,0.663278,0.713188,1.44795
-339.948,0,14.3855,0,1,1,341.27,0.663278,0.713188,1.44795
-339.948,0,2.43117,0,1,1,342.17,0.663278,0.713188,1.44795
-339.948,2.1635e-028,0.239791,1,2,1,346.128,0.663278,0.713188,1.44795
-341.032,0.973071,0.0186273,2,3,0,341.3,0.68627,0.705038,1.42323
-342.248,0.998918,0.0237411,4,15,0,343.666,0.421103,0.746225,1.28029
-339.789,0.999509,0.0370855,4,15,0,342.708,0.685351,0.659475,1.73276
-341.622,0.899108,0.06289,4,15,0,344.866,0.799847,0.878768,2.51793
-341.622,0.0473567,0.0817709,2,3,0,347.541,0.799847,0.878768,2.51793
-340.944,0.999927,0.007418,5,31,0,343.061,0.701996,0.886583,2.67543
-339.414,0.997654,0.0138202,6,95,0,343.162,0.505165,0.829999,1.66368
-340.021,0.988208,0.0259957,4,19,0,340.962,0.63639,0.707714,1.37155
-339.477,0.997956,0.0478727,2,3,0,340.279,0.576849,0.643086,1.48267
-338.54,0.683881,0.0911769,2,3,0,340.016,0.614014,0.686973,1.52984
-338.154,0.929833,0.0651393,3,15,0,339.456,0.640957,0.888913,1.86127
-337.978,0.866758,0.100539,2,7,0,338.177,0.644802,0.838022,1.87099
-337.978,0.00186904,0.127462,1,3,0,339.151,0.644802,0.838022,1.87099
-338.344,0.999308,0.0115016,5,31,0,338.892,0.673517,0.891435,2.15829
-339.29,0.993534,0.0221755,3,7,0,339.335,0.703961,0.861702,2.31998
-338.377,0.940771,0.0416717,2,7,0,343.636,0.579766,1.00925,2.07696
-338.07,0.969791,0.0663254,3,11,0,339.724,0.567569,0.815708,1.63333
-338.639,0.690753,0.114261,2,3,0,340.037,0.596182,0.783452,1.5071
-338.141,1,0.086145,1,1,0,338.337,0.578564,0.754357,1.57772
-340.049,0.0498803,0.160421,2,3,0,341.058,0.647991,0.64684,1.71692
-338.95,0.999578,0.0191331,5,47,0,341.738,0.623859,1.03075,1.99791
-338.602,0.996995,0.0356979,2,7,0,339.617,0.594671,1.02899,2.00205
-338.638,0.931302,0.0654424,3,7,0,339.257,0.631058,0.739645,1.80738
-338.327,0.325463,0.098758,3,7,0,339.727,0.556954,0.807242,1.70921
-339.363,0.992809,0.0273878,4,23,0,340.593,0.530481,1.02679,1.89579
-338.509,0.984412,0.0490134,2,7,0,340.841,0.579528,1.01391,1.9767
-338.451,0.998092,0.0848972,3,7,0,338.757,0.55334,0.924675,1.75737
-338.451,0.247474,0.151239,1,3,0,338.816,0.55334,0.924675,1.75737
-337.908,0.999515,0.0353334,3,15,0,338.542,0.596158,0.865076,1.88436
-338.239,0.909879,0.0630358,3,7,0,338.76,0.552348,0.870506,1.76231
-338.239,0.17661,0.087849,1,1,0,339.74,0.552348,0.870506,1.76231
-337.95,0.999977,0.0177099,4,15,0,338.434,0.582062,0.867057,1.7493
-339.244,0.985316,0.0313628,3,15,0,339.966,0.713638,0.806296,2.10762
-338.056,1,0.0529912,3,7,0,339.322,0.648372,0.914918,2.11573
-338.008,0.86472,0.0922149,3,9,0,338.272,0.582154,0.801209,1.7164
-340.886,0.0736667,0.112699,2,3,0,342.443,0.478379,0.924176,1.8265
-342.187,0.974608,0.0185587,3,7,0,343.231,0.542907,1.04333,1.66035
-339.257,1,0.0301476,2,3,0,342.233,0.521073,0.953062,1.72009
-338.621,0.988549,0.0517922,3,15,0,339.769,0.685401,0.88221,2.21579
-339.05,0.980284,0.0857981,2,3,0,339.056,0.712687,0.874998,2.24516
-339.05,0.0242424,0.138246,2,3,0,342.697,0.712687,0.874998,2.24516
-339.431,0.999049,0.0214782,5,31,0,339.988,0.580228,1.141,2.18807
-340.529,0.979421,0.0363145,4,15,0,341.203,0.549272,1.1638,2.45003
-341.215,0.991314,0.0581312,3,7,0,341.839,0.748335,0.983507,2.98475
-341.215,0.469321,0.0951045,1,3,0,345.504,0.748335,0.983507,2.98475
-341.237,0.849532,0.0447814,4,23,0,344.134,0.470976,0.796751,1.28764
-338.914,0.986405,0.0521794,4,15,0,341.545,0.574732,0.992995,1.83501
-340.422,0.638737,0.0835851,3,7,0,341.767,0.529638,0.691908,1.19757
-340.835,0.849927,0.0592629,3,7,0,342.526,0.490662,0.613168,1.11989
-341.322,0.799042,0.0687501,3,7,0,342.562,0.674637,0.558473,1.24223
-339.8,1,0.0708141,2,3,0,341.536,0.546161,0.609188,1.28206
-341.147,0.60944,0.115316,2,3,0,341.569,0.514556,0.607699,1.06957
-342.399,0.669386,0.0769679,3,7,0,343.617,0.604668,0.52385,1.01216
-340.529,1,0.0590893,4,31,0,342.831,0.705825,1.21211,3.16185
-339.074,0.872355,0.0954249,3,7,0,340.727,0.638997,1.13425,2.59841
-339.074,0.0102928,0.115296,2,3,0,341.759,0.638997,1.13425,2.59841
-339.241,0.994011,0.0206229,3,15,0,339.439,0.627232,1.0876,2.59766
-340.586,0.941349,0.0327775,3,7,0,341.257,0.728424,1.19588,2.71705
-339.248,0.960589,0.0461688,3,15,0,341.228,0.601694,1.06355,2.47218
-338.767,0.998602,0.0675309,3,15,0,340.268,0.589078,0.69425,1.58844
-338.491,0.890039,0.106757,3,7,0,340.069,0.614311,0.83377,2.00839
-338.491,0.00212253,0.132928,1,3,0,349.405,0.614311,0.83377,2.00839
-339.527,0.997152,0.0247344,4,31,0,341.278,0.501519,0.776526,1.38039
-338.703,0.994223,0.0388844,3,7,0,339.73,0.528697,0.763031,1.50116
-338.703,0.886084,0.0604416,2,7,0,341.659,0.528697,0.763031,1.50116
-339.772,0.943968,0.0744719,3,7,0,340.061,0.493286,0.758439,1.34012
-340.317,0.934932,0.103324,1,1,0,340.376,0.46762,0.758574,1.35848
-340.317,6.70726e-011,0.140177,1,1,0,341.497,0.46762,0.758574,1.35848
-339.044,0.983757,0.0273769,2,7,0,341.438,0.525678,0.72011,1.4616
-338.83,0.962074,0.0412135,4,31,0,339.907,0.602248,1.02571,2.35485
-338.797,0.93386,0.0590897,2,3,0,339.601,0.598013,1.07976,2.34795
-339.046,0.771231,0.079682,2,3,0,339.711,0.614929,1.14866,2.43386
-338.585,0.806261,0.0770282,3,7,0,340.153,0.575719,1.03777,2.12028
-338.2,0.993366,0.0799333,2,3,0,338.707,0.588855,0.990744,2.02683
-338.2,0.000495169,0.120699,2,6,1,339.63,0.588855,0.990744,2.02683
-338.459,0.986359,0.0249814,3,13,0,339.267,0.64644,0.941814,2.29343
-338.859,0.998334,0.0372531,3,7,0,339.025,0.692143,1.0359,2.39725
-340.067,0.95367,0.0566583,3,11,0,343.185,0.585314,0.63714,1.20904
-339.654,1,0.0785936,3,7,0,339.941,0.557833,0.616973,1.22171
-339.654,0.000459329,0.118997,2,7,1,342.749,0.557833,0.616973,1.22171
-337.997,0.991899,0.0255537,4,31,0,341.353,0.638095,0.831606,1.92009
-339.193,0.98339,0.0381312,4,15,0,340.367,0.718181,0.990274,2.38505
-339.406,1,0.0557586,2,3,0,339.629,0.701519,0.947079,2.55016
-340.585,0.933477,0.0838803,2,3,0,341.036,0.756934,0.866616,2.50957
-339.122,0.796378,0.110674,2,3,0,341.5,0.684583,1.0547,2.64387
-339.122,0.0314692,0.11216,2,5,0,340.053,0.684583,1.0547,2.64387
-338.169,0.99819,0.026622,5,63,0,339.636,0.5604,0.823432,1.71568
-339.663,0.9883,0.0397375,3,15,0,340.649,0.514419,0.694867,1.26099
-339.523,0.995182,0.0580112,3,7,0,340.191,0.647158,0.630497,1.39031
-338.666,0.749517,0.085497,2,7,0,341.718,0.634111,0.790573,1.97056
-338.655,1,0.0794284,2,3,0,338.896,0.688299,0.824047,1.88457
