# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 21:39:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\mqfnvniu.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=100\realisation6\exponential_priors-20240423223944.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-280.661,1,0.0625,1,1,0,327.266,0.718139,0.661915,1.44157
-280.661,0,14.3855,0,1,1,282.853,0.718139,0.661915,1.44157
-280.661,0,2.43117,0,1,1,283.76,0.718139,0.661915,1.44157
-280.661,0,0.239791,0,1,1,280.991,0.718139,0.661915,1.44157
-279.908,0.994269,0.0186273,5,47,0,283.24,0.734899,1.24338,2.51911
-279.724,0.973053,0.0252899,4,15,0,281.481,0.691459,1.12586,2.30092
-279.024,0.998092,0.0365591,3,15,0,280.282,0.770403,1.12448,2.32496
-280.193,0.957465,0.0617101,3,7,0,280.917,0.757574,1.28048,2.68139
-279.923,0.121504,0.09637,2,7,0,282.612,0.789715,1.0413,2.50655
-279.144,0.999714,0.0110577,5,63,0,280.202,0.728378,1.07656,2.0325
-280.353,0.981448,0.0205988,4,15,0,280.796,0.671095,1.04798,2.22331
-280.044,0.999916,0.0367959,4,19,0,280.827,0.752703,0.761624,1.77657
-280.143,1,0.0702336,2,3,0,280.716,0.822812,0.815236,1.69024
-280.143,1.08958e-013,0.134397,1,1,0,281.016,0.822812,0.815236,1.69024
-279.495,0.996684,0.0113591,4,31,0,283.188,0.697286,0.859516,1.55393
-279.719,0.991636,0.0218059,4,15,0,280.631,0.637711,0.829894,1.48183
-280.2,0.998064,0.0410291,3,7,0,280.559,0.616494,0.768054,1.39363
-280.723,0.360094,0.0782471,2,3,0,282.839,0.598578,0.767681,1.43768
-280.636,1,0.0214213,2,3,0,280.729,0.60043,0.77024,1.43891
-280.704,0.945072,0.041056,4,23,0,281.975,0.888482,0.992682,2.2033
-283.513,0.578273,0.066197,3,7,0,284.246,0.92975,1.05778,2.19843
-283.833,1,0.0358394,3,7,0,284.812,0.641017,1.22285,1.91136
-283.064,0.728128,0.0675554,2,7,0,285.516,0.650446,1.27294,2.07046
-281.532,0.949426,0.0572011,2,7,0,284.746,0.813562,0.872185,2.32904
-278.84,0.454498,0.0919517,4,15,0,279.97,0.684861,0.916225,1.83773
-279.847,0.970751,0.0356647,3,15,0,284.503,0.7817,1.2401,2.52396
-280.434,0.979125,0.0606976,2,3,0,280.524,0.768954,1.2359,2.79003
-282.647,0.0979898,0.104833,2,5,0,284.795,0.757162,0.914871,2.42311
-282.244,0.994817,0.0154217,3,15,0,284.263,0.725571,0.91289,2.30439
-280.085,0.998115,0.0278864,4,23,0,283.17,0.779606,0.945511,1.76899
-279.242,0.994532,0.0503858,3,15,0,280.63,0.76916,1.12477,2.46095
-279.281,0.905375,0.0892795,2,3,0,279.325,0.777456,1.14512,2.48767
-279.281,0.349308,0.123257,1,3,0,280.012,0.777456,1.14512,2.48767
-279.466,0.987325,0.0383107,2,3,0,279.495,0.765265,1.15022,2.52706
-278.794,0.974072,0.0658191,3,9,0,280.368,0.717226,0.867849,1.83113
-279.054,0.266798,0.10826,1,3,0,279.156,0.772154,0.903494,1.78772
-279.02,0.99828,0.0279147,4,15,0,279.788,0.705548,0.838406,1.58938
-279.634,0.86996,0.048819,2,7,0,280.488,0.680733,0.817871,1.47301
-278.917,0.996598,0.0608698,3,7,0,279.783,0.723195,0.830651,1.76757
-278.917,0.28293,0.104443,1,3,0,280.948,0.723195,0.830651,1.76757
-279.182,0.985159,0.0292194,2,3,0,279.267,0.720753,0.82526,1.7976
-278.627,1,0.0485756,2,3,0,279.124,0.730578,0.869826,1.74438
-278.627,0.363048,0.083159,1,3,0,280.207,0.730578,0.869826,1.74438
-280.104,0.904886,0.029203,2,3,0,280.236,0.700278,0.838575,1.89068
-279.186,0.981987,0.0394015,3,15,0,282.053,0.773702,0.896015,2.07053
-280.918,0.756551,0.0638778,3,7,0,282.631,0.72348,1.32626,2.71388
-282.245,0.772774,0.0595683,3,15,0,285.704,0.845607,0.721737,1.47206
-280.105,0.991568,0.0578061,4,15,0,283.695,0.850372,0.865433,2.12054
-279.79,0.135594,0.0946338,3,15,0,282.233,0.8255,1.06939,2.1752
-280.413,0.991484,0.0201856,3,7,0,280.889,0.746099,1.07549,2.53174
-279.704,0.992479,0.0330419,4,31,0,282.484,0.70056,0.854448,1.88959
-278.999,0.984751,0.0538495,3,15,0,280.294,0.783486,0.956781,2.18436
-278.899,0.544199,0.0856328,3,11,0,279.382,0.67651,0.905326,1.79009
-278.725,0.951325,0.0488915,4,19,0,282.21,0.748875,0.893537,1.94361
-278.839,0.938324,0.0715976,2,7,0,279.021,0.769043,0.895302,1.80533
-278.839,0.0333076,0.101278,1,3,0,280.269,0.769043,0.895302,1.80533
-279.245,0.999291,0.0183185,5,47,0,279.83,0.715493,0.776002,1.6414
-278.966,0.999672,0.0298425,4,23,0,279.965,0.738899,1.08796,2.29071
-279.249,0.933412,0.0483592,2,7,0,280.536,0.720934,1.01503,2.21236
-279.395,0.957259,0.0672122,1,3,0,279.716,0.730094,1.01159,2.25481
-280.426,0.0576923,0.0980759,2,7,0,281.552,0.726003,1.00735,2.35539
-283.824,0.953451,0.019686,3,15,0,285.769,0.738423,0.966771,2.57896
-279.707,0.987795,0.0285575,2,7,0,284.495,0.835565,1.01597,2.43758
-279.504,0.988053,0.04444,3,7,0,280.697,0.676649,1.09869,2.14117
-279.536,1,0.0688337,3,7,0,280.033,0.83476,1.10033,2.45953
-279.321,0.466778,0.108835,2,3,0,279.6,0.788444,1.16185,2.4792
-280.133,0.870827,0.0547475,2,3,0,280.572,0.850854,1.15749,2.67676
-281.061,0.801434,0.0655068,2,7,0,281.835,0.893584,1.12278,2.48146
-280.109,0.993117,0.0675416,3,7,0,281.5,0.711944,1.09048,1.92861
-279.266,0.505068,0.104164,2,3,0,279.682,0.672722,1.04695,1.95202
-280.315,0.993791,0.0576035,3,15,0,280.93,0.724895,0.668592,1.37293
-280.805,0.481319,0.0886047,2,3,0,281.08,0.734222,0.654892,1.45287
-280.192,1,0.0469707,3,7,0,281.009,0.777754,0.707532,1.4805
-281.4,0.664865,0.0729094,3,7,0,281.817,0.731289,0.68662,1.63187
-280.049,0.976029,0.0567033,2,7,0,281.935,0.821957,0.777538,1.67844
-279.636,0.551105,0.0833425,3,7,0,281.098,0.685089,0.771318,1.42547
-279.298,0.940879,0.0515513,3,11,0,281.113,0.659949,0.937499,1.86357
-281.431,0.482907,0.0703277,2,3,0,281.927,0.656316,0.886576,1.97574
