# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 21:46:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\y8od2khe.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=100\realisation7\exponential_priors-20240423224626.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-360.029,1,0.0625,2,3,0,424.276,0.7611,0.625369,1.47748
-360.029,0,14.3855,0,1,1,361.216,0.7611,0.625369,1.47748
-360.029,0,2.43117,0,1,1,360.975,0.7611,0.625369,1.47748
-360.029,1.25013e-085,0.239791,1,1,0,361.152,0.7611,0.625369,1.47748
-359.629,0.999984,0.0186273,3,7,0,360.068,0.756665,0.622701,1.51656
-360.417,0.95338,0.0257245,4,31,0,362.321,0.894977,0.690736,2.09268
-360.764,0.999869,0.0350297,4,15,0,361.512,0.659179,0.762757,1.76782
-362.813,0.777237,0.0594143,2,3,0,363.605,0.605523,0.819805,1.76082
-359.576,0.922043,0.0526421,2,7,0,363.961,0.831709,0.701078,1.91694
-360.94,0.69851,0.0754554,3,11,0,361.534,0.89661,0.541859,1.64947
-361.3,0.985219,0.0543704,2,3,0,361.598,0.909717,0.528278,1.64245
-359.74,0.946791,0.0981784,3,7,0,360.57,0.726897,0.631066,1.48703
-359.74,0.113631,0.15806,1,3,0,359.948,0.726897,0.631066,1.48703
-359.738,0.99951,0.0187157,4,23,0,360.79,0.761428,0.518395,1.4704
-359.982,0.971648,0.0360868,4,31,0,360.469,0.706768,0.600951,1.63755
-360.574,0.994164,0.0636388,3,11,0,361.004,0.721566,0.489668,1.38158
-360.729,0.65199,0.119783,2,3,0,360.908,0.844135,0.472918,1.37853
-362.586,0.428596,0.0787583,2,3,0,364.073,0.81902,0.378042,1.37926
-360.159,0.981326,0.0265344,5,31,0,364.379,0.712523,0.605495,1.71462
-362.32,0.991642,0.0479969,4,31,0,363.336,0.779082,0.386521,1.29356
-361.824,0.874822,0.088801,3,7,0,363.679,0.615736,0.562739,1.24608
