# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 21:50:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\tz9a2xtn.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=100\realisation8\exponential_priors-20240423225041.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-323.586,1,0.0625,1,1,0,383.807,0.717924,0.684548,1.58982
-323.586,0,14.3855,0,1,1,325.866,0.717924,0.684548,1.58982
-323.586,0,2.43117,0,1,1,325.034,0.717924,0.684548,1.58982
-323.586,0.0215272,0.239791,1,3,1,324.224,0.717924,0.684548,1.58982
-324.231,0.994785,0.0198089,4,31,0,324.569,0.54134,0.865091,1.4569
-323.19,0.984418,0.0270078,3,15,0,326.588,0.584783,0.939541,1.86735
-323.635,0.984394,0.0404968,2,3,0,323.822,0.571611,0.97499,1.89949
-322.938,0.857168,0.0656146,3,7,0,324.347,0.663627,0.937562,1.83471
-323.561,0.601157,0.0748089,2,3,0,324.267,0.589977,0.885464,1.89547
-323.63,0.998918,0.0389913,3,7,0,324.015,0.680998,0.821205,2.01229
-322.608,0.958232,0.0725788,2,3,0,324.75,0.635319,0.933042,1.8672
-322.608,0.00105898,0.120309,2,5,1,324.837,0.635319,0.933042,1.8672
-322.973,0.995208,0.00984888,4,31,0,323.988,0.663537,0.94411,1.84507
-322.711,0.999872,0.0187275,4,31,0,323.201,0.62204,0.829545,1.79057
-323.012,0.941996,0.0361502,3,7,0,324.131,0.590821,0.87206,1.80174
-322.815,0.995743,0.0581541,2,7,0,323.785,0.615136,0.904953,1.8968
-325.498,0.226938,0.110061,2,3,0,327.176,0.778991,0.756889,2.09003
-327.931,0.982775,0.0197705,5,47,0,328.697,0.449225,0.76828,1.14432
-325.332,1,0.0361034,3,15,0,328.666,0.486203,0.679259,1.16991
-322.623,0.766842,0.0689064,4,15,0,326.757,0.631943,0.827469,1.79598
-326.257,0.824865,0.0650275,3,15,0,327.968,0.49773,0.601488,1.17486
-325.776,1,0.072997,2,3,0,326.489,0.535899,0.646568,1.05903
-325.776,2.87039e-005,0.136771,1,3,0,326.584,0.535899,0.646568,1.05903
-323.097,0.999931,0.0138691,5,31,0,326.68,0.704321,0.836207,1.72594
-323.855,0.993573,0.0261014,4,15,0,324.34,0.679383,0.808935,2.00934
-325.746,0.762504,0.047744,2,7,0,327.648,0.655356,0.732924,1.94235
-323.186,0.989038,0.0449338,2,7,0,325.631,0.707411,0.809069,1.67642
-323.445,0.899055,0.0800021,2,7,0,323.838,0.670842,0.777676,1.87756
-324.21,0.359114,0.109806,2,7,0,326.241,0.551388,0.670774,1.38119
-322.954,1,0.0337514,3,7,0,324.236,0.613603,0.720121,1.37233
-323.374,0.691741,0.0612012,3,7,0,326.359,0.676802,0.651251,1.45581
-323.528,0.975848,0.0475722,3,11,0,324.961,0.71241,0.683177,1.52614
-323.739,0.932891,0.0798168,3,7,0,324.359,0.597104,1.04951,2.04349
-323.168,0.592033,0.118391,2,3,0,324.464,0.710961,0.900338,2.08208
-323.214,0.997937,0.0706977,1,1,0,323.25,0.714846,0.902574,2.08883
-323.112,0.95892,0.123744,2,3,0,323.667,0.621193,0.996418,1.90659
-323.112,2.22043e-022,0.193896,1,2,1,325.488,0.621193,0.996418,1.90659
-323.124,0.985588,0.0252104,4,23,0,324.999,0.640398,0.665025,1.35234
-323.682,0.984505,0.0425189,3,7,0,323.909,0.626375,0.610256,1.26045
-323.681,0.812733,0.0709348,3,7,0,324.26,0.620857,0.611142,1.2521
-323.914,0.895725,0.0760328,4,15,0,324.744,0.539593,0.677595,1.29961
-323.36,0.351662,0.100261,3,7,0,323.959,0.552682,0.719565,1.34949
-322.559,0.999903,0.0339214,3,7,0,323.442,0.628506,0.745206,1.48464
-322.35,0.999472,0.0579727,3,15,0,322.619,0.649084,0.817023,1.67901
-324.072,0.486118,0.0981957,4,15,0,325.591,0.56797,0.892326,1.51463
-324.311,0.977069,0.0471844,2,3,0,325.038,0.540421,0.867852,1.74347
-325.29,1,0.0752255,2,3,0,326.192,0.54206,1.04303,1.7484
-323.429,0.333333,0.125894,1,3,0,326.364,0.654314,0.92947,1.72792
-322.827,0.981541,0.0425417,4,23,0,324.282,0.582353,0.85674,1.5969
-324.007,0.924085,0.0679098,2,3,0,324.464,0.537155,0.905681,1.57875
-323.688,0.847618,0.0940678,2,7,0,325.145,0.605509,0.805147,1.41595
-323.688,0.0112682,0.108455,2,3,0,326.028,0.605509,0.805147,1.41595
-325.076,0.996316,0.017835,4,23,0,326.604,0.490015,0.838524,1.47696
-323.413,0.999057,0.0292457,3,7,0,325.273,0.544484,0.785908,1.42242
-323.271,0.977466,0.0479463,3,15,0,326.294,0.616947,0.652677,1.29409
-323.805,0.967783,0.0743467,1,3,0,324.377,0.591522,0.631147,1.19469
-323.805,0.0478587,0.112145,2,5,0,326.55,0.591522,0.631147,1.19469
-323.882,0.988285,0.0211663,4,23,0,326.619,0.545247,0.664992,1.23046
-324.056,0.923762,0.0335059,4,15,0,325.597,0.60558,0.631856,1.17758
-322.896,0.991652,0.0456795,3,11,0,325.552,0.586255,0.872985,1.61099
-322.893,0.954088,0.0720929,2,7,0,324.03,0.700031,0.837641,1.9273
-322.893,0.000863271,0.104175,2,7,0,325.63,0.700031,0.837641,1.9273
-322.653,0.999537,0.0186311,4,15,0,323.134,0.670308,0.92458,1.91246
-322.749,0.996365,0.0298162,3,15,0,322.895,0.662933,0.95324,1.94702
-323.054,0.985766,0.0471277,3,15,0,323.664,0.710346,0.791399,1.84904
-322.982,0.989787,0.0724243,2,3,0,323.39,0.713314,0.820618,1.88081
-322.575,0.866512,0.111705,2,3,0,322.941,0.686055,0.823825,1.79407
-323.605,0.496126,0.131916,2,7,0,324.364,0.718607,0.69103,1.63912
-323.605,0.859751,0.071049,2,7,0,326.288,0.718607,0.69103,1.63912
-324.145,0.842788,0.0827528,1,1,0,324.209,0.711853,0.668072,1.67609
-324.245,0.728861,0.0928608,3,7,0,325.38,0.761478,0.926213,2.04336
-324.749,0.374372,0.0821026,2,3,0,326.459,0.610116,0.823761,1.96256
-323.569,0.9817,0.0348961,3,7,0,325.511,0.594006,0.840382,1.83752
-322.507,0.973769,0.0522449,3,11,0,324.041,0.62503,0.758283,1.59427
-323.009,0.559254,0.0766281,2,7,0,324.534,0.716577,0.811179,1.79234
-323.228,0.97719,0.0481001,3,7,0,323.87,0.713783,0.824388,1.96544
-323.051,0.926872,0.0707766,3,11,0,324.332,0.678143,0.777921,1.54867
-323.04,0.855672,0.0937165,3,7,0,323.364,0.689472,0.941301,2.11167
-323.04,0.091793,0.107255,2,7,1,326.531,0.689472,0.941301,2.11167
