# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 21:55:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\wki849s8.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=100\realisation9\exponential_priors-20240423225545.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-325.82,1,0.0625,2,5,0,397.566,0.793896,0.643691,1.78114
-325.82,0,14.3855,0,1,1,326.644,0.793896,0.643691,1.78114
-325.82,0,2.43117,0,1,1,327.534,0.793896,0.643691,1.78114
-325.82,1.37297e-028,0.239791,1,1,0,326.7,0.793896,0.643691,1.78114
-323.698,0.992345,0.0186273,4,15,0,327.496,0.717449,0.657719,1.52844
-324.099,0.977485,0.0251453,3,7,0,324.778,0.716834,0.659869,1.42642
-322.39,0.998213,0.0368411,4,15,0,324.664,0.623685,0.782082,1.74173
-322.227,0.991276,0.0622173,2,7,0,323.53,0.691364,0.79674,1.80389
-321.865,0.717466,0.108063,2,7,0,322.398,0.650972,0.862023,1.86598
-321.933,0.995524,0.0814662,3,7,0,322.01,0.620039,0.892113,1.76889
-321.933,1.00518e-005,0.150177,1,1,0,322.807,0.620039,0.892113,1.76889
-324.391,0.996589,0.0120571,5,63,0,325.502,0.489969,0.83507,1.43937
-324.912,0.982633,0.0228506,4,31,0,326.038,0.730566,0.618373,1.36852
-322.733,0.999694,0.0416151,4,15,0,326.007,0.674441,0.729613,1.72883
-323.334,0.818482,0.0799352,3,15,0,323.943,0.707236,0.953459,1.88458
-324.125,0.814419,0.0872633,2,7,0,324.47,0.577816,0.821637,1.87607
-324.389,0.143489,0.0942679,2,7,0,327.458,0.640654,0.704178,1.78705
-324.19,0.998645,0.0131389,4,31,0,326.176,0.710993,0.692903,1.84276
-323.374,1,0.0252552,3,7,0,324.561,0.742214,0.773984,1.72873
