# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 23:36:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\eci4czsv.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=200\realisation0\exponential_priors-20240424003634.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-281.707,1,0.0625,2,3,0,332.156,0.767032,0.612975,1.62736
-281.707,0,14.3855,0,1,1,283.054,0.767032,0.612975,1.62736
-281.707,0,2.43117,0,1,1,282.847,0.767032,0.612975,1.62736
-281.707,0,0.239791,0,1,1,282.876,0.767032,0.612975,1.62736
-282.223,0.996272,0.0186273,5,31,0,283.797,0.728085,0.822314,1.29706
-280.716,0.988373,0.0254414,4,15,0,283.343,0.708125,0.82116,1.32232
-275.239,1,0.0385507,3,7,0,280.336,0.770464,0.805919,1.71892
-274.252,0.977534,0.0655169,2,7,0,278.837,0.832895,1.06947,2.2322
-274.558,0.458924,0.109039,1,3,0,275.102,0.881184,1.06103,2.57321
-274.518,0.987662,0.0363346,3,11,0,275.641,0.908576,0.920964,2.23488
-276.839,0.53253,0.0652622,2,3,0,277.998,1.00819,0.889914,2.18314
-276.508,1,0.0281984,3,7,0,277.417,1.00194,0.864627,2.2227
-275.526,0.989749,0.0538807,2,7,0,277.317,0.960765,0.926862,2.18361
-275.677,0.156989,0.0999607,2,7,0,278.075,0.981665,1.02826,2.63657
-274.098,0.999691,0.0138063,5,63,0,276.652,0.836249,0.933375,2.1152
-275.218,0.94047,0.0267189,3,15,0,276.133,0.880935,0.885762,2.29933
-274.663,0.955876,0.0428896,2,3,0,275.588,0.918948,0.911477,2.22451
-275.515,0.685014,0.0718833,2,3,0,275.883,0.943374,0.976708,2.17061
-276.445,0.852688,0.0527135,3,11,0,278.083,0.840449,0.792765,2.07911
-280.631,0.757559,0.0644156,2,7,0,282.717,0.904923,0.706104,2.26188
-279.442,0.919294,0.0591629,2,7,0,282.098,0.906602,0.812771,1.56452
-275.443,0.863929,0.0878713,3,7,0,276.533,0.732819,0.844368,1.69727
-279.008,0.174085,0.110311,2,7,0,281.784,0.656765,0.709864,1.30345
-276.566,0.979687,0.0185856,4,15,0,280.176,0.886545,0.769703,1.63548
-276.017,0.998777,0.0329134,2,7,0,277.319,0.85751,0.79414,1.64557
-274.503,1,0.0609853,3,15,0,276.46,0.86821,1.07749,2.27092
-274.503,1.02992e-005,0.112242,1,1,0,275.491,0.86821,1.07749,2.27092
-274.207,0.995654,0.0123275,4,15,0,275.419,0.822837,0.960091,2.19186
-274.82,0.992588,0.0224957,4,23,0,275.925,0.779471,0.847493,1.75967
-275.494,0.973715,0.0403002,3,15,0,276.941,0.94324,0.901259,2.41398
-274.782,0.82822,0.0679002,2,7,0,276.297,0.937067,1.00473,2.46377
-276.424,0.678999,0.0763965,2,3,0,277.115,0.742263,1.19411,2.17001
-274.083,0.831948,0.0573924,2,7,0,277.466,0.852062,1.04671,2.34942
-274.026,0.487344,0.0651787,2,3,0,275.769,0.846374,1.03055,2.27194
-274.21,0.991487,0.0296327,3,15,0,275.441,0.813898,0.925527,1.94979
-279.661,0.351907,0.0513483,2,7,0,281.897,0.835124,0.777258,2.27895
