# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 23:42:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\_wlxmz1j.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=200\realisation1\exponential_priors-20240424004230.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-276.343,1,0.0625,2,7,0,312.328,0.969485,0.516794,2.07018
-276.343,0,14.3855,0,1,1,278.052,0.969485,0.516794,2.07018
-276.343,0,2.43117,0,1,1,277.518,0.969485,0.516794,2.07018
-276.343,0,0.239791,0,1,1,277.993,0.969485,0.516794,2.07018
-271.363,0.997587,0.0186273,3,7,0,277.144,1.01497,0.53077,1.92847
-275.082,0.949517,0.0255414,2,3,0,275.616,1.00863,0.491811,1.93543
-262.37,0.995793,0.0343647,3,7,0,276.029,1.03955,0.733484,1.65653
-258.291,0.99792,0.0575333,3,7,0,262.201,0.460454,0.787359,1.08779
-254.554,0.221881,0.101959,1,3,0,260.246,0.57379,0.740509,1.30834
-254.015,0.997548,0.0160668,3,7,0,254.972,0.583711,0.780586,1.21974
-253.709,0.973207,0.0297411,4,15,0,254.665,0.63746,0.707245,1.30377
-252.995,0.997932,0.0517404,3,15,0,254.18,0.62791,0.860089,1.54272
-252.995,7.66527e-005,0.0980429,2,3,0,256.248,0.62791,0.860089,1.54272
-252.871,0.998996,0.00814888,4,23,0,254.147,0.617042,0.886412,1.51838
-253.47,0.985478,0.015759,3,7,0,253.655,0.61854,0.862604,1.56891
-253.429,0.991781,0.0291595,4,15,0,255.03,0.708858,0.925245,1.83987
-252.431,0.891695,0.0547794,2,7,0,253.931,0.722289,0.862247,1.63417
-252.431,0.00118092,0.0753315,1,3,0,256.341,0.722289,0.862247,1.63417
-253.048,0.99975,0.00695205,5,31,0,253.163,0.7826,0.812232,1.56327
