# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 23:48:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\fnwxya7g.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=200\realisation2\exponential_priors-20240424004840.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-146.764,1,0.0625,2,3,0,164.862,0.753416,1.13937,1.36211
-146.764,0,14.3855,0,1,1,150.032,0.753416,1.13937,1.36211
-146.764,0,2.43117,0,1,1,147.453,0.753416,1.13937,1.36211
-146.764,0,0.239791,0,1,1,147.519,0.753416,1.13937,1.36211
-129.324,1,0.0186273,2,7,0,146.419,0.715717,1.01234,1.45425
-126.102,1,0.0257257,3,7,0,129.38,0.677753,1.00257,1.52555
-126.55,0.98617,0.0404064,3,7,0,126.771,0.636651,0.931265,1.5528
-126.55,0.028732,0.0658287,3,11,0,128.222,0.636651,0.931265,1.5528
-126.038,0.999541,0.00555502,6,63,0,127.179,0.60244,1.07282,1.52888
-125.451,0.990448,0.0100602,5,47,0,128.28,0.716922,1.33782,1.97105
-123.881,0.975948,0.018197,3,7,0,127.301,0.661983,1.31898,2.00433
-124.031,0.920254,0.0319502,4,23,0,126.293,0.672169,1.4051,2.30666
-124.574,0.922611,0.0474737,4,15,0,125.498,0.797344,1.40974,2.3831
-124.908,0.769514,0.0713962,3,15,0,125.199,0.607381,1.09036,1.62518
-125.931,0.968026,0.0667077,3,7,0,126.456,0.537142,1.18929,1.68686
-125.931,1.03566e-009,0.115876,1,2,1,128.746,0.537142,1.18929,1.68686
-126.823,0.993914,0.0101947,4,31,0,128.528,0.505657,1.18122,1.72407
-127.999,0.998927,0.0193963,4,31,0,128.917,0.755132,0.885597,1.55298
-127.941,0.985426,0.0372025,4,15,0,129.617,0.685824,0.876222,1.38007
-127.941,0.319648,0.0679442,1,1,0,129.195,0.685824,0.876222,1.38007
-127.36,0.984303,0.0169047,4,15,0,129.14,0.567086,1.0084,1.40081
-128.393,0.862045,0.0307484,2,3,0,129.811,0.550262,0.993426,1.34537
-126.439,0.85868,0.0387302,2,3,0,128.958,0.56606,0.973612,1.44703
-124.623,0.589583,0.0481554,3,11,0,130.483,0.74529,1.35075,2.0926
-124.507,0.970595,0.0274843,3,7,0,125.682,0.667689,1.36133,2.31383
-124.025,0.991652,0.0470583,3,7,0,124.691,0.646352,1.39287,2.12982
-124.136,0.666002,0.0847729,1,1,0,124.665,0.666647,1.39041,2.09662
-123.838,1,0.0605897,2,7,0,124.198,0.659094,1.25671,2.07222
-123.838,0.0611525,0.110417,2,4,1,128.461,0.659094,1.25671,2.07222
-124.313,0.981239,0.0149046,4,23,0,125.735,0.772777,1.25577,2.07428
-125.601,0.944774,0.0258484,3,15,0,127.351,0.62231,1.0512,1.77142
-125.828,0.920609,0.040233,2,3,0,126.492,0.680452,1.17491,1.70259
-125.881,1,0.0582501,3,9,0,126.216,0.792818,1.49993,2.34548
-125.881,1.15649e-007,0.103634,1,3,1,126.17,0.792818,1.49993,2.34548
-127.359,0.98913,0.0128998,4,15,0,128.791,0.680681,1.53844,2.76718
-124.153,0.973909,0.0223623,3,15,0,130.322,0.655749,1.3741,2.06079
-124.224,0.943932,0.0369305,3,15,0,126.221,0.653346,1.13307,1.87673
-123.673,0.966979,0.0559888,3,11,0,124.462,0.700125,1.36621,2.25828
-123.718,0.329217,0.0894705,1,3,0,124.137,0.712502,1.28949,2.18831
-124.578,0.995956,0.0279313,4,31,0,125.99,0.742849,1.1293,1.84107
-124.887,0.913291,0.0479269,3,7,0,125.362,0.582254,1.21607,1.76417
-124.337,0.894361,0.066276,3,7,0,127.187,0.771727,1.44257,2.47766
-124.337,0.132862,0.0869961,1,3,0,125.694,0.771727,1.44257,2.47766
-123.636,0.995205,0.0172784,5,31,0,125.733,0.686336,1.20528,1.93025
-123.688,0.988039,0.0292139,3,15,0,124.563,0.736777,1.28651,2.16437
-124.572,0.801273,0.0481681,3,7,0,125.756,0.682791,1.30855,1.94073
-124.774,0.934012,0.0501568,2,7,0,127.644,0.601757,1.31731,2.10148
-126.495,0.244732,0.0718208,2,5,0,127.389,0.62196,1.34489,1.84503
-125.732,0.998873,0.0197152,3,15,0,128.04,0.714166,1.17344,2.17582
-125.454,0.900662,0.0329638,2,3,0,127.761,0.702735,1.21593,2.2235
-125.883,0.928934,0.0434177,3,7,0,129.718,0.781387,1.23159,2.35522
-126.675,0.951512,0.0608671,3,7,0,127.911,0.68459,1.7139,2.54303
-126.339,0.341993,0.0895188,1,3,0,127.341,0.721993,1.74458,2.7744
-123.498,0.997289,0.0320203,4,15,0,127.324,0.688754,1.29411,2.10291
-124.382,0.981081,0.0522522,3,7,0,124.481,0.637701,1.09565,1.70077
-124.817,0.830366,0.0816502,3,7,0,126.804,0.780828,1.1395,1.97344
-124.817,0.0383899,0.0901341,1,1,0,125.396,0.780828,1.1395,1.97344
-124.729,0.994872,0.0166752,4,15,0,125.413,0.767974,1.14649,2.0409
-124.931,0.989533,0.0268279,4,15,0,126.038,0.581462,1.15288,1.80921
-123.689,0.968063,0.0423999,3,15,0,125.322,0.671106,1.20922,1.89974
-125.452,0.373577,0.0635414,2,5,0,125.644,0.653589,1.12494,1.97335
-126.029,0.985376,0.0256204,4,27,0,128.462,0.633378,1.4799,2.48338
-124.315,0.781951,0.0397929,3,7,0,128.151,0.760303,1.47421,2.42192
-123.767,0.984994,0.0395025,4,15,0,124.885,0.683947,1.21225,2.02794
-124.127,0.845971,0.0608236,2,3,0,124.46,0.760529,1.20606,2.0442
-123.552,1,0.0691077,2,3,0,124.121,0.683918,1.24307,1.98
-123.552,0.00269625,0.108971,1,3,0,124.45,0.683918,1.24307,1.98
-124.393,0.978561,0.0205116,4,23,0,124.84,0.781609,1.31679,2.17105
-123.624,0.998761,0.0309529,3,15,0,125.211,0.671466,1.2899,2.10802
-124.486,0.982505,0.0485111,3,15,0,125.642,0.72193,1.53576,2.53442
-124.486,0.116077,0.073123,1,1,0,125.365,0.72193,1.53576,2.53442
-124.297,0.997622,0.0180901,5,31,0,125.144,0.601288,1.19028,1.84071
-123.884,0.998308,0.0281514,4,15,0,124.492,0.632932,1.25566,1.91441
-124.143,0.789105,0.043662,2,7,0,125.192,0.642145,1.17242,1.77791
-128.702,0.97371,0.0439126,3,7,0,128.886,0.635735,0.841945,1.27965
-128.289,1,0.0643225,1,1,0,128.629,0.621901,0.840397,1.31116
-128.289,0.0108107,0.0989808,1,3,1,129.697,0.621901,0.840397,1.31116
-124.382,0.993326,0.0206163,4,31,0,129.678,0.633558,1.10533,1.78692
-123.977,0.812553,0.031338,4,15,0,127.932,0.650125,1.19933,1.97359
-128.534,0.625661,0.0330578,3,7,0,129.017,0.734124,1.42849,1.99346
-128.116,1,0.0240363,2,7,0,129.375,0.740209,1.39766,1.97332
-124.368,1,0.0367552,2,7,0,127.481,0.706189,1.29735,2.27933
-124.996,0.63277,0.0559694,3,9,0,126.752,0.642047,1.35176,1.94357
-123.917,0.994795,0.0413361,3,7,0,125.125,0.652572,1.361,2.07415
-124.476,0.808109,0.0620145,3,9,0,125.112,0.631567,1.1872,1.9694
