# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 23:55:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\7xjpo06l.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=200\realisation3\exponential_priors-20240424005543.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-321.053,1,0.0625,2,3,0,378.578,0.81431,0.588129,1.55272
-321.053,0,14.3855,0,1,1,322.595,0.81431,0.588129,1.55272
-321.053,0,2.43117,0,1,1,322.572,0.81431,0.588129,1.55272
-321.053,0,0.239791,0,1,1,321.596,0.81431,0.588129,1.55272
-320.451,0.989605,0.0186273,3,15,0,322.794,0.919621,0.598524,1.53266
-320.45,0.996348,0.0249407,5,31,0,321.194,0.838263,0.570974,1.34796
-321.613,0.778044,0.0387053,1,3,0,322.791,0.789428,0.547011,1.39599
-322.387,0.954696,0.032967,2,7,0,323.345,0.76355,0.526794,1.32664
-321.666,0.995387,0.050729,2,7,0,322.96,0.858236,0.51488,1.16532
-319.961,0.729773,0.0916482,3,15,0,321.862,0.867711,0.6169,1.53778
-319.605,0.53383,0.0729204,3,11,0,322.71,0.92226,0.790974,2.26585
-321.564,0.986526,0.0316331,4,31,0,322.285,1.02935,0.615332,2.03428
-321.545,0.995564,0.0579124,2,3,0,321.992,0.987591,0.613737,2.10294
-321.046,0.170851,0.109382,2,5,0,322.525,0.927223,0.604189,1.89568
-320.807,0.998759,0.0157671,3,7,0,321.317,0.941331,0.604678,1.87028
-320.276,0.98604,0.0304,3,11,0,323.56,0.868122,0.701733,1.57051
-322.212,0.756587,0.0560936,3,15,0,323.349,0.90605,0.764851,1.6145
-320.046,1,0.0510493,2,3,0,321.743,0.859938,0.730725,1.63778
-319.558,1,0.0974976,3,7,0,319.667,0.890045,0.687422,1.80916
