# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 00:01:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ac3h3rpm.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=200\realisation4\exponential_priors-20240424010126.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-328.653,1,0.0625,2,3,0,385.936,0.743108,0.582381,1.40584
-328.653,0,14.3855,0,1,1,332.591,0.743108,0.582381,1.40584
-328.653,0,2.43117,0,1,1,333.65,0.743108,0.582381,1.40584
-328.653,2.31188e-039,0.239791,1,2,1,330.798,0.743108,0.582381,1.40584
-328.565,0.999784,0.0186273,4,31,0,329.671,0.755579,0.553402,1.14742
-330.374,0.934229,0.0257092,3,7,0,331.567,0.757721,0.496042,1.34041
-328.382,0.972374,0.0330144,3,7,0,331.798,0.781979,0.564885,1.3278
-328.688,0.950821,0.0513526,2,3,0,328.853,0.810028,0.584245,1.35434
-332.863,0.548611,0.0783989,3,15,0,333.875,0.535625,0.493674,0.737944
-332.339,0.999605,0.0346224,4,15,0,334.577,0.512885,0.395162,0.683596
-329.779,0.445641,0.0645761,2,5,0,336.59,0.664958,0.43192,0.819613
-328.349,0.998555,0.0212054,5,31,0,331.21,0.74091,0.511023,1.1114
-328.249,0.978187,0.0403692,3,15,0,328.783,0.677831,0.541297,1.14413
-328.858,0.996248,0.0723199,3,11,0,329.668,0.768443,0.684231,1.65003
-328.858,1.27639e-024,0.137013,1,1,0,332.731,0.768443,0.684231,1.65003
-328.811,0.998874,0.0118038,5,31,0,329.19,0.771033,0.733999,1.60693
-328.791,0.977453,0.0228064,4,31,0,330.413,0.729944,0.616377,1.19444
-328.674,0.997592,0.0410187,2,7,0,329.581,0.76281,0.531324,1.29626
-328.53,0.991789,0.077903,2,3,0,328.756,0.764727,0.543001,1.30927
-328.53,5.7818e-047,0.144167,1,1,0,331.985,0.764727,0.543001,1.30927
-328.271,0.998606,0.0137451,6,63,0,328.905,0.676452,0.543979,1.15259
-328.848,0.998832,0.0261264,4,23,0,329.116,0.637496,0.640344,1.15864
-330.906,0.833799,0.04921,2,3,0,330.961,0.569448,0.608584,1.22347
