# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 00:06:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\q2otayst.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=200\realisation5\exponential_priors-20240424010609.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-321.777,1,0.0625,1,1,0,381.32,0.775381,0.620474,1.60051
-321.777,0,14.3855,0,1,1,322.582,0.775381,0.620474,1.60051
-321.777,0,2.43117,0,1,1,323.418,0.775381,0.620474,1.60051
-321.777,5.89532e-224,0.239791,1,1,0,322.107,0.775381,0.620474,1.60051
-321.974,0.997337,0.0186273,3,7,0,322.135,0.773837,0.617233,1.61952
-321.417,0.99953,0.0255223,3,7,0,322.105,0.790581,0.635202,1.62482
-318.728,0.943107,0.0400207,4,15,0,324.147,0.663297,0.984905,2.06154
-319.046,0.900628,0.0570121,3,15,0,320.724,0.819102,1.05124,2.96797
-319.424,0.643032,0.0744127,2,7,0,321.927,0.830639,1.42537,3.22731
-322.34,0.941596,0.044267,3,7,0,322.774,0.664653,1.50954,3.29959
-318.277,1,0.0687505,4,15,0,322.127,0.830593,1.22193,2.92479
-318.277,0.000964615,0.130044,1,3,0,320.694,0.830593,1.22193,2.92479
-319.373,0.993758,0.0106401,4,23,0,320.029,0.846869,1.33672,3.01069
-319.038,0.997827,0.0201333,3,7,0,319.882,0.813728,1.33892,2.93297
-319.155,0.99856,0.0386016,4,31,0,320.324,0.763818,0.788674,1.9598
-318.883,0.964486,0.0739619,4,15,0,319.36,0.77948,0.848239,1.86474
-318.883,0.0125555,0.126932,2,3,0,320.283,0.77948,0.848239,1.86474
-319.291,0.999819,0.0118342,4,15,0,319.392,0.74932,0.770788,1.87045
-319.711,0.973774,0.022847,3,7,0,320.822,0.839876,0.845348,1.94532
-319.379,0.987959,0.0404479,4,15,0,322.376,0.855151,0.900178,2.57778
-318.422,0.988364,0.0741212,2,7,0,320.403,0.737092,0.98697,2.01315
-318.422,0.00019115,0.134774,1,3,1,319.307,0.737092,0.98697,2.01315
-319.261,0.999122,0.0134013,5,63,0,319.682,0.836752,0.906075,2.57378
-319.188,0.998146,0.0252899,4,23,0,320.662,0.87052,0.992013,2.85302
-319.018,0.999174,0.0471088,4,15,0,320.209,0.652459,0.961387,1.87686
-319.071,0.184729,0.0871198,2,7,0,320.837,0.868326,0.908919,2.37208
-317.843,0.999896,0.0158756,4,31,0,319.51,0.772895,0.986561,2.34998
-322.375,0.993032,0.0293994,5,31,0,322.659,0.914631,1.66339,4.86324
-320.048,0.911548,0.0528691,5,31,0,323.249,0.836028,1.43707,3.93673
-320.317,0.727305,0.0751796,3,7,0,321.559,0.774847,1.26306,3.50042
-319.961,0.840236,0.0641704,2,7,0,322.337,0.8568,1.47787,3.43693
-319.208,0.890886,0.0746301,3,7,0,321.979,0.829814,1.29068,2.81891
-319.208,0.362449,0.0992338,1,3,0,320.127,0.829814,1.29068,2.81891
-322.713,0.961992,0.0320023,3,15,0,323.037,0.637985,1.40881,3.09046
