# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 00:11:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\n5hnm4bx.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=200\realisation6\exponential_priors-20240424011101.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-213.739,1,0.0625,1,3,0,257.578,0.849568,0.622627,1.79087
-213.739,0,14.3855,0,1,1,214.412,0.849568,0.622627,1.79087
-213.739,0,2.43117,0,1,1,214.243,0.849568,0.622627,1.79087
-213.739,0,0.239791,0,1,1,214.31,0.849568,0.622627,1.79087
-200.869,0.99579,0.0186273,4,31,0,215.417,0.902186,1.11347,1.8947
-197.308,1,0.0254049,2,3,0,200.921,0.850004,1.06215,2.06215
-198.38,0.761112,0.0398889,3,15,0,201.049,0.684093,0.935352,1.55449
-198.449,0.999304,0.032247,3,7,0,198.451,0.682593,0.93823,1.5474
-197.644,0.99621,0.0570766,3,15,0,198.916,0.725169,0.984458,1.73949
-197.644,0.00113604,0.103443,1,3,0,200.086,0.725169,0.984458,1.73949
-197.769,0.997868,0.00821901,4,15,0,198.144,0.730699,0.999397,1.69243
-198.248,0.997838,0.0154794,4,31,0,199.003,0.704988,0.891963,1.59813
-198.951,0.864176,0.02943,2,3,0,200.251,0.673164,0.907143,1.61907
-198.109,0.999867,0.0369286,3,15,0,199.445,0.716297,0.876881,1.51209
-198.109,0.0324527,0.0710181,3,7,0,200.726,0.716297,0.876881,1.51209
-198.421,0.996305,0.00679354,3,15,0,199.237,0.716152,0.891597,1.4767
-198.977,0.991807,0.0130726,2,7,0,199.111,0.715285,0.903258,1.44912
-198.703,0.904154,0.024667,3,15,0,202.182,0.812603,0.866794,1.79965
-198.748,0.991743,0.0354345,3,15,0,200.38,0.756608,0.777764,1.40111
-199.175,0.968793,0.0659817,3,7,0,199.954,0.650497,0.8851,1.4355
-199.175,0.0782749,0.113738,2,4,1,202.025,0.650497,0.8851,1.4355
-199.819,0.986574,0.0139787,5,31,0,201.102,0.636458,0.809143,1.33316
-202.139,0.836774,0.0255347,2,3,0,202.489,0.659757,0.859327,1.24732
-199.895,0.943547,0.0298962,2,3,0,203.151,0.645945,0.808247,1.28832
-198.083,0.875021,0.0475136,3,11,0,200.551,0.894467,0.953713,1.86865
-197.808,0.821975,0.0616236,2,7,0,200.531,0.796624,1.03493,1.78168
-197.226,0.986876,0.0684892,2,7,0,198.659,0.799705,1.08371,1.97388
-197.277,0.34315,0.120769,1,3,0,197.44,0.82723,1.1105,2.06954
-198.979,0.904414,0.0351234,4,15,0,200.796,0.801677,1.37458,2.48105
-198.726,0.973311,0.0491393,2,7,0,200.228,0.850878,1.34148,2.63164
-197.246,0.992924,0.0825645,2,5,0,199.249,0.833964,1.0079,1.92807
