# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 00:19:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\awmd8l_z.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=200\realisation7\exponential_priors-20240424011937.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-309.396,1,0.0625,2,3,0,360.825,0.784904,0.606403,1.5352
-309.396,0,14.3855,0,1,1,310.582,0.784904,0.606403,1.5352
-309.396,0,2.43117,0,1,1,310.342,0.784904,0.606403,1.5352
-309.396,0,0.239791,0,1,1,310.519,0.784904,0.606403,1.5352
-310.054,0.998319,0.0186273,5,63,0,313.081,0.741887,1.02509,2.37013
-307.764,1,0.0255971,3,7,0,310.125,0.815126,1.00721,2.27352
-308.813,0.978098,0.040199,3,11,0,309.717,0.728951,1.01289,1.94494
-308.108,0.672134,0.0638602,3,7,0,310.251,0.734305,0.944777,1.94659
-308.396,0.958965,0.0406935,4,15,0,309.714,0.893223,0.636576,1.7154
-308.297,1,0.0654604,1,1,0,308.474,0.897628,0.64148,1.71735
-307.47,0.337366,0.122354,1,3,0,308.426,0.821103,0.6697,1.57167
-308.352,0.992492,0.0285198,3,7,0,308.688,0.885652,0.608058,1.54918
-307.148,0.975838,0.0532196,3,15,0,308.83,0.814602,0.753605,1.61427
-307.148,0.11978,0.0945258,2,3,0,307.84,0.814602,0.753605,1.61427
-307.532,0.995323,0.0116291,5,39,0,308.212,0.912447,0.750666,1.83911
-307.04,0.975038,0.0222268,3,15,0,308.697,0.822463,0.809788,1.90697
-307.798,0.832251,0.0397337,3,13,0,310.102,0.864423,0.653543,1.50841
-308.247,0.891757,0.0456776,2,3,0,308.812,0.868615,0.68034,1.47546
-307.943,0.757828,0.0628959,2,3,0,309.385,0.828012,0.69847,1.45279
-308.489,0.765463,0.0577074,2,7,0,311.599,0.862786,0.615714,1.61763
-308.112,0.990257,0.0543147,2,7,0,309.656,0.794124,0.679071,1.36821
-308.907,0.0738944,0.0995729,2,7,0,309.858,0.853488,0.649626,1.35441
-308.467,0.999308,0.0123205,4,31,0,309.471,0.754401,0.608967,1.35426
-309.017,0.973384,0.0232795,4,23,0,314.799,0.855025,0.917627,2.5096
-308.578,0.978701,0.040406,4,23,0,310.382,0.843547,0.643938,1.7092
-307.715,0.996445,0.070571,3,15,0,308.669,0.906359,0.692682,1.73769
-307.04,0.334812,0.128423,1,3,0,308.052,0.826566,0.80606,1.74236
-307.973,0.935894,0.0360796,2,7,0,308.905,0.910127,0.760478,1.7346
-307.413,0.878695,0.0552414,2,7,0,309.514,0.801857,0.72926,1.7314
-307.609,0.891294,0.0717134,3,15,0,308.761,0.841535,0.743193,1.89294
-308.402,0.0563564,0.0959511,3,11,0,309.711,0.841194,0.780681,2.0948
-307.717,0.999673,0.0132303,3,15,0,309.133,0.906087,0.787237,2.11189
-307.458,0.999646,0.0239186,4,31,0,309.437,0.837754,0.687703,1.52552
-307.664,0.990699,0.0428218,3,7,0,308.052,0.81865,0.669073,1.44198
-308.168,0.955973,0.0741638,2,7,0,308.962,0.907399,0.657215,1.75431
-308.23,0.299,0.116206,2,7,1,310.427,0.807352,0.676598,1.37042
-310.775,0.996825,0.0325713,4,31,0,312.506,0.913233,1.21934,3.30415
-307.367,1,0.0566805,3,15,0,311.298,0.857808,0.938575,2.25359
-307.637,0.336177,0.098584,2,7,0,309.05,0.859135,0.798472,1.70027
-307.466,0.968667,0.0313042,2,7,0,308.832,0.835427,0.720976,1.79138
-307.376,1,0.0500883,2,7,0,307.834,0.83768,0.744391,1.59966
-306.991,0.988432,0.0860854,3,9,0,307.316,0.824646,0.858738,1.97733
-306.991,0.017276,0.142585,1,1,0,307.071,0.824646,0.858738,1.97733
-307.828,0.97942,0.0211984,4,23,0,308.388,0.832751,0.889827,1.81033
-307.497,0.975727,0.0344278,3,11,0,308.586,0.828566,0.846611,2.09328
-309.756,0.958638,0.0550214,3,7,0,310.898,0.999777,0.685763,2.10739
-312.17,0.315343,0.0837993,2,7,0,314.234,0.579423,0.874435,1.44766
-306.993,0.998679,0.0269959,3,15,0,312.674,0.791988,0.789344,1.72623
-307.044,0.999084,0.0451867,3,15,0,307.433,0.805005,0.741937,1.63751
-307.952,0.527331,0.0751674,2,7,0,308.856,0.781399,0.647005,1.49837
-308.706,0.935688,0.0408422,3,11,0,310.125,0.78127,0.586202,1.22516
-309.248,0.964602,0.0581927,2,7,0,310.073,0.730187,0.5642,1.16961
-307.354,0.989532,0.0882575,3,15,0,310.56,0.903317,0.878273,2.12105
-307.556,0.166287,0.14101,2,4,1,311.286,0.792215,0.747275,1.51445
-307.323,0.988745,0.0338104,3,15,0,308.826,0.758818,0.776403,1.68496
-308.947,0.920544,0.0539128,3,15,0,309.478,0.910298,0.785697,2.31097
-311.168,0.634946,0.073208,2,3,0,311.736,0.902657,0.723005,2.34251
-310.16,0.992773,0.0520216,3,7,0,312.162,1.0351,0.79466,2.10545
-307.134,0.697582,0.0827264,2,3,0,310.099,0.816405,0.854032,1.80627
-313.125,0.862113,0.0677918,3,15,0,314.318,0.69682,0.44648,0.830735
-313.466,0.833399,0.0801344,3,7,0,317.541,0.851221,0.397391,0.915262
-312.978,0.676038,0.0887368,3,7,0,314.358,0.826308,0.44977,0.918306
-312.978,0.413002,0.0695558,1,3,0,315.111,0.826308,0.44977,0.918306
-314.985,0.984591,0.030854,4,31,0,320.234,0.545432,0.960406,1.47995
-313.017,0.771704,0.0475329,4,15,0,319.824,0.571268,0.745032,1.434
-310.451,1,0.046101,2,3,0,313.321,0.616109,0.820529,1.42521
-309.05,0.969894,0.0728585,3,7,0,311.11,0.999139,0.886459,2.51143
-308.243,0.422754,0.107445,2,3,0,309.395,0.966213,0.865433,2.29856
-308.386,0.912084,0.049609,3,7,0,309.732,0.725033,0.847587,1.86468
-312.756,0.522864,0.064629,2,7,0,313.848,0.896784,0.759048,1.42253
-311.403,0.798428,0.037191,2,3,0,317.783,0.842457,0.724916,1.33346
-307.694,1,0.0381885,2,3,0,311.241,0.819593,0.658574,1.43353
-307.549,0.886509,0.0594868,2,3,0,308.089,0.827752,0.660019,1.48599
-307.143,0.822793,0.0730075,3,7,0,308.127,0.819862,0.716945,1.65757
-308.402,0.908793,0.0784633,2,7,0,309.426,0.787459,0.632127,1.2861
-307.987,0.131501,0.100393,2,7,0,310.135,0.763511,0.73228,1.42347
-308.338,0.953882,0.0264979,3,15,0,309.75,0.825417,0.642881,1.64165
-308.446,0.964301,0.0372339,4,31,0,311.914,0.779951,0.937418,1.78278
-307.983,0.999985,0.0532382,3,7,0,308.929,0.922626,0.920291,2.1341
