# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 00:24:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ek3_hy6s.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=200\realisation8\exponential_priors-20240424012453.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-275.081,1,0.0625,2,3,0,321.769,0.684453,0.642592,1.60139
-275.081,0,14.3855,0,1,1,276.246,0.684453,0.642592,1.60139
-275.081,0,2.43117,0,1,1,276.089,0.684453,0.642592,1.60139
-275.081,0,0.239791,0,1,1,275.401,0.684453,0.642592,1.60139
-268.615,0.99957,0.0186273,3,7,0,275.582,0.75692,0.710084,1.53812
-270.921,0.886513,0.0256928,2,3,0,271.359,0.761466,0.67749,1.62595
-269.834,0.999407,0.0285081,4,31,0,272.472,0.597563,1.12861,2.1591
-268.282,1,0.0481188,1,1,0,269.484,0.612489,1.1443,2.08803
-268.282,0.00395485,0.0856864,1,1,0,269.417,0.612489,1.1443,2.08803
-266.82,1,0.00677914,6,95,0,269.465,0.656498,1.02619,1.72644
-268.13,0.990783,0.0126313,5,31,0,268.717,0.63874,1.03152,1.62274
-266.67,1,0.0232516,3,7,0,268.33,0.653537,0.899018,1.71768
-266.718,0.893442,0.0444543,2,7,0,267.849,0.656934,0.950391,1.60728
-269.671,0.979959,0.0610302,3,7,0,270.648,0.58758,0.692935,1.10553
-269.671,0.097822,0.110001,1,3,0,270.186,0.58758,0.692935,1.10553
-269.657,0.989707,0.0128495,5,31,0,271.139,0.55569,0.679372,1.13031
-267.766,0.975981,0.0241222,4,31,0,271.651,0.73781,0.750732,1.5746
-267.813,0.99277,0.0431728,4,15,0,268.732,0.833268,0.95852,1.93713
-267.706,0.528858,0.0807724,3,7,0,268.898,0.576796,0.889743,1.56201
-269.689,0.79559,0.0371594,2,3,0,270.265,0.570901,0.862129,1.65337
-267.342,0.941702,0.0384003,2,3,0,270.54,0.583811,0.928578,1.5623
-268.884,0.850684,0.0611608,3,7,0,269.264,0.530087,0.941286,1.50629
-266.138,0.954099,0.0740818,3,11,0,269.47,0.719984,0.995886,1.88483
-268.182,0.0305038,0.120881,2,3,0,269.565,0.593899,0.997011,1.84962
-267.331,0.999875,0.0136673,5,31,0,268.8,0.684032,0.942386,1.56977
-267.703,0.999633,0.025595,4,27,0,268.374,0.762871,1.16698,2.09054
-267.537,0.979123,0.0474077,3,9,0,268.484,0.725981,0.944275,1.61766
-266.139,0.923778,0.0820511,3,7,0,266.522,0.706371,0.920833,1.73267
-266.139,2.83929e-014,0.12062,1,1,0,268.368,0.706371,0.920833,1.73267
-268.536,0.989448,0.0137416,5,31,0,269.387,0.867785,0.956309,2.07542
-267.485,0.995395,0.0243896,4,23,0,269.607,0.632025,0.944856,1.52223
-266.488,1,0.0435784,3,7,0,267.381,0.707983,0.911681,1.63413
-266.459,0.994129,0.0780871,2,3,0,266.549,0.710756,0.928373,1.66503
-266.459,3.49899e-005,0.136439,1,2,1,266.752,0.710756,0.928373,1.66503
