# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 00:30:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\mq3szsci.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=200\realisation9\exponential_priors-20240424013009.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-336.664,1,0.0625,3,7,0,364.419,1.25413,0.44413,5.25807
-336.664,0,14.3855,0,1,1,337.218,1.25413,0.44413,5.25807
-336.664,0,2.43117,0,1,1,340.119,1.25413,0.44413,5.25807
-301.585,0.333333,0.239791,1,3,1,325.984,0.935929,0.829503,2.41102
-301.985,0.896645,0.0482795,3,7,0,303.55,0.563058,0.920745,1.41568
-300.784,1,0.0510679,2,3,0,302.34,0.564487,0.88889,1.56899
-300.604,0.895268,0.0817079,2,7,0,301.857,0.558117,0.836456,1.42368
-299.623,0.0724293,0.101489,3,7,0,303.805,0.627945,0.889891,1.75216
-298.533,0.995579,0.00986607,4,15,0,300.917,0.654713,0.873382,1.65628
-299.243,0.96664,0.0176944,4,31,0,301.748,0.796814,0.693652,1.64675
-300.984,0.961597,0.029708,4,23,0,301.858,0.914393,0.75245,1.73484
-300.935,0.927873,0.0498219,3,7,0,302.673,0.809388,0.691872,1.85058
-299.83,0.972542,0.0757249,2,7,0,301.015,0.812858,0.803093,1.56523
-299.83,7.36449e-006,0.132908,1,3,1,300.302,0.812858,0.803093,1.56523
-302.012,0.985947,0.0112342,4,31,0,303.646,0.747557,0.771265,2.04364
-301.346,0.991773,0.0208619,5,31,0,307.889,0.557763,0.636949,1.14733
-299.848,0.995605,0.0392816,4,15,0,301.642,0.7587,0.604913,1.30748
-298.214,0.796179,0.0743778,3,7,0,300.493,0.694526,0.828265,1.55972
-301.791,0.7895,0.0763709,2,7,0,301.948,0.531764,0.865413,1.48127
-299.058,0.468868,0.0769503,2,3,0,303.459,0.637658,0.726625,1.31356
-297.886,0.999008,0.0298424,4,31,0,299.428,0.759734,0.874828,1.84539
-298.103,0.889665,0.0564244,3,11,0,298.549,0.72643,0.832764,1.77621
-298.23,0.782967,0.0766706,4,15,0,299.163,0.801759,0.842512,1.91713
-297.959,1,0.0760552,2,3,0,298.292,0.74287,0.92151,1.85474
-298.2,0.350987,0.141099,1,3,0,299.333,0.75492,0.754841,1.60656
-302.515,0.663497,0.0405669,2,3,0,302.762,0.848459,0.824889,1.53358
-298.68,1,0.0288818,2,3,0,302.324,0.799285,0.765402,1.59558
-298.778,0.997718,0.0532296,4,31,0,299.345,0.72957,1.02339,1.92229
-297.934,0.396819,0.0964952,2,7,0,298.668,0.742502,0.921306,1.89272
-298.024,0.986547,0.0329509,3,11,0,298.197,0.754337,0.937115,1.89117
-298.355,0.965033,0.0575998,2,7,0,299.32,0.779418,1.01502,2.1803
-298.355,0.0332364,0.0940999,1,3,0,299.571,0.779418,1.01502,2.1803
-297.867,0.993994,0.0123927,5,39,0,300.178,0.750491,0.866737,1.79855
-297.965,0.999312,0.0219711,5,47,0,298.386,0.748809,0.803926,1.66565
-300.054,0.814766,0.03914,2,7,0,300.193,0.685062,0.778368,1.76402
-300.664,0.959434,0.0425221,3,15,0,303.534,0.682444,0.720058,1.65717
-300.383,0.98578,0.0672804,3,11,0,301.508,0.713064,0.906786,2.14483
-299.594,0.166667,0.113141,2,6,1,301.235,0.646091,0.998517,1.94557
-300.288,0.981464,0.0230203,3,7,0,300.791,0.656784,1.05536,1.7903
-299.454,0.918649,0.0382868,4,15,0,302.267,0.720843,0.720122,1.65244
-299.958,0.93781,0.0538978,2,3,0,300.153,0.765611,0.8248,1.49861
