# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 00:35:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\y1kg4mih.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=300\realisation0\exponential_priors-20240424013543.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-232.347,1,0.0625,1,1,0,274.938,0.835572,0.655147,1.765
-232.347,0,14.3855,0,1,1,233.684,0.835572,0.655147,1.765
-232.347,0,2.43117,0,1,1,232.567,0.835572,0.655147,1.765
-232.347,0,0.239791,0,1,1,233.324,0.835572,0.655147,1.765
-230.812,1,0.0186273,2,3,0,232.398,0.848684,0.662665,1.762
-227.68,0.964563,0.0257257,2,7,0,235.319,0.8543,0.841894,1.3733
-224.928,0.734462,0.0362517,2,7,0,233.723,0.941385,0.862788,1.55643
-221.789,1,0.0269309,2,7,0,225.374,0.945268,0.849053,1.71868
-221.442,0.954562,0.0476886,3,15,0,223.033,0.948657,0.858114,2.04699
-222.09,0.78477,0.0757116,3,7,0,222.21,1.04879,0.915431,1.94955
-220.723,1,0.0716642,2,3,0,221.82,0.909716,0.975032,2.20825
-220.723,1.41775e-054,0.135549,1,1,0,222.11,0.909716,0.975032,2.20825
-222.324,0.984589,0.0110555,4,31,0,224.455,1.02993,0.95488,1.93796
-221.45,1,0.0203231,2,3,0,222.35,1.0172,0.945552,1.96893
-221.279,0.758544,0.0392284,2,3,0,224.723,0.973752,0.880257,2.15367
-222.517,0.964111,0.0357266,4,15,0,223.435,0.890517,0.797607,1.81148
-224.965,0.843829,0.0615522,2,3,0,226.083,1.03006,0.719834,1.53514
-223.985,1,0.0730699,2,3,0,224.992,0.90913,0.701287,1.59474
-223.985,0.0905972,0.139166,1,3,1,225.035,0.90913,0.701287,1.59474
