# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 00:43:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\2n02ib9e.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=300\realisation1\exponential_priors-20240424014326.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-187.885,1,0.0625,2,3,0,213.235,1.35952,0.72441,1.55642
-187.885,0,14.3855,0,1,1,189.663,1.35952,0.72441,1.55642
-187.885,0,2.43117,0,1,1,189.173,1.35952,0.72441,1.55642
-187.885,0,0.239791,0,1,1,189.099,1.35952,0.72441,1.55642
-174.724,1,0.0186273,2,3,0,189.013,1.18643,0.734658,1.59718
-168.266,0.992277,0.0257257,4,15,0,178.143,0.949414,0.82394,1.92535
-161.556,0.985006,0.0394622,3,15,0,169.216,0.734751,0.881022,1.38413
-161.556,0.384964,0.0640326,2,3,0,162.116,0.734751,0.881022,1.38413
-161.815,0.99783,0.0165486,5,31,0,163.102,0.825797,1.07118,1.80106
-161.047,0.986831,0.0299658,4,15,0,162.275,0.728909,0.903787,1.51772
-161.335,0.96088,0.0536673,3,7,0,161.438,0.68682,0.977807,1.49947
-161.335,0.0824477,0.089739,1,3,0,162.267,0.68682,0.977807,1.49947
-161.895,0.991864,0.00950092,3,15,0,162.467,0.676604,0.936147,1.58191
-162.039,0.976264,0.0178802,3,7,0,163.277,0.769838,0.975617,1.51205
-162.642,0.977965,0.0320735,2,7,0,163.184,0.674869,0.883116,1.53726
-162.101,0.960345,0.0577222,2,7,0,163.041,0.70403,1.04653,1.5588
-162.101,1.34213e-008,0.0979757,1,1,0,162.701,0.70403,1.04653,1.5588
-163.72,0.97921,0.00880773,4,15,0,166.041,0.71307,0.840699,1.56234
-161.929,0.991514,0.0160113,3,7,0,165.007,0.705759,0.840012,1.45487
-161.85,0.990885,0.0299842,4,15,0,163.051,0.638503,1.01719,1.54264
-161.228,0.515176,0.0555643,2,5,0,164.026,0.76318,0.907198,1.5862
-163.167,0.988625,0.0249998,4,15,0,163.397,0.65774,0.770383,1.15323
-163.015,1,0.045717,2,3,0,163.239,0.656273,0.738229,1.19783
-163.015,0.0918662,0.0855953,2,5,0,164.611,0.656273,0.738229,1.19783
-163.246,0.999498,0.0115838,4,15,0,163.353,0.651054,0.73062,1.19073
-161.537,0.995373,0.0217005,3,15,0,165.354,0.666306,0.863162,1.34191
-161.005,0.785454,0.039768,4,15,0,162.878,0.754264,0.940857,1.5362
-161.432,0.968312,0.0400107,3,15,0,163.282,0.656988,0.918522,1.41233
-162.699,0.534179,0.0669899,2,3,0,163.067,0.623301,0.955435,1.361
-163.085,0.940207,0.0335308,3,15,0,164.166,0.640529,0.966689,1.63066
-165.115,0.875907,0.0516203,1,3,0,166.854,0.587779,1.00413,1.66197
-162.425,0.929742,0.0662605,2,3,0,164.27,0.662957,1.00437,1.68536
-162.425,1.0494e-006,0.0979218,1,1,0,162.591,0.662957,1.00437,1.68536
-162.097,0.999859,0.0119914,5,39,0,163.332,0.826102,1.04917,1.92635
-161.232,0.997677,0.021497,5,31,0,162.535,0.735041,0.931393,1.60475
-160.924,0.996312,0.0379586,3,11,0,161.591,0.746444,0.971223,1.60686
-160.924,0.248436,0.066184,1,1,0,161.618,0.746444,0.971223,1.60686
-161.457,0.978662,0.016507,4,31,0,162.204,0.721823,0.921904,1.42745
-162.972,0.913641,0.0274384,3,15,0,165.423,0.695348,0.984097,1.74773
-162.945,0.989698,0.0383385,3,9,0,163.895,0.819455,0.971321,1.52547
-161.842,1,0.0645972,2,7,0,162.396,0.738719,0.879463,1.56875
-161.526,0.333333,0.110812,1,3,1,161.949,0.713183,0.972258,1.4849
-161.247,1,0.0357905,2,7,0,161.685,0.694868,0.961594,1.48584
-161.599,0.485197,0.0611577,3,15,0,162.683,0.841257,0.9582,1.71069
-163.163,0.802995,0.0292714,4,23,0,166.255,0.740841,0.851868,1.59371
-163.217,0.983343,0.0307308,3,15,0,165.149,0.712295,1.09654,1.93188
-162.92,0.987126,0.0498934,3,15,0,165.203,0.617798,0.921232,1.51121
-162.92,0.0148036,0.0811833,2,3,0,166.457,0.617798,0.921232,1.51121
-161.756,0.999948,0.0128556,5,31,0,163.655,0.713717,1.00419,1.51808
-161.737,0.981057,0.0216119,4,23,0,162.818,0.72006,0.886524,1.36522
-161.62,0.998833,0.0345019,3,15,0,165.164,0.790841,0.976454,1.76572
-162.797,0.922962,0.0570556,4,15,0,164.703,0.859376,0.905616,1.76608
-162.797,0.00842421,0.0785545,2,7,0,165.7,0.859376,0.905616,1.76608
-161.09,1,0.0130089,4,15,0,163.007,0.77507,0.926299,1.53861
