# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 00:51:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ac6nudhs.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=300\realisation2\exponential_priors-20240424015146.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-96.1346,1,0.03125,3,7,0,155.045,0.929028,0.886275,1.26891
-96.1346,0,14.3855,0,1,1,98.1653,0.929028,0.886275,1.26891
-96.1346,0,2.43117,0,1,1,96.3214,0.929028,0.886275,1.26891
-96.1346,0,0.239791,0,1,1,97.7695,0.929028,0.886275,1.26891
-86.4707,1,0.0186273,2,3,0,96.3613,0.898681,0.829725,1.40179
-83.8504,0.961442,0.0257257,4,15,0,89.9572,0.980603,0.920092,1.86423
-81.6832,0.859841,0.0359069,3,7,0,85.505,0.908165,0.96913,1.73118
-81.6105,0.998241,0.0394022,2,3,0,81.9621,0.900294,0.964126,1.73868
-80.5136,0.645223,0.0696432,3,7,0,82.6173,0.744033,1.56785,2.65151
-81.2757,0.883059,0.0417039,3,7,0,82.4101,0.989623,1.38411,2.92616
-78.1474,0.989958,0.05382,3,7,0,80.8136,0.889019,1.44526,2.41659
-78.1474,0.0413708,0.098651,1,3,0,79.3871,0.889019,1.44526,2.41659
-77.8705,0.999895,0.0091745,5,47,0,78.2545,0.847175,1.36037,2.255
-77.8076,0.989071,0.0177089,4,23,0,79.5077,0.820057,1.353,2.25636
-78.3041,0.76755,0.0330623,2,3,0,79.8065,0.799164,1.32769,2.31458
-78.419,0.977544,0.0309963,4,15,0,79.5176,0.801162,1.39112,2.42956
-78.1264,0.592605,0.0557106,2,7,0,79.6884,0.826696,1.48675,2.53332
-81.2342,0.730111,0.0307277,2,3,0,81.3613,0.782572,1.43359,2.6733
-80.7187,0.998852,0.026004,3,15,0,82.9258,0.775099,1.50176,2.70822
-79.9103,0.964446,0.0495903,3,15,0,83.1246,0.731877,1.55019,2.37787
-80.4696,0.3626,0.0845804,2,3,0,81.2079,0.736407,1.63905,2.56439
-81.9533,0.981846,0.0241534,3,15,0,84.5233,0.640833,1.45052,2.19873
-78.7697,0.98461,0.0433127,3,7,0,82.8427,0.759084,1.24863,1.97276
-78.8962,1,0.077582,1,1,0,78.94,0.737216,1.24834,2.00043
-78.0779,0.120894,0.143907,1,3,0,80.6371,0.845346,1.34784,2.41628
