# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 01:01:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\e7f2ok88.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=300\realisation3\exponential_priors-20240424020149.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-263.553,1,0.0625,2,3,0,309.35,0.864218,0.665258,1.72791
-263.553,0,14.3855,0,1,1,263.85,0.864218,0.665258,1.72791
-263.553,0,2.43117,0,1,1,264.032,0.864218,0.665258,1.72791
-263.553,0,0.239791,0,1,1,266.075,0.864218,0.665258,1.72791
-260.074,0.994567,0.0186273,3,11,0,265.217,0.975697,0.646441,1.48201
-260.619,0.93646,0.0253124,1,3,0,261.213,1.00255,0.653947,1.45387
-260.011,0.995682,0.0327139,4,31,0,262.307,0.96073,1.12744,2.61035
-259.329,1,0.054706,3,7,0,260.381,0.965837,1.05188,2.3653
-259.329,0.373988,0.0975372,2,3,0,260.588,0.965837,1.05188,2.3653
-260.543,0.970432,0.0248421,4,31,0,262.946,1.05411,0.634116,1.61403
-260.047,0.977408,0.0422316,4,15,0,261.342,0.854289,0.705712,1.48704
-260.047,0.0522974,0.0744218,2,3,0,263.132,0.854289,0.705712,1.48704
-259.836,0.999361,0.00716957,4,15,0,260.39,0.881311,0.713387,1.46866
-259.107,0.994881,0.0138309,4,31,0,260.877,0.961034,0.773492,1.89024
-259.268,0.999732,0.0263297,4,31,0,259.469,0.992787,0.757777,1.70654
-259.507,0.93879,0.0507543,3,11,0,261.664,1.09492,0.918312,2.31509
-258.95,0.968783,0.0806922,4,15,0,259.723,0.959187,0.826729,1.80118
-258.95,0.0965051,0.140022,1,3,1,259.998,0.959187,0.826729,1.80118
-258.848,0.999543,0.0171673,4,31,0,259.422,0.941414,0.91722,2.09649
-260.239,0.83665,0.0329159,2,7,0,262.516,1.02311,0.770079,2.18048
