# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 01:10:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\71fozlr6.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=300\realisation4\exponential_priors-20240424021003.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-290.542,1,0.0625,1,1,0,333.141,0.735155,0.646234,1.57964
-290.542,0,14.3855,0,1,1,292.872,0.735155,0.646234,1.57964
-290.542,0,2.43117,0,1,1,292.104,0.735155,0.646234,1.57964
-290.542,0,0.239791,0,1,1,291.982,0.735155,0.646234,1.57964
-285.285,0.997749,0.0186273,4,15,0,291.077,0.859539,0.689038,1.54691
-286.19,0.975838,0.0255537,4,23,0,287.449,0.846558,0.682102,1.33955
-286.608,0.996176,0.0372673,3,15,0,287.722,0.699479,0.716968,1.38216
-286.674,0.856836,0.0625514,2,7,0,287.703,0.726031,0.669986,1.38733
-286.215,1,0.071209,2,3,0,286.934,0.74363,0.663887,1.37057
-286.215,1.08875e-010,0.13075,1,1,0,286.68,0.74363,0.663887,1.37057
-286.422,0.999913,0.0103547,6,63,0,287.224,0.85468,0.567887,1.25222
-285.845,0.993305,0.019623,4,15,0,286.727,0.819359,0.615337,1.34307
-286.711,0.915962,0.0367529,2,7,0,289.514,0.746422,0.622567,1.32302
-286.566,0.873506,0.0541941,2,7,0,287.995,0.774301,0.696046,1.26646
-286.51,1,0.0701346,2,3,0,286.661,0.732076,0.654996,1.34953
-286.51,2.73656e-024,0.134474,1,3,1,289.043,0.732076,0.654996,1.34953
-286.945,0.995447,0.0118187,4,23,0,287.916,0.74443,0.658362,1.43429
-285.598,0.986213,0.022567,3,7,0,287.88,0.780353,0.710487,1.3785
-285.641,0.959564,0.0415991,3,11,0,286.515,0.824389,0.663171,1.4945
-285.418,0.986303,0.0702281,2,5,0,285.745,0.818479,0.733934,1.46024
-285.418,0.0779071,0.12748,1,3,0,286.073,0.818479,0.733934,1.46024
-285.802,0.995539,0.0156358,3,15,0,286.406,0.755095,0.771045,1.4565
-286.415,0.942728,0.0292944,2,3,0,286.731,0.756212,0.790376,1.42274
-285.888,1,0.046613,2,7,0,287.19,0.816452,0.63327,1.42207
-285.235,0.99849,0.0868391,2,7,0,287.1,0.85395,0.734278,1.5407
-285.235,2.18201e-007,0.159446,1,3,1,287.678,0.85395,0.734278,1.5407
-288.56,0.940148,0.0171286,3,15,0,291.085,0.694746,0.651448,1.39582
-285.792,1,0.0268022,3,7,0,288.897,0.772116,0.648989,1.30447
-285.18,0.886102,0.0491813,3,15,0,286.998,0.819722,0.723156,1.53389
-285.261,0.702961,0.0652294,3,11,0,286.298,0.838128,0.809599,1.74968
-286.95,0.569493,0.0521482,2,3,0,288.135,0.811875,0.869652,1.58303
-285.809,0.986162,0.0291213,3,15,0,289.407,0.808803,0.871222,1.70567
-287.97,0.993908,0.0504387,5,31,0,289.335,0.841732,0.491753,1.12075
-290.754,0.472132,0.0883907,2,3,0,290.921,0.95252,0.465221,1.02063
-286.38,1,0.0385035,3,7,0,291.24,0.736585,0.630503,1.20873
-285.555,0.945629,0.0680884,3,7,0,286.911,0.781137,0.698557,1.37183
-285.555,2.83321e-006,0.103538,1,1,0,288.099,0.781137,0.698557,1.37183
-286.023,0.990642,0.0135279,4,31,0,287.614,0.869476,0.636226,1.53755
-286.552,0.99323,0.0232247,4,15,0,287.098,0.741337,0.804766,1.67542
-285.651,0.957672,0.0397999,4,31,0,289.309,0.804106,0.862049,1.72002
-285.83,0.857039,0.0618233,3,7,0,286.674,0.918362,0.664049,1.50213
-286.926,0.718418,0.0740906,3,9,0,287.969,0.989897,0.676425,1.83401
-288.112,0.719379,0.0626743,2,3,0,288.467,0.92709,0.672722,1.92928
-286.747,1,0.0532641,2,3,0,288.309,0.909966,0.711056,1.88593
-286.133,0.335037,0.0903922,2,5,0,288.004,0.885802,0.669635,1.67514
-286.547,0.984668,0.0300633,3,7,0,287.369,0.938077,0.659191,1.73977
-285.959,1,0.0489742,3,7,0,286.663,0.9432,0.669812,1.59953
-285.251,0.713392,0.0822047,2,7,0,286.673,0.873837,0.800772,1.73649
-285.251,0.30569,0.0690721,2,7,0,289.342,0.873837,0.800772,1.73649
-285.262,0.99446,0.0221061,4,31,0,285.785,0.799632,0.725431,1.48754
-285.991,0.944799,0.0364181,4,15,0,286.676,0.899799,0.632458,1.3963
-287.109,0.915501,0.0530482,2,7,0,288.181,0.704315,0.613137,1.20873
-285.701,0.903301,0.0718145,3,15,0,288.84,0.803463,0.780249,1.7205
-285.915,0.276527,0.0941317,3,7,0,287.181,0.909191,0.872483,1.88036
-285.73,0.999588,0.0291475,2,7,0,286.107,0.90393,0.871341,1.92196
-285.432,0.999911,0.0476864,3,7,0,285.764,0.851696,0.853988,1.80242
