# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 01:16:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\dq8o4wkb.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=300\realisation5\exponential_priors-20240424021640.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-280.461,1,0.0625,1,1,0,320.421,0.723858,0.6535,1.59011
-280.461,0,14.3855,0,1,1,281.782,0.723858,0.6535,1.59011
-280.461,0,2.43117,0,1,1,282.683,0.723858,0.6535,1.59011
-280.461,0,0.239791,0,1,1,286.641,0.723858,0.6535,1.59011
-275.97,0.9837,0.0186273,3,7,0,283.418,0.700676,0.712647,1.4479
-275.722,0.996741,0.0245055,4,15,0,278.668,0.704729,0.732677,1.50774
-273.503,1,0.0380576,3,7,0,276.07,0.853672,0.68599,1.61149
-273.294,0.714644,0.0646651,2,3,0,274.646,0.951181,0.710609,1.56834
-272.704,0.931452,0.0471017,2,3,0,274.037,0.905714,0.713412,1.76455
-270.518,0.984018,0.0695127,3,15,0,278.218,0.930398,0.905027,1.99198
-270.518,1.01973e-016,0.123535,1,1,0,273.107,0.930398,0.905027,1.99198
-270.36,0.995093,0.00992007,3,15,0,271.488,0.90869,0.891313,2.00863
-271.701,0.994705,0.0187231,4,31,0,273.047,0.924427,0.760854,1.82428
-270.493,0.97637,0.0354447,4,15,0,273.023,0.981975,0.889602,2.17388
-270.724,0.468928,0.0633632,3,11,0,276.438,0.92577,1.2246,3.14431
-269.77,0.995575,0.0234533,2,7,0,271.067,0.976859,1.24447,3.03538
-269.761,0.983052,0.0446443,4,15,0,270.063,0.935276,1.02811,2.3052
-269.994,0.699902,0.0812755,3,7,0,270.376,0.873265,1.1484,2.41662
-269.919,0.954786,0.0622924,3,7,0,270.254,0.868414,1.1181,2.4095
-269.919,0.0123102,0.103327,2,5,0,271.677,0.868414,1.1181,2.4095
-270.491,0.999401,0.0102477,6,95,0,270.833,1.06013,1.08905,2.9893
-270.452,0.958794,0.0195725,2,7,0,272.367,1.02059,1.08271,3.01562
-269.804,0.982205,0.032863,2,7,0,271.85,0.937937,1.14542,2.82356
-269.548,0.997186,0.0585917,2,7,0,269.802,0.953155,1.15452,2.71482
-269.93,0.353726,0.108062,1,3,0,270.246,0.8936,1.17272,2.48632
-270.724,0.972725,0.0313843,4,31,0,272.134,1.00004,1.25694,3.46064
-271.214,0.993859,0.053771,3,15,0,273.38,0.804349,0.958978,2.07632
-269.782,0.439052,0.0968933,3,7,0,270.561,0.913323,0.998054,2.24455
-270.488,0.959895,0.0368754,3,15,0,271.711,0.830875,1.15484,2.4346
-270.001,0.668668,0.0601082,2,3,0,271.512,0.912701,1.11423,2.35305
-270.184,0.976277,0.0437762,3,15,0,270.519,0.989206,1.01972,2.71525
-270.066,0.998967,0.0739017,3,7,0,270.467,1.03026,1.11139,2.75962
-270.066,0.000975375,0.131485,1,1,0,270.176,1.03026,1.11139,2.75962
-270.936,0.978828,0.0161049,3,15,0,272.918,0.959685,1.26645,2.6421
-270.998,1,0.0272414,3,15,0,271.67,0.989777,1.08497,3.08469
-270.41,0.877802,0.0483056,4,15,0,274.314,0.931009,0.888206,2.0205
-269.74,0.956279,0.0617095,3,7,0,270.792,0.91011,1.01223,2.33604
-270.833,0.0969141,0.0962084,3,10,1,271.986,0.952928,0.863818,2.22079
-270.424,0.979366,0.0163847,2,7,0,272.441,0.963601,0.885793,2.18482
-270.236,0.998463,0.0271753,4,31,0,271.007,0.911217,1.32128,2.8689
-271.874,0.948962,0.0469361,3,15,0,274.17,1.10914,1.33465,3.96753
-270.264,0.988792,0.0709988,3,11,0,272.878,0.870795,1.14595,2.33389
-270.402,0.262788,0.117869,1,3,0,271.538,1.00268,0.972649,2.62091
-270.928,0.988597,0.032216,3,15,0,272.433,0.857248,1.16073,2.25431
-269.851,1,0.0533541,3,7,0,271.789,0.939363,1.07374,2.67664
-270.092,0.691162,0.0901894,2,3,0,270.814,1.01739,1.07561,2.58989
-270.992,0.627972,0.0716117,1,3,0,271.455,0.897167,1.04426,2.67202
-270.956,0.994091,0.048991,3,11,0,273.411,0.923799,1.01848,2.07382
