# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 01:23:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\pxwaodg8.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=300\realisation6\exponential_priors-20240424022355.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-155.005,1,0.0625,1,3,0,190.217,0.874816,0.604657,1.86019
-155.005,0,14.3855,0,1,1,155.678,0.874816,0.604657,1.86019
-155.005,0,2.43117,0,1,1,155.51,0.874816,0.604657,1.86019
-155.005,0,0.239791,0,1,1,155.576,0.874816,0.604657,1.86019
-151.717,1,0.0186273,3,7,0,156.934,0.896108,0.622173,1.89551
-125.581,0.94825,0.0257257,2,7,0,150.557,1.05888,0.903154,1.5723
-122.18,1,0.0344854,2,3,0,125.473,1.01602,0.85614,1.70277
-122.354,0.939222,0.0584998,1,1,0,122.504,1.02834,0.8635,1.68827
-122.354,0.00077503,0.0862218,1,3,0,124.508,1.02834,0.8635,1.68827
-120.662,0.997465,0.00675354,5,39,0,124.995,0.901931,0.983695,1.65836
-120.144,0.997507,0.0124831,3,7,0,120.924,0.891081,0.978311,1.68771
-120.318,0.94599,0.0234724,4,23,0,122.472,0.930392,1.25294,2.22923
-120.964,0.975358,0.0378563,3,7,0,121.201,0.879151,1.30614,2.37217
-124.7,0.451577,0.0672381,2,3,0,124.918,0.866367,1.55974,2.45362
-126.029,0.98099,0.0233199,3,7,0,127.183,0.822034,1.60699,2.45587
-124.212,1,0.0424489,3,7,0,126.064,0.808007,1.46276,2.60399
-121.479,0.333333,0.0815749,2,3,0,126.199,0.944235,1.25558,2.50264
-120.953,0.989974,0.0203247,2,7,0,121.991,0.979312,1.30405,2.45166
-120.167,0.828248,0.037926,3,11,0,125.164,0.969863,1.03895,1.98761
