# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 01:36:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\jhl5v199.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=300\realisation7\exponential_priors-20240424023658.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-237.694,1,0.0625,2,3,0,276.627,0.808568,0.588656,1.60492
-237.694,0,14.3855,0,1,1,238.881,0.808568,0.588656,1.60492
-237.694,0,2.43117,0,1,1,238.64,0.808568,0.588656,1.60492
-237.694,0,0.239791,0,1,1,238.817,0.808568,0.588656,1.60492
-226.255,0.997396,0.0186273,3,15,0,240.901,0.87512,0.895383,1.51581
-224.232,0.898189,0.0255268,3,7,0,229.905,0.872721,0.78294,1.71123
-225.078,0.99678,0.0293498,3,7,0,225.261,1.0086,0.804271,1.67989
-223.912,0.986087,0.0491597,3,15,0,230.77,1.00021,0.911166,1.89097
-222.673,0.368478,0.0838122,2,7,0,223.681,0.902016,0.916229,1.84732
-223.578,0.967797,0.0209629,3,15,0,224.097,0.924629,0.871517,1.99424
-225.531,0.937798,0.035333,4,23,0,226.113,0.76686,0.79529,1.62645
-223.398,0.966169,0.0549531,2,3,0,225.154,0.82974,0.850555,1.59704
-224.435,0.671105,0.0942019,2,3,0,225.512,0.980043,0.82845,1.68924
-223.59,0.972299,0.0641962,4,15,0,225.711,0.783648,0.886735,1.69711
-223.59,0.128989,0.112945,1,3,0,223.87,0.783648,0.886735,1.69711
-224.234,0.989508,0.0145285,3,7,0,224.58,0.782625,0.845944,1.68631
-225.621,0.956687,0.0272344,3,7,0,226.264,0.755635,0.825308,1.67936
-226.682,0.980499,0.0459123,2,7,0,229.151,0.889279,0.76986,1.35568
-223.798,0.941737,0.0827226,3,7,0,225.279,0.903987,0.803536,1.58661
-223.798,5.31198e-015,0.131638,1,1,0,226.327,0.903987,0.803536,1.58661
-223.976,0.999989,0.01256,5,31,0,224.289,0.800286,0.844247,1.51248
