# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 01:44:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\4pl4sbr0.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=300\realisation8\exponential_priors-20240424024452.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-240.588,1,0.0625,1,3,0,284.761,0.804977,0.598835,1.74371
-240.588,0,14.3855,0,1,1,241.753,0.804977,0.598835,1.74371
-240.588,0,2.43117,0,1,1,241.596,0.804977,0.598835,1.74371
-240.588,0,0.239791,0,1,1,240.908,0.804977,0.598835,1.74371
-235.731,1,0.0186273,2,3,0,241.177,0.803683,0.618189,1.65662
-225.794,0.983246,0.0257257,3,15,0,236.61,0.941481,0.842139,1.60621
-223.418,1,0.0383859,2,3,0,225.582,0.846269,0.808638,1.66107
-221.446,0.689356,0.0652321,4,15,0,226.452,0.876862,1.15769,2.35404
-222.039,0.915474,0.0438885,4,15,0,222.924,0.787469,1.20071,2.39475
-221.883,0.994339,0.0615626,2,3,0,222.217,0.859253,1.20696,2.20391
-221.8,0.333334,0.113018,1,3,0,221.921,0.830141,1.15295,2.38876
-222.288,0.995161,0.0260125,4,15,0,223.063,0.712417,1.15596,2.10586
-221.498,0.967394,0.0489642,2,3,0,222.646,0.74725,1.12589,2.01484
-221.498,0.269321,0.0847264,1,1,0,221.827,0.74725,1.12589,2.01484
-222.677,0.991533,0.0166255,4,31,0,223.066,0.926323,1.01279,2.27992
-221.821,0.992013,0.031335,3,7,0,223.169,0.842143,1.23124,2.22575
-221.713,0.992311,0.058879,3,11,0,222.605,0.822896,0.998624,2.05128
-221.713,9.79037e-009,0.110039,1,1,0,222.679,0.822896,0.998624,2.05128
-222.171,0.999138,0.0100891,5,63,0,223.404,0.92937,1.15717,2.31878
-223.522,0.997044,0.0194035,4,31,0,225.281,0.934695,1.37699,2.95739
-221.69,0.976908,0.0367546,4,15,0,226.036,0.883195,1.23345,2.40007
-223.038,0.588826,0.0649851,3,7,0,223.678,0.770249,1.15557,2.38623
-222.922,0.99147,0.036513,2,5,0,224.418,0.744445,1.21214,2.38022
-221.274,0.970451,0.0668164,3,7,0,223.107,0.862374,1.14642,2.28154
-221.274,0.0286137,0.113966,1,3,0,224.224,0.862374,1.14642,2.28154
-223.074,0.962825,0.0130678,3,7,0,224.096,0.772554,1.09727,2.29464
-221.346,0.997518,0.0219331,3,15,0,224.634,0.855935,1.06512,2.04397
-222.097,0.996983,0.0402362,4,15,0,222.603,0.900868,1.24848,2.60848
-223.433,0.903469,0.0729637,2,3,0,223.669,0.978357,1.27558,2.73648
-223.433,0.00193273,0.101191,1,3,1,225.015,0.978357,1.27558,2.73648
-222.097,0.991423,0.0118187,6,63,0,226.144,0.796529,1.15111,2.35385
-221.549,0.993637,0.021016,2,7,0,222.456,0.810202,1.16976,2.33651
-221.248,0.993138,0.03724,2,7,0,222.107,0.799221,1.18931,2.23647
-222.18,0.83945,0.0652871,3,7,0,222.407,0.898813,0.997068,1.95181
-221.861,1,0.075472,1,1,0,222.04,0.863083,0.966416,2.01564
-221.861,0.117267,0.13275,1,3,0,225.166,0.863083,0.966416,2.01564
-221.769,0.97955,0.0231364,2,7,0,222.782,0.862531,1.02254,1.93066
-221.914,0.970632,0.0386038,2,3,0,222.125,0.826339,0.985563,2.05275
-223.294,0.941703,0.062449,3,15,0,224.422,0.716364,1.35656,2.38516
-223.292,0.608683,0.0931434,2,7,0,224.115,0.754934,1.42763,2.55264
-223.073,0.661412,0.059459,3,7,0,224.663,0.963543,1.19752,2.66972
-222.567,0.942253,0.0436131,1,3,0,223.758,0.944716,1.23979,2.53879
-224.504,0.617916,0.0647052,2,7,0,226.267,0.935152,1.41539,2.60114
-223.402,1,0.0427706,2,3,0,224.509,0.892764,1.31017,2.89057
-221.598,0.999307,0.0726984,3,7,0,223.895,0.757975,1.02874,1.82702
-221.598,1.38566e-020,0.122413,1,1,0,225.464,0.757975,1.02874,1.82702
-221.246,0.999421,0.018182,3,15,0,222.301,0.794833,1.03588,1.93027
-221.414,0.987427,0.0306863,4,15,0,221.591,0.844554,1.01024,2.03387
-221.47,0.955361,0.0499576,2,3,0,221.884,0.868016,1.02524,2.08166
-221.556,0.496016,0.0748629,2,7,0,223.063,0.859313,1.18045,2.42251
-222.039,0.931578,0.0377836,3,15,0,223.544,0.736535,1.23809,2.16164
-221.324,0.999124,0.0533467,3,7,0,222.159,0.865635,1.15454,2.31415
-221.502,0.361275,0.0877228,2,7,0,222.637,0.853425,1.03549,2.13637
-221.882,0.988014,0.0328122,4,15,0,221.987,0.901692,1.08944,2.12359
-222.292,0.725866,0.0524078,2,7,0,224.996,0.85626,1.36966,2.59318
-221.144,0.999298,0.0457422,3,15,0,222.855,0.795897,1.14138,2.12924
-222.449,0.46887,0.0743344,1,3,0,223.626,0.920734,1.09437,2.11217
-222.378,0.997338,0.0363266,3,15,0,223.135,0.906498,1.05944,2.35669
-221.887,0.822569,0.0584895,2,3,0,223.125,0.919302,1.11229,2.31885
