# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 01:51:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\q2bj4b54.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=300\realisation9\exponential_priors-20240424025136.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-280.771,1,0.0625,2,5,0,302.639,1.68587,0.483134,3.35459
-280.771,0,14.3855,0,1,1,284.448,1.68587,0.483134,3.35459
-280.771,0,2.43117,0,1,1,282.232,1.68587,0.483134,3.35459
-280.771,0,0.239791,0,1,1,284.002,1.68587,0.483134,3.35459
-257.44,1,0.0186273,3,7,0,282.037,1.09052,0.657447,2.83516
-243.281,0.971094,0.0257257,3,7,0,259.419,1.14847,0.966335,2.23575
-240.971,1,0.0369839,2,3,0,243.727,1.10041,0.957082,2.37008
-239.021,0.933896,0.0628109,4,15,0,241.408,0.964782,1.01251,2.45416
-239.021,0.000104521,0.0911017,1,1,0,240.323,0.964782,1.01251,2.45416
-237.227,0.999967,0.00712257,6,63,0,239.442,0.824169,0.96425,1.72462
-238.157,0.995765,0.0132708,5,63,0,239.565,0.978711,0.983327,2.24792
-237.741,0.991401,0.0248148,4,15,0,240.536,0.919232,1.0751,2.32726
-240.793,0.988914,0.0461664,4,31,0,240.808,0.653342,0.626863,1.05622
-239.511,0.413948,0.0854835,3,7,0,241.13,0.761584,0.664778,1.14982
-239.37,0.994716,0.0263308,4,15,0,239.956,0.787867,0.66668,1.17764
-237.043,0.996632,0.0499737,3,15,0,239.913,0.786018,0.980988,1.75046
-237.043,0.0137894,0.0949382,2,3,0,238.57,0.786018,0.980988,1.75046
-238.937,0.988527,0.00890385,4,15,0,239.667,0.782774,1.03787,1.69453
-239.871,0.998579,0.0166482,5,43,0,239.887,0.834606,0.695541,1.58698
-243.731,0.7738,0.0318361,2,3,0,244.358,0.794191,0.666278,1.62021
-237.483,0.998832,0.0308691,2,7,0,244.669,0.770812,0.76909,1.47727
-237.398,0.959455,0.0583189,2,3,0,237.707,0.81708,0.803567,1.46569
-238.143,0.340623,0.0972082,1,3,0,238.872,0.694086,0.792141,1.41032
-241.124,0.944386,0.0266043,4,31,0,244.404,1.05882,1.13027,2.89018
-242.176,0.987563,0.0424266,3,7,0,243.326,1.05539,1.25954,3.20282
-242.176,0.580848,0.0759684,1,1,0,242.846,1.05539,1.25954,3.20282
-237.198,0.997741,0.042568,3,7,0,243.786,0.851371,1.08597,2.10303
-237.198,0.683097,0.0777009,2,3,0,237.605,0.851371,1.08597,2.10303
-238.164,0.91549,0.0584592,2,3,0,238.317,0.766875,1.14342,2.08752
-237.673,0.919887,0.0839678,1,3,0,239.823,0.902318,1.12455,2.29395
-237.673,1.93472e-006,0.121338,1,3,1,239.496,0.902318,1.12455,2.29395
-238.069,0.99438,0.0143286,5,47,0,239.994,0.976064,0.869937,1.96843
-238.605,0.996388,0.0255208,4,23,0,241.013,0.981699,1.03354,2.41945
-238.035,0.997377,0.0452705,3,7,0,238.849,0.96287,1.0663,2.32937
-237.335,1,0.0797691,3,7,0,238.02,0.897144,1.05443,2.2134
-237.335,0.042744,0.140247,1,3,1,238.835,0.897144,1.05443,2.2134
-240.129,0.977209,0.0201157,4,15,0,240.646,0.701725,1.17421,2.12414
-238.657,1,0.0333973,4,15,0,240.196,0.948941,0.731463,1.5697
-239.892,0.850692,0.0583244,3,7,0,240.427,0.709158,1.15618,1.84699
-239.28,0.91764,0.0690164,2,7,0,240.701,1.0041,1.0359,2.11197
-241.016,0.0216746,0.0964812,2,5,1,242.088,0.873611,0.868219,2.17702
-238.138,0.984483,0.0141459,3,7,0,243.416,0.924345,0.883629,2.06216
-238.083,0.999382,0.0235103,4,31,0,240.696,0.697182,0.786848,1.39018
-237.386,0.989524,0.0402349,3,7,0,238.295,0.823572,0.760765,1.52712
-237.696,0.997533,0.06668,2,3,0,237.798,0.888863,0.762769,1.52909
-237.696,0.0189811,0.111862,1,3,1,239.924,0.888863,0.762769,1.52909
-237.343,0.960455,0.0174076,4,31,0,240.83,0.7382,0.837271,1.47654
-237.223,0.943059,0.0267588,4,31,0,238.917,0.906839,0.966228,1.89612
-237.1,1,0.039219,2,3,0,237.321,0.866016,0.955287,2.0224
-236.915,0.984209,0.0654447,3,7,0,237.653,0.807152,0.963442,1.74624
-237.064,0.166066,0.104481,2,6,1,237.52,0.85421,0.862155,1.81318
-237.321,0.991912,0.0244055,4,23,0,238.118,0.823474,0.772263,1.55861
-237.298,0.998235,0.0396666,4,15,0,237.713,0.777894,0.778631,1.48147
-236.881,0.872891,0.0649979,3,7,0,237.672,0.842702,0.932727,1.91528
-236.963,0.967511,0.0793509,4,15,0,237.09,0.838856,0.951905,1.7539
-236.963,0.00595871,0.119898,1,3,1,238.814,0.838856,0.951905,1.7539
-236.763,0.994064,0.0203609,4,15,0,237.969,0.796589,0.961664,1.81868
-238.64,0.874739,0.0327598,3,15,0,239.42,0.736256,0.889624,1.78152
-238.565,0.999308,0.0401055,3,15,0,239.407,0.791313,0.71953,1.49729
-237.279,1,0.0646219,1,3,0,238.469,0.810124,0.772302,1.52683
-237.494,0.593747,0.103676,1,1,0,238.146,0.796676,0.78516,1.58498
-237.227,0.792035,0.0676579,4,15,0,238.641,0.76031,1.00044,1.85034
-237.22,0.991903,0.0684574,2,7,0,238.153,0.905747,1.03581,2.07251
-237.111,0.375455,0.106945,1,3,0,238.733,0.772172,0.967673,1.84529
-237.613,0.974135,0.0438298,4,15,0,238.126,0.763449,0.773172,1.49658
