# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 02:08:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\r7qvq89a.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=400\realisation1\exponential_priors-20240424030840.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-142.669,1,0.03125,1,1,0,186.27,0.973198,0.890575,1.17387
-142.669,0,14.3855,0,1,1,143.957,0.973198,0.890575,1.17387
-142.669,0,2.43117,0,1,1,143.882,0.973198,0.890575,1.17387
-142.669,0,0.239791,0,1,1,144.259,0.973198,0.890575,1.17387
-137.983,1,0.0186273,1,1,0,142.357,0.96214,0.877064,1.19519
-124.275,0.829668,0.0257257,2,3,0,142.531,0.941643,0.778972,1.28461
-121.531,0.991885,0.0239857,4,23,0,125.981,1.06763,1.00246,1.82991
-121.194,1,0.0394353,1,1,0,121.628,1.05469,0.998367,1.82769
-122.379,0.40024,0.0700888,3,15,0,123.827,1.07563,0.810677,1.5421
-124.501,0.896687,0.0193632,2,3,0,124.655,1.09003,0.832079,1.47865
-122.571,1,0.0260613,2,7,0,124.614,1.03065,0.754001,1.58366
-122.334,0.616655,0.0493502,3,7,0,124.659,0.842384,0.897255,1.43351
-120.875,1,0.0281498,4,31,0,122.805,0.967346,1.01637,1.75902
-121.56,0.95248,0.0540848,3,7,0,123.513,1.13707,1.02736,2.15534
-121.56,0.0769055,0.0895371,2,3,0,122.411,1.13707,1.02736,2.15534
-120.44,0.997076,0.00981549,5,63,0,124.079,1.03757,0.959011,1.86339
-121.983,0.997556,0.0188843,4,23,0,122.196,0.839229,0.836284,1.41619
-121.808,0.963972,0.0361658,4,15,0,123.056,0.913079,0.787765,1.46144
-121.611,0.665037,0.0620935,3,7,0,122.473,0.899365,0.814044,1.43615
