# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 02:45:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\oxnr2vx0.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=400\realisation4\exponential_priors-20240424034526.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-257.662,1,0.0625,2,3,0,298.949,0.797674,0.543563,1.5364
-257.662,0,14.3855,0,1,1,261.601,0.797674,0.543563,1.5364
-257.662,0,2.43117,0,1,1,262.659,0.797674,0.543563,1.5364
-257.662,0,0.239791,0,1,1,259.808,0.797674,0.543563,1.5364
-239.858,0.996013,0.0186273,4,15,0,257.853,1.11332,0.589049,1.57566
-239.574,0.999766,0.0254217,2,3,0,239.883,1.10689,0.601755,1.55715
-238.885,0.955327,0.0398875,4,23,0,241.396,0.966012,1.003,2.19908
-238.368,1,0.059022,3,7,0,239.24,1.13213,0.712425,1.85266
-238.368,5.94792e-007,0.105309,1,3,1,240.863,1.13213,0.712425,1.85266
-239.615,0.989916,0.00823645,5,63,0,243.107,1.02364,0.879516,1.74231
-239.022,0.992508,0.014869,4,15,0,241.039,0.92992,0.856509,1.92592
-243.107,0.85891,0.0275152,3,15,0,244.271,1.00103,0.87829,1.56413
-239.367,1,0.0337169,3,15,0,244.814,1.19836,0.863852,2.59861
-238.258,0.660802,0.0647295,3,7,0,240.842,0.966906,0.802737,1.81815
-240.7,0.879769,0.0431146,3,7,0,242.232,0.87064,0.990829,2.06724
-241.069,0.852606,0.0571318,4,15,0,243.84,0.90779,0.622102,1.42744
-239.282,0.828399,0.0696167,3,7,0,241.843,1.17146,0.792249,1.88078
-239.227,0.580319,0.0787675,2,7,0,240.775,1.12228,0.924337,2.03487
-237.869,0.910614,0.0420284,3,11,0,240.702,1.05721,0.849035,1.90725
-237.915,0.976804,0.0612387,3,7,0,238.17,1.03223,0.84545,1.85557
-237.915,0.0946063,0.10818,1,3,0,238.793,1.03223,0.84545,1.85557
-238.777,0.998799,0.0139592,4,31,0,239.041,1.1774,0.798426,2.30317
-238.818,0.999672,0.0264298,4,23,0,240.105,1.18295,0.774666,2.23571
-237.969,0.985551,0.0496681,3,7,0,239.477,1.06843,0.942292,2.27918
-238.281,0.342381,0.0887091,2,5,0,238.965,1.11846,0.847994,2.29747
-237.805,0.981665,0.0249839,4,23,0,239.099,1.01784,0.81383,1.82095
-242.016,0.887679,0.0439883,3,11,0,243.738,1.15808,1.23493,3.51719
-240.687,0.934052,0.0589255,4,15,0,245.727,0.829088,0.781898,1.56467
-239.024,0.333501,0.0893878,2,3,0,241.319,0.911037,0.789829,1.70648
-239.466,0.999337,0.0256435,4,23,0,241.21,1.16658,0.985192,2.82868
-239.614,0.968753,0.0465211,2,3,0,239.986,1.19114,0.96637,2.84645
-239.56,0.750489,0.0769083,3,7,0,240.783,1.00379,1.04599,2.51701
-238.316,0.804468,0.070043,3,11,0,239.876,1.16236,0.82359,2.07556
-238.168,0.283635,0.0737949,3,7,0,240.445,0.962597,0.840714,1.84746
-237.875,0.998739,0.0195333,4,31,0,239.858,1.1008,0.908583,2.18883
-238.293,0.907796,0.034614,3,15,0,240.151,1.1586,0.797104,2.01725
-238.822,0.998423,0.0479431,3,15,0,238.955,0.971606,0.990876,2.03717
-238.822,0.044677,0.0835247,1,1,0,240.158,0.971606,0.990876,2.03717
