# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 03:17:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\abba3dkf.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=400\realisation7\exponential_priors-20240424041720.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-197.167,1,0.0625,1,1,0,222.754,0.76205,0.601103,1.69617
-197.167,0,14.3855,0,1,1,197.717,0.76205,0.601103,1.69617
-197.167,0,2.43117,0,1,1,197.718,0.76205,0.601103,1.69617
-197.167,0,0.239791,0,1,1,197.512,0.76205,0.601103,1.69617
-195.645,1,0.0186273,1,1,0,198.083,0.760557,0.604595,1.67747
-167.381,1,0.0257257,3,7,0,193.374,0.926916,0.770158,1.21902
-167.551,1,0.0404064,2,3,0,168.309,0.797409,0.702578,1.39711
-163.705,0.39382,0.0687243,2,3,0,165.68,0.851444,0.728428,1.33706
-161.675,0.99404,0.0182748,5,31,0,166.166,0.982885,0.728058,1.48595
-160.376,0.978117,0.0327137,4,15,0,162.188,1.00937,0.875534,1.68715
-160.262,0.508907,0.0570033,2,3,0,161.714,1.03821,0.832223,1.80298
-160.674,0.974076,0.0228625,4,23,0,162.303,1.17516,1.04592,2.19304
-159.655,1,0.0402858,2,3,0,160.62,1.12642,1.03797,2.24413
-159.655,0.337105,0.0772794,2,7,0,160.891,1.12642,1.03797,2.24413
-161.885,0.921587,0.0187426,3,7,0,163.048,1.06655,0.909537,2.2427
-160.735,0.968437,0.0284207,3,13,0,164.934,1.21625,1.10473,2.73966
-160.384,0.885733,0.0496998,3,15,0,161.688,1.21217,1.04897,2.4008
-162.437,0.477705,0.0671613,2,3,0,163.192,1.23986,1.06397,2.23495
-160.523,0.995645,0.0262907,2,7,0,163.462,1.14055,1.07697,2.19523
-161.656,0.977506,0.0496516,3,7,0,161.888,0.931019,1.07516,2.1689
-161.656,0.149884,0.0880466,2,7,0,161.971,0.931019,1.07516,2.1689
-159.793,0.999872,0.0134014,4,31,0,162.875,1.11138,1.04896,2.18382
-160.04,0.983759,0.0254623,3,15,0,161.779,1.14892,1.12346,2.55322
-160.678,0.904068,0.0457017,2,7,0,161.207,1.15879,1.19695,2.54462
-160.678,0.0978475,0.064588,1,1,0,162.552,1.15879,1.19695,2.54462
-160.547,0.999205,0.0090697,6,95,0,162.074,1.13249,0.94269,2.31511
-162.878,0.962678,0.0169278,3,7,0,163.471,1.11386,0.873533,2.31788
-161.447,0.980038,0.0282212,2,3,0,163.411,1.11303,0.891771,2.24953
-160.52,1,0.0489634,2,7,0,161.531,1.11545,1.00282,1.99479
-161.738,0.184514,0.0889478,1,3,0,163.742,0.98594,1.07888,1.90651
-161.696,0.99532,0.0171469,4,31,0,164.907,1.26573,1.14905,3.00092
-161,0.841528,0.0307205,3,7,0,164.089,1.19197,1.24693,2.87657
-159.829,0.995581,0.0360236,4,15,0,161.493,1.06347,1.09806,2.25365
-161.282,0.561408,0.0635853,2,7,0,163.158,1.2127,0.868983,2.27033
-160.148,0.994557,0.0351853,3,15,0,162.416,1.09539,0.958729,1.9205
-160.148,0.612966,0.0613804,2,7,0,162.979,1.09539,0.958729,1.9205
-159.762,0.855426,0.0392213,2,3,0,160.961,1.05005,0.931996,2.02222
-159.716,0.998081,0.0472652,2,7,0,159.974,1.096,0.907933,1.91938
-162.377,0.262032,0.0819182,3,7,0,162.585,0.919961,0.984759,1.67321
-164.733,0.998056,0.021563,4,15,0,166.187,0.776849,0.843156,1.48591
-163.822,1,0.0372691,4,15,0,164.92,0.803988,0.837419,1.44542
-165.825,0.382393,0.0641942,3,7,0,171.757,1.15869,0.546049,1.30975
-163.55,0.989995,0.0235248,3,7,0,166.519,1.05406,0.617048,1.34412
-161.858,0.974709,0.0393351,4,15,0,164.408,1.14037,0.732811,1.56647
-161.996,0.884082,0.062869,3,15,0,164.524,1.11892,1.29067,3.06397
-161.996,0.000346855,0.0800048,1,1,0,163.553,1.11892,1.29067,3.06397
-161.334,0.999895,0.0119286,3,7,0,162.099,1.16341,1.29023,3.00776
-159.991,0.993667,0.0202141,4,31,0,161.877,1.07567,1.08186,2.3992
-161.147,0.808191,0.0334986,3,11,0,163.92,1.17676,1.25598,2.70977
-162.559,0.906557,0.0354979,3,7,0,164.201,1.07073,1.37963,2.66903
-161.389,1,0.0473862,2,3,0,162.804,1.07468,1.26869,2.81293
-161.389,0.0103885,0.078412,2,3,0,165.891,1.07468,1.26869,2.81293
-161.346,0.992209,0.0128954,3,11,0,162.706,1.07365,1.29364,2.78852
-161.048,0.983388,0.02099,2,7,0,162.319,1.14042,1.27786,2.71715
-160.993,0.951384,0.0332658,4,21,0,162.723,1.01983,0.776759,1.68989
-160.964,0.928879,0.0487145,1,3,0,161.648,1.00991,0.800213,1.74538
-161.023,0.808636,0.0674542,3,15,0,161.973,1.16268,1.06006,2.15476
-160.724,0.725406,0.070934,2,7,0,161.434,1.20166,0.881711,2.21199
-160.108,0.707808,0.0618587,3,11,0,162.33,1.03629,0.886381,1.74983
-161.33,0.706019,0.0519497,3,11,0,163.322,1.06187,1.17145,2.20106
-161.672,0.97904,0.0435397,4,15,0,162.1,1.12861,1.01409,2.60008
-161.672,0.722248,0.066664,1,3,0,163.154,1.12861,1.01409,2.60008
-161.553,0.940281,0.0579082,2,7,0,163.654,1.26951,0.946078,2.20996
-160.05,1,0.0809369,2,3,0,161.081,1.08306,1.13498,2.31975
-160.05,3.42634e-008,0.128205,1,3,1,163.896,1.08306,1.13498,2.31975
-160.326,0.943086,0.023531,5,47,0,165.414,1.15751,0.838757,1.9635
-160.058,0.96509,0.0330522,4,19,0,161.724,1.07418,1.15041,2.38611
-159.985,0.937828,0.0484588,4,19,0,160.95,1.13209,0.951351,1.99862
-160.32,0.74385,0.0667765,3,7,0,161.828,1.01125,0.836742,1.66751
-159.789,0.872395,0.0609737,4,15,0,160.853,1.05882,1.04218,2.25939
-159.732,0.853073,0.072912,2,7,0,159.954,1.07963,1.06764,2.32144
-159.732,0.0377647,0.0835825,2,3,0,161.513,1.07963,1.06764,2.32144
-160.191,0.994772,0.017699,4,31,0,161.084,0.994111,1.04342,1.99963
-159.768,0.989679,0.0273175,3,7,0,160.449,1.03291,0.991577,2.10204
-159.912,0.903539,0.0415326,2,3,0,160.777,1.01565,1.01852,1.99331
-160.737,0.887713,0.0527457,3,15,0,163.679,0.979077,1.09358,2.24214
-161.987,0.417109,0.064706,2,3,0,162.443,0.960943,1.09366,2.3359
-161.167,1,0.0306532,2,3,0,162.452,0.986344,1.15645,2.1342
-160.21,1,0.0471302,3,11,0,161.861,0.979677,1.00529,2.03522
-160.559,0.611291,0.0721489,3,11,0,162.316,1.0896,0.837326,1.69896
-160.24,1,0.0507889,2,7,0,161.349,0.981744,0.908547,1.86289
-160.24,0.0692,0.0773841,2,3,0,163.482,0.981744,0.908547,1.86289
-159.959,0.999431,0.0187915,4,15,0,160.362,1.013,0.915583,1.80288
-160.896,0.944345,0.0286137,3,15,0,162.284,1.13607,0.7721,1.81756
