# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-24 03:37:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\0d7q0j6h.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=400\realisation9\exponential_priors-20240424043740.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-220.875,0.800574,0.0625,2,5,0,258.9,1.17541,0.489137,2.75756
-220.875,0,10.0104,0,1,1,224.552,1.17541,0.489137,2.75756
-220.875,0,1.51941,0,1,1,222.337,1.17541,0.489137,2.75756
-220.875,2.24592e-283,0.140943,1,2,1,224.106,1.17541,0.489137,2.75756
-198.659,1,0.0105364,3,7,0,221.545,1.33839,0.545635,2.37994
-187.415,0.999986,0.0141954,4,31,0,199.627,1.35815,0.775985,1.93721
-182.985,0.999769,0.0219404,4,15,0,187.979,1.03867,0.832206,2.13949
-180.732,1,0.0369141,2,3,0,182.857,1.07907,0.866239,2.11292
-178.865,0.8764,0.065566,3,7,0,181.174,0.942513,1.05335,2.00608
-179.133,0.984934,0.0814515,2,5,0,179.332,1.0434,1.07099,2.22087
-179.133,2.95678e-005,0.145205,1,1,0,179.831,1.0434,1.07099,2.22087
-180.46,0.985623,0.0116591,4,19,0,182.453,0.925521,1.24029,2.30242
-183.254,0.996861,0.0213483,5,31,0,183.982,1.22435,1.25562,3.12127
-184.436,0.778991,0.040665,2,3,0,185.556,1.25898,1.30161,2.9929
-187.372,0.997304,0.0392552,4,23,0,187.758,0.984815,0.473177,1.06062
-184.765,0.710689,0.0749143,3,7,0,189.2,0.85281,0.589612,1.23061
-183.289,0.860457,0.0588766,3,11,0,190.309,0.717654,1.1319,1.86236
-184.992,0.860368,0.0735591,1,1,0,185.033,0.689501,1.1939,1.82938
-184.992,0.138102,0.0917569,2,3,0,185.785,0.689501,1.1939,1.82938
-179.599,0.999902,0.0130271,5,31,0,186.502,0.931945,0.805037,1.47353
-180.903,0.859523,0.0249691,4,23,0,183.324,1.04626,1.07419,1.96852
-179.26,0.998915,0.0313031,3,15,0,182.549,0.95902,1.12322,2.19649
-178.728,0.783329,0.0588847,3,15,0,180.287,0.943725,0.978273,1.83144
-178.718,0.991602,0.058605,3,11,0,178.886,0.942888,0.912292,1.81595
-178.773,0.593219,0.106361,1,3,0,178.863,1.01488,0.911653,1.84556
-180.187,0.8768,0.0612425,3,11,0,181.131,0.869443,0.814823,1.39544
-180.682,0.301301,0.079506,3,15,0,182.956,1.06656,1.07469,2.54046
-182.366,0.937997,0.0204131,3,7,0,184.295,1.06363,1.03437,2.61773
-182.597,0.988453,0.0315897,3,15,0,184.001,0.973558,1.34862,2.35481
-182.433,0.993866,0.0557901,3,11,0,184.027,1.2426,0.893865,2.14217
-182.433,0.00625318,0.0990627,1,1,0,182.776,1.2426,0.893865,2.14217
-180.07,0.996708,0.0119184,4,15,0,183.702,0.934535,1.05312,2.21062
-180.303,0.986156,0.0213937,3,15,0,181.936,0.996885,1.03278,1.846
-181.469,0.923984,0.0369789,2,7,0,181.952,0.991764,1.03485,1.77937
-181.092,1,0.0537277,2,3,0,182.547,0.877563,0.967804,2.01949
-181.092,0.0212311,0.0947591,1,3,0,181.419,0.877563,0.967804,2.01949
