# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:34:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\4rsrdjoj.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.2\realisation0\exponential_priors-20240423083445.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-373.443,0.66668,0.125,2,3,0,465.691,0.138331,0.431922,2.83729
-373.443,0,7.84742,0,1,1,377.796,0.138331,0.431922,2.83729
-373.443,0,1.10819,0,1,1,374.693,0.138331,0.431922,2.83729
-330.537,1,0.0986495,2,3,0,359.674,0.442061,0.603847,1.59459
-323.952,0.905362,0.125139,3,7,0,327.614,0.325657,0.582115,1.62772
-322.401,1,0.141598,2,3,0,324.37,0.41727,0.435943,2.56289
-322.401,3.79617e-006,0.232874,1,1,0,325.595,0.41727,0.435943,2.56289
-323.015,0.999845,0.0181384,5,47,0,323.735,0.31587,0.502024,1.62137
-322.708,0.999958,0.0319811,3,7,0,323.069,0.330668,0.490771,1.61242
-322.263,0.984129,0.0584873,3,7,0,323.535,0.340267,0.429376,1.56778
-322.188,0.993892,0.103953,3,7,0,322.471,0.404332,0.407039,2.64292
-322.188,0.463125,0.192783,2,3,0,322.213,0.404332,0.407039,2.64292
-322.57,0.927898,0.0675298,2,3,0,322.894,0.358397,0.404385,2.62276
-322.089,0.808157,0.103096,2,7,0,323.856,0.379546,0.487216,2.77089
-323.692,0.59217,0.108441,3,7,0,324.736,0.311912,0.601667,2.51478
-323.343,0.98839,0.0586038,2,3,0,324.189,0.315018,0.61078,2.3732
-324.179,0.906816,0.108426,2,7,0,326.36,0.460711,0.430873,2.76018
-323.103,0.704228,0.155365,3,15,0,324.016,0.373469,0.50884,1.68624
-322.844,0.99251,0.120043,2,7,0,324.959,0.345362,0.548211,2.88565
