# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:35:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\5r_gktmz.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.2\realisation1\exponential_priors-20240423083509.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-376.095,1,0.125,2,3,0,481.098,0.117562,0.37419,2.28218
-376.095,0,14.3855,0,1,1,377.185,0.117562,0.37419,2.28218
-376.095,0,2.43117,0,1,1,378.509,0.117562,0.37419,2.28218
-376.095,0,0.239791,0,1,1,377.668,0.117562,0.37419,2.28218
-371.033,1,0.0186273,3,7,0,377.283,0.123004,0.400497,2.27242
-370.941,0.999915,0.0257257,2,3,0,371.951,0.123601,0.405525,2.3108
-344.403,1,0.0403959,3,7,0,373.676,0.420402,0.798573,1.25428
-320.987,1,0.0687061,3,7,0,342.209,0.279292,0.475186,1.54465
-320.77,0.945038,0.122768,4,31,0,322.533,0.340755,0.557189,1.68022
-317.842,0.341674,0.190002,3,7,0,321.067,0.392957,0.268908,1.44773
-317.882,0.99976,0.044353,3,15,0,318.327,0.353415,0.215978,1.5782
-317.682,0.987629,0.0838731,3,11,0,318.391,0.38566,0.281433,1.48615
-317.753,0.856106,0.153634,4,17,0,318.032,0.374296,0.377489,3.4638
-317.753,0.0276199,0.186595,2,7,0,319.634,0.374296,0.377489,3.4638
-317.903,0.999761,0.0171583,7,159,0,318.76,0.411721,0.406853,6.8713
-318.863,0.963431,0.0331676,6,71,0,319.844,0.426106,0.236518,1.44451
-318.529,1,0.0570532,3,7,0,318.89,0.321324,0.251767,1.50914
-317.522,0.84817,0.109185,3,15,0,319.537,0.397682,0.331705,3.06508
-318.217,0.959082,0.130853,4,23,0,319.699,0.410065,0.768475,13.2652
-318.217,0.00837782,0.218567,1,3,1,319.869,0.410065,0.768475,13.2652
-319.724,0.999244,0.0212927,7,127,0,320.621,0.452288,0.811057,580.077
-320.496,0.926588,0.040401,3,7,0,321.238,0.395525,0.820372,578.03
-314.923,0.998714,0.0613465,5,31,0,321.93,0.414328,2.44847,236.897
-315.892,0.807941,0.114144,4,23,0,316.384,0.391718,6.27272,181.64
-315.356,1,0.121331,1,1,0,315.796,0.411875,6.32483,177.521
-314.922,0.333333,0.223102,2,3,0,315.254,0.440154,6.63664,198.309
-317.836,0.751074,0.061441,2,3,0,318.044,0.362499,7.32834,193.785
-314.55,0.963534,0.0559189,3,7,0,318.801,0.434091,6.37609,225.077
-314.694,0.929473,0.0921265,4,15,0,315.05,0.422659,4.45861,316.368
-314.607,0.474185,0.137011,3,7,0,316.151,0.450134,6.57166,245.32
-314.685,0.789972,0.0581792,3,7,0,317.556,0.407942,5.3552,276.219
-314.685,0.999525,0.0590759,5,31,0,315.084,0.45099,4.78882,182.773
-316.867,0.520487,0.105458,1,3,0,317.054,0.50646,5.04814,178.671
-316.625,0.999125,0.051853,5,47,0,320.335,0.43019,0.565274,76.4292
-317.47,0.618189,0.091692,4,23,0,320.165,0.404741,0.53382,208.534
-318.281,0.965983,0.0590081,5,31,0,319.111,0.395715,0.359347,181.608
-317.894,0.856655,0.0947299,3,11,0,319.911,0.501957,0.729449,116.785
-317.013,0.990182,0.113739,4,15,0,318.048,0.42285,1.64674,48.4218
-317.013,4.42602e-012,0.191869,1,1,0,318.931,0.42285,1.64674,48.4218
-316.244,0.990598,0.0257308,5,63,0,319.106,0.446882,0.719953,91.3848
-315.8,0.954159,0.0435835,5,55,0,320.168,0.453033,1.41327,254.513
-315.317,0.979519,0.0668302,5,63,0,317.746,0.458651,10.2367,342.858
-315.773,0.855535,0.108461,2,3,0,316.003,0.39624,10.5339,328.643
-316.78,0.919684,0.128592,4,15,0,318.097,0.397576,4.98514,488.024
-315.82,0.0769678,0.178021,3,13,1,320.542,0.394296,7.61108,399.072
-316.391,0.997018,0.0313975,6,79,0,317.494,0.482797,1.56855,96.6211
-317.156,0.992787,0.0526848,5,55,0,318.867,0.398222,8.61959,564.849
-317.128,0.993093,0.086868,2,3,0,317.421,0.396179,8.59337,554.256
-317.453,0.262556,0.142332,2,3,0,318.237,0.388353,8.56176,552.693
-316.134,0.999642,0.0409203,3,7,0,317.555,0.420878,8.23845,516.998
-316.595,0.845814,0.0679613,3,15,0,318.753,0.47846,8.98192,486.894
-316.257,0.896258,0.0781933,2,3,0,317.846,0.449279,8.42956,530.007
-315.285,0.998092,0.100965,4,15,0,318.384,0.448947,8.01966,418.267
-315.285,0.142017,0.164393,3,13,0,316.287,0.448947,8.01966,418.267
-315.099,0.996952,0.0372438,5,31,0,315.54,0.418289,8.65463,246.543
-316.487,0.995929,0.0604732,4,31,0,317.661,0.440185,15.061,305.729
-314.858,0.983064,0.0973555,3,7,0,317.529,0.446648,8.37789,266.699
-316.001,0.115034,0.151337,3,11,0,317.533,0.381471,6.88831,229.226
-317.203,0.97807,0.033475,3,15,0,318.083,0.516612,5.62424,227.294
-314.32,0.999786,0.0515032,3,15,0,317.42,0.43836,5.03825,232.494
-315.413,0.798005,0.0827014,3,15,0,316.172,0.472393,3.32842,302.529
-314.793,0.95712,0.084703,4,31,0,316.659,0.456517,2.71477,156.24
-314.542,0.760181,0.122813,4,31,0,315.12,0.424173,3.18132,246.584
-316.197,0.368218,0.115525,3,15,0,318.253,0.493155,5.51003,349.522
-315.423,0.994052,0.0465907,4,23,0,317.215,0.476762,3.69509,297.804
-314.542,1,0.0728907,3,15,0,316.981,0.411074,4.29579,233.858
-314.652,0.985256,0.114902,3,9,0,314.765,0.461232,4.38721,208.196
