# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:35:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\y1va9caf.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.2\realisation2\exponential_priors-20240423083552.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-365.928,0.428637,0.125,2,7,1,489.321,0.110565,0.320493,2.54457
-365.928,0,5.09052,0,1,1,368.149,0.110565,0.320493,2.54457
-365.928,0,0.63233,0,1,1,366.565,0.110565,0.320493,2.54457
-322.693,1,0.052314,2,3,0,365.548,0.178629,0.427256,1.98977
-309.58,1,0.0633899,3,7,0,322.911,0.239013,0.513218,2.11202
-308.383,0.995749,0.0923367,3,7,0,310.964,0.274123,0.358667,1.95168
-305.01,0.843195,0.148176,2,5,0,307.286,0.324004,0.457599,1.92205
-304.797,0.74559,0.158062,3,7,0,307.191,0.377519,0.557319,5.58637
-303.86,0.78197,0.127991,3,7,0,306.809,0.331579,0.616606,3.78839
-304.503,0.991704,0.118385,3,7,0,304.936,0.328084,0.490217,2.92701
-304.503,0.081316,0.215725,1,1,0,304.518,0.328084,0.490217,2.92701
-305.815,0.999833,0.022382,5,47,0,307.485,0.362957,0.365643,1.90942
-306.441,0.981652,0.0427741,4,15,0,306.904,0.318516,0.346685,2.30076
-306.006,0.846211,0.0774451,3,7,0,308.44,0.372423,0.341507,2.68211
-309.013,0.613082,0.0918674,3,7,0,309.547,0.304407,0.303894,2.74091
-306.61,1,0.0530256,2,3,0,308.836,0.343103,0.321861,2.7089
-306.422,0.859434,0.101744,3,7,0,308.327,0.277653,0.630364,1.88821
-304.667,0.978773,0.126208,2,3,0,306.941,0.338206,0.448205,2.2531
-305.183,0.828707,0.224441,2,3,0,305.395,0.311997,0.547844,1.91155
