# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:36:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\s7gxciyc.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.2\realisation3\exponential_priors-20240423083624.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-340.134,1,0.125,1,3,0,471.414,0.104104,0.42633,2.63368
-340.134,0,14.3855,0,1,1,341.695,0.104104,0.42633,2.63368
-340.134,0,2.43117,0,1,1,341.172,0.104104,0.42633,2.63368
-340.134,1.05782e-134,0.239791,1,1,0,341.472,0.104104,0.42633,2.63368
-319.176,0.998432,0.0186273,3,7,0,342.352,0.143731,0.467124,2.87255
-295.282,0.984075,0.0256058,3,15,0,320.473,0.237881,0.61938,2.42911
-294.49,0.999752,0.0382991,4,31,0,299.166,0.252371,0.54538,2.05157
-292.42,0.988679,0.065032,5,31,0,296.667,0.390646,0.975986,18.8139
-292.053,0.951248,0.112082,4,23,0,293.062,0.284494,1.22109,5.86763
-291.041,1,0.176821,2,5,0,291.812,0.3654,0.624696,6.51049
-291.041,7.31601e-016,0.330959,1,2,1,291.778,0.3654,0.624696,6.51049
-293.16,0.99757,0.0265468,5,31,0,293.699,0.32196,0.37288,6.22967
-292.495,0.975355,0.0503473,3,7,0,294.295,0.368844,0.416597,6.68064
-291.11,0.972512,0.0893107,4,15,0,293.269,0.324824,0.614539,7.08693
-291.558,0.586157,0.15695,3,7,0,292.277,0.389443,0.804445,7.21976
-291.13,0.936749,0.0830594,3,15,0,293.762,0.358177,0.604923,7.45066
-290.532,0.92557,0.130779,3,7,0,291.367,0.310577,1.07512,6.46618
-290.526,0.240528,0.198168,2,7,0,293.506,0.36528,1.129,10.5612
-290.738,0.996383,0.0374902,3,7,0,290.783,0.373222,1.13536,10.365
