# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:36:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\65mp48tk.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.2\realisation4\exponential_priors-20240423083654.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-329.779,1,0.125,2,3,0,461.263,0.114863,0.383559,2.647
-329.779,0,14.3855,0,1,1,331.022,0.114863,0.383559,2.647
-329.779,0,2.43117,0,1,1,332.027,0.114863,0.383559,2.647
-329.779,4.46766e-071,0.239791,1,2,1,330.618,0.114863,0.383559,2.647
-329.723,0.995979,0.0186273,2,3,0,331.923,0.114066,0.396641,2.63907
-310.468,1,0.0254192,3,7,0,330.4,0.147848,0.427451,2.15621
-309.627,1,0.039912,3,7,0,311.765,0.152373,0.421962,2.26881
-296.067,1,0.0678696,2,3,0,310.473,0.213746,0.381034,2.365
-291.349,1,0.121259,2,3,0,294.887,0.253706,0.394026,2.40582
-290.218,0.351022,0.223223,1,3,0,290.262,0.344828,0.395173,2.21529
-289.025,0.99878,0.0536832,5,31,0,290.971,0.357753,0.499851,7.00734
-288.897,1,0.101181,4,15,0,289.542,0.337482,0.560862,3.96686
-288.897,4.01952e-007,0.192592,2,3,0,293.047,0.337482,0.560862,3.96686
-290.346,0.998746,0.0159559,6,127,0,291.265,0.331196,0.227523,1.91396
-290.471,0.997351,0.0307192,4,15,0,290.589,0.303318,0.227778,2.04571
-290.764,0.993173,0.0587235,3,15,0,292.117,0.354803,0.20904,3.11316
-290.103,0.714326,0.110256,4,31,0,293.274,0.374894,0.714394,5.08184
-288.452,0.997691,0.087751,4,23,0,291.375,0.32816,0.8821,9.23972
-288.452,1.1453e-006,0.165727,1,3,0,291.907,0.32816,0.8821,9.23972
