# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:37:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\l0t1q1i1.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.2\realisation5\exponential_priors-20240423083719.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-331.898,1,0.125,1,3,0,469.024,0.0990448,0.392568,2.17514
-331.898,0,14.3855,0,1,1,332.193,0.0990448,0.392568,2.17514
-331.898,0,2.43117,0,1,1,332.703,0.0990448,0.392568,2.17514
-311.56,0.333333,0.239791,1,3,1,317.224,0.477643,0.445682,1.19868
-292.137,1,0.0482795,2,7,0,310.328,0.33558,0.433383,1.33749
-288.854,0.999487,0.0694982,3,15,0,292.649,0.284733,0.355213,1.2728
-289.08,0.9742,0.111948,4,15,0,289.598,0.308145,0.165004,1.68901
-290.339,0.383274,0.178707,3,7,0,291.485,0.256733,0.229971,2.00467
-290.805,0.999368,0.0463979,4,31,0,292.157,0.372733,0.169563,1.33156
-291.936,0.823787,0.0848472,3,15,0,294.489,0.244422,0.235059,2.37825
-287.914,0.992949,0.0908721,2,3,0,292.11,0.302607,0.24367,2.14251
-287.577,1,0.168048,3,7,0,288.192,0.299168,0.410592,1.9421
-287.577,1.01774e-008,0.319381,1,1,0,288.34,0.299168,0.410592,1.9421
-287.801,0.996757,0.026401,4,15,0,287.968,0.271417,0.422335,2.08195
-286.054,0.995607,0.050375,5,31,0,288.533,0.330889,0.488559,6.00014
-288.889,0.963133,0.0954805,4,15,0,289.054,0.349194,0.231147,10.541
-288.3,0.935511,0.162892,2,7,0,289.466,0.33984,0.274536,9.4328
-288.3,6.13118e-009,0.254025,1,1,0,289.7,0.33984,0.274536,9.4328
-289.266,0.986587,0.0231399,4,31,0,290.191,0.298386,0.312905,9.55897
-288.464,0.989632,0.0425709,4,23,0,291.944,0.257738,1.00378,5.67438
-287.892,0.981123,0.0783687,3,7,0,288.873,0.387566,0.931286,7.01126
-287.222,0.991149,0.139414,3,13,0,287.78,0.389189,0.874566,10.3591
-287.222,0.238276,0.253135,1,3,1,288.479,0.389189,0.874566,10.3591
-286.002,1,0.0510354,4,19,0,288.657,0.351781,0.761588,11.6258
-285.54,0.988055,0.0950046,2,7,0,288.168,0.323133,0.998865,8.40201
-285.54,0.303115,0.169184,2,3,0,285.99,0.323133,0.998865,8.40201
-286.227,0.996484,0.0428707,5,31,0,286.334,0.343577,0.541862,8.84404
-287.077,0.853596,0.0779731,3,15,0,287.949,0.280443,0.586424,6.10421
-287.369,0.993216,0.0943148,4,23,0,288.431,0.288641,1.22972,15.4208
-287.369,0.0290136,0.167231,2,7,0,290.627,0.288641,1.22972,15.4208
-287.492,0.999553,0.0209477,3,7,0,287.536,0.287002,1.2324,15.5255
-286.803,0.999536,0.0379012,3,7,0,287.933,0.371216,1.48416,15.2307
-288.077,0.975165,0.0679071,2,7,0,292.159,0.311906,2.12009,12.5051
-286.613,1,0.112918,2,3,0,288.073,0.330696,1.72001,12.787
-286.613,0.0745563,0.19889,2,7,0,288.443,0.330696,1.72001,12.787
-287.362,0.984341,0.0304604,3,7,0,287.557,0.366735,1.70501,12.8858
-287.033,0.950855,0.0515665,2,7,0,290.119,0.331983,1.82677,12.2561
-289.428,0.980602,0.0793849,5,51,0,290.654,0.36774,0.616991,164.925
-292.902,0.375722,0.131023,4,31,0,293.621,0.4476,3.34358,154.606
-292.393,1,0.0459178,1,1,0,292.99,0.440772,3.36704,155.722
-292.155,1,0.0793031,2,3,0,293.194,0.293751,3.73243,140.105
-289.737,1,0.135832,2,3,0,290.679,0.387079,3.54972,142.113
-290.305,0.316978,0.230788,1,3,1,291.516,0.386462,4.58623,128.362
-286.994,1,0.07178,5,63,0,291.663,0.305768,0.336014,2.76797
-286.263,0.992947,0.121554,4,15,0,287.515,0.332133,0.433657,5.15127
-287.509,0.109982,0.200794,1,3,0,288.829,0.371474,0.439832,4.08206
-288.16,0.999315,0.0387935,4,31,0,289.322,0.262048,0.69715,3.33656
-287.537,0.973559,0.0651137,3,7,0,289.405,0.282629,0.794541,3.67981
-288.469,0.992174,0.102025,5,47,0,289.214,0.366667,1.03835,67.0009
-289.933,0.124473,0.16604,4,15,0,290.767,0.322212,1.01488,147.099
-287.313,0.989632,0.0347224,6,79,0,291.858,0.278856,1.12925,10.9877
-287.945,0.996125,0.0561939,4,31,0,288.386,0.283458,0.586384,9.55993
-286.925,1,0.0917312,2,7,0,288.573,0.291915,0.642258,8.83562
-286.746,0.944548,0.150111,3,7,0,287.334,0.30547,1.34087,7.81754
-285.624,0.812616,0.214887,2,3,0,287.108,0.336438,1.11585,10.5484
-285.732,0.456002,0.226587,1,3,0,286.122,0.328176,0.923852,12.1494
-285.678,0.797237,0.106344,3,15,0,287.388,0.312341,0.680483,6.84093
-285.615,0.953773,0.108689,3,7,0,285.984,0.322158,0.691612,7.73778
-286.231,0.695102,0.157672,3,15,0,286.71,0.305053,1.23499,8.31179
-286.776,0.928006,0.127997,4,15,0,287.836,0.360331,0.650312,14.9328
-288.152,0.0937851,0.174392,4,23,0,291.987,0.282112,0.576753,9.73555
-286.291,1,0.0377688,3,7,0,288.56,0.307793,0.627096,8.81909
-285.531,0.997956,0.060431,4,23,0,286.443,0.338381,0.847413,9.08745
-285.516,0.95351,0.0957257,4,15,0,286.818,0.332337,0.81579,7.12878
-287.886,0.775508,0.136998,3,7,0,288.489,0.321297,0.920157,4.05718
-287.058,0.335653,0.133163,2,3,0,290.379,0.273469,0.857505,5.68463
