# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:37:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\m9r737d4.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.2\realisation6\exponential_priors-20240423083747.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-508.752,0.00483499,0.125,2,4,1,510.896,1,1,1
-508.752,0,2.35568,0,1,1,509.668,1,1,1
-508.752,0,0.232875,1,3,1,511.355,1,1,1
-495.257,1,0.0169109,1,1,0,508.452,0.962694,0.983918,1.01202
-412.722,0.977438,0.0188864,2,3,0,500.238,0.743116,0.891313,1.22423
-405.697,1,0.0244014,1,1,0,413.216,0.72541,0.882904,1.26402
-343.094,1,0.0382717,2,3,0,401.267,0.499589,0.708808,1.55222
-325.701,1,0.065035,2,3,0,342.896,0.296937,0.599445,1.52894
-325.935,0.832908,0.116147,2,3,0,326.86,0.340958,0.613613,1.57137
-322.526,1,0.126119,2,3,0,325.994,0.407066,0.336893,1.54168
-322.526,0.0494513,0.235949,1,3,1,324.05,0.407066,0.336893,1.54168
-321.831,0.996707,0.022134,4,15,0,323.487,0.374897,0.34004,1.40208
-321.553,0.998185,0.0418872,3,7,0,321.986,0.353532,0.337277,1.4561
-322.208,0.987609,0.0798816,4,15,0,322.98,0.381927,0.150509,1.05425
-322.198,0.7064,0.147236,2,7,0,323.472,0.31932,0.195218,0.571198
-322.25,0.995741,0.11314,4,19,0,323.078,0.416444,0.25947,2.07362
-322.507,0.236613,0.21314,2,5,1,322.636,0.39219,0.238318,2.3835
-322.582,0.992636,0.0392425,5,39,0,323.702,0.410217,0.398255,3.69452
-324.1,0.976197,0.0734438,6,127,0,324.581,0.4271,0.15681,10.509
-324.33,0.109184,0.129752,4,15,0,325.764,0.431594,0.109864,14.8816
