# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:38:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\267jtu74.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.2\realisation7\exponential_priors-20240423083837.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-359.293,1,0.125,1,1,0,465.011,0.134828,0.413703,3.11801
-359.293,0,14.3855,0,1,1,361.581,0.134828,0.413703,3.11801
-359.293,0,2.43117,0,1,1,360.48,0.134828,0.413703,3.11801
-359.293,0,0.239791,0,1,1,360.239,0.134828,0.413703,3.11801
-330.643,1,0.0186273,4,15,0,360.237,0.183948,0.461826,2.43095
-325.972,1,0.0257257,3,7,0,331.354,0.197065,0.454927,2.25196
-313.34,0.991229,0.0404064,3,7,0,329.053,0.257111,0.697395,1.93886
-314.495,0.974002,0.0668734,2,3,0,314.75,0.245533,0.738074,1.97161
-314.261,0.978912,0.11009,3,11,0,316.526,0.250413,0.785537,2.33978
-314.261,0.000113523,0.189517,1,3,0,316.186,0.250413,0.785537,2.33978
-313.773,0.998902,0.0150219,5,31,0,315.65,0.460525,0.507502,3.28731
-311.066,1,0.0283649,3,7,0,314.285,0.405806,0.467239,3.4152
-310.167,0.99284,0.054198,3,7,0,311.413,0.35732,0.549125,3.56287
-310.332,0.947227,0.101526,3,7,0,310.902,0.364214,0.697705,2.65007
-310.931,0.913673,0.164774,3,7,0,311.647,0.334743,0.431605,2.71873
-310.931,0.000998717,0.240488,1,3,0,312.388,0.334743,0.431605,2.71873
-311.576,0.994602,0.0211159,4,31,0,312.909,0.390395,0.551726,2.08558
-310.746,0.988191,0.0400432,3,15,0,313.868,0.339853,0.375376,2.03975
-310.734,0.992736,0.0739279,3,7,0,312.912,0.333109,0.466154,1.58149
-310.734,0.138177,0.137258,2,7,0,314.45,0.333109,0.466154,1.58149
-311.038,0.998533,0.0197656,5,31,0,311.262,0.305305,0.390097,1.61412
-310.519,0.986307,0.0374481,5,55,0,312.213,0.320978,0.830162,3.97888
-310.369,0.999571,0.0677853,4,31,0,311.873,0.400154,1.07373,6.18067
-311.001,0.956893,0.126331,4,21,0,311.436,0.292406,0.655264,2.2422
-310.536,0.21254,0.206098,2,5,0,311.874,0.389414,0.656108,2.88598
-309.791,0.969849,0.0397673,2,7,0,311.723,0.338399,0.624508,3.03003
-310.609,0.977431,0.0674447,5,35,0,312.803,0.361094,1.03516,4.17971
-311.028,0.884981,0.115829,1,1,0,311.096,0.367245,1.0601,4.04087
-311.863,0.340526,0.152392,3,11,0,313.411,0.42474,0.461012,2.9057
-310.658,0.999937,0.0443753,3,15,0,313.197,0.301899,0.666375,2.66485
-309.727,0.977667,0.0802681,3,7,0,312.607,0.354311,0.753313,3.92004
-310.664,0.468311,0.135339,4,15,0,311.648,0.377305,1.23464,11.0017
-310.089,0.989959,0.0573709,5,47,0,311.078,0.389479,0.624551,3.65673
-311.584,0.75245,0.0993798,4,15,0,312.211,0.321077,0.639281,4.42362
-312.699,0.983023,0.0909176,4,15,0,313.475,0.338364,1.84308,12.469
-312.699,0.0151853,0.152711,1,1,0,313.704,0.338364,1.84308,12.469
-312.177,0.998498,0.0203704,5,39,0,314.856,0.418446,1.75007,21.0901
-311.781,0.997504,0.0357325,4,31,0,312.477,0.393413,1.89579,17.3616
-312.027,0.966171,0.0619716,5,39,0,315.053,0.395906,0.304906,2.08028
-311.816,0.917217,0.0983853,2,3,0,312.686,0.370285,0.290771,1.96393
-310.58,0.966328,0.137025,2,7,0,313.949,0.347366,0.392784,1.67515
-310.58,0.000404691,0.214795,1,3,0,314.939,0.347366,0.392784,1.67515
