# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:39:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\fe4inqnj.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.2\realisation8\exponential_priors-20240423083913.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-347.255,0.7027,0.125,1,3,0,482.263,0.0939819,0.468891,2.49893
-347.255,0,8.37856,0,1,1,348.104,0.0939819,0.468891,2.49893
-347.255,0,1.20639,0,1,1,350.101,0.0939819,0.468891,2.49893
-318.343,1,0.108587,2,3,0,338.434,0.515753,0.413957,1.39121
-296.599,1,0.138704,1,3,0,306.063,0.273861,0.308897,1.73145
-296.524,0.457458,0.209043,1,3,0,296.704,0.346531,0.275166,1.55366
-296.889,0.97786,0.0659812,5,31,0,299.215,0.406722,0.485127,10.1681
-296.456,0.999222,0.105605,4,15,0,299.679,0.311719,0.472108,1.72072
-295.696,0.357617,0.189023,2,3,0,297.043,0.321139,0.502796,2.01906
-294.777,0.998722,0.0458639,5,63,0,297.359,0.342054,0.69966,8.00059
-294.275,0.943985,0.085338,4,31,0,295.344,0.301206,0.65672,3.3024
-295.162,0.810124,0.13521,3,9,0,295.658,0.383897,0.691093,5.89234
-296.229,0.752011,0.14141,2,7,0,296.268,0.293694,0.62024,6.79373
-294.588,0.946863,0.123969,3,7,0,295.856,0.342023,0.760656,7.61902
-294.588,0.134021,0.20075,2,6,1,296.012,0.342023,0.760656,7.61902
-294.312,0.995518,0.0261342,5,63,0,295.931,0.339624,0.702618,3.68631
-294.102,0.95122,0.0497014,3,7,0,296.263,0.315882,0.779013,4.41785
-294.119,0.991295,0.0820343,4,31,0,294.35,0.348489,0.508772,3.86417
-294.119,0.0846262,0.152035,1,3,0,295.606,0.348489,0.508772,3.86417
-294.556,0.996874,0.0183054,5,31,0,294.817,0.364242,0.63006,4.11384
-294.226,0.997912,0.0346737,4,15,0,295.953,0.322096,0.805337,4.18498
-295.3,0.987791,0.0652653,4,31,0,295.54,0.344468,0.284291,2.37725
-295.606,0.912392,0.118097,3,7,0,296.586,0.308666,0.541772,2.09236
-294.189,1,0.170026,2,3,0,295.417,0.337997,0.478643,3.0117
-294.189,0.0461678,0.313276,1,3,1,295.237,0.337997,0.478643,3.0117
-294.346,0.997677,0.0374443,5,39,0,294.713,0.312819,0.783067,5.57335
-294.891,0.985345,0.0687487,4,23,0,295.576,0.292077,0.415057,2.52375
-295.884,0.970682,0.120703,2,3,0,296.304,0.298159,0.43348,1.73123
-295.884,0.0227575,0.201543,2,7,1,298.125,0.298159,0.43348,1.73123
-294.805,0.999052,0.024345,6,63,0,296.288,0.310444,0.354855,2.40614
-294.093,0.999968,0.0441502,5,47,0,295.023,0.337041,0.786759,4.84736
-295.731,0.955442,0.079481,4,31,0,296.339,0.31257,0.27457,1.76495
-295.953,0.9908,0.125692,2,3,0,296.012,0.325306,0.280916,1.59966
-295.953,0.000666358,0.216834,2,3,0,296.925,0.325306,0.280916,1.59966
-297.781,0.983443,0.0268783,4,15,0,298.324,0.382162,0.262394,1.65462
-297.724,0.999479,0.0456361,4,23,0,300.235,0.265749,0.273653,1.23872
-297.719,0.939223,0.0801143,3,7,0,298.615,0.264902,0.269661,1.30485
-296.798,0.987068,0.119266,3,7,0,297.817,0.325471,0.223474,1.33099
-296.798,0.000469334,0.199517,1,3,0,301.142,0.325471,0.223474,1.33099
-296.91,0.998742,0.0267804,6,63,0,297.356,0.31907,0.265634,1.26089
-296.279,0.985057,0.0462918,4,23,0,298.429,0.378178,0.251239,3.66559
-296.278,0.903917,0.0766753,1,3,0,297.404,0.334598,0.24002,3.83226
-299.111,0.75062,0.102963,2,7,0,305.107,0.430819,0.220769,5.3409
-298.307,1,0.0941962,4,15,0,299.308,0.300826,0.221041,4.15509
-297.729,0.841491,0.159204,3,7,0,298.952,0.246224,0.869562,3.51344
-294.969,0.268416,0.181406,3,15,0,296.525,0.316815,0.746477,3.07513
-296.492,0.943593,0.0514798,5,31,0,296.952,0.256653,0.75274,3.38759
-295.98,0.996192,0.0754204,3,7,0,297.371,0.351273,0.734935,3.01881
-296.417,0.975095,0.124614,3,7,0,296.73,0.256611,0.704886,3.04124
-294.586,0.333355,0.194485,1,3,0,295.995,0.289336,0.673424,3.3551
-294.721,0.998355,0.0664729,4,31,0,295.156,0.366865,0.711947,7.09021
-295.694,0.562462,0.109328,2,3,0,297.262,0.391234,0.757994,8.52254
-296.27,0.971297,0.0647991,3,15,0,296.912,0.403389,0.805645,8.18208
-294.441,0.995132,0.0994557,3,15,0,297.476,0.308806,0.598831,2.79004
-294.356,0.890236,0.160331,3,7,0,294.758,0.360093,0.520193,4.46284
-294.253,0.230393,0.202194,2,7,0,294.411,0.316345,0.558006,4.67962
-295.92,0.956729,0.0569334,4,23,0,296.109,0.360116,0.430291,2.19576
-296.322,0.999325,0.0836787,4,31,0,297.785,0.305955,0.959681,10.047
-294.38,0.964729,0.134645,3,7,0,295.995,0.337719,0.670512,6.53505
-295.303,0.835756,0.199414,2,3,0,295.675,0.287686,0.948018,4.55949
-294.759,0.250006,0.220938,2,4,1,298.848,0.340186,0.572508,6.94636
