# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:39:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\576jp1zo.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.2\realisation9\exponential_priors-20240423083941.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-316.171,1,0.125,1,1,0,437.029,0.116189,0.45232,1.91658
-316.171,0,14.3855,0,1,1,317.175,0.116189,0.45232,1.91658
-316.171,0,2.43117,0,1,1,318.492,0.116189,0.45232,1.91658
-316.171,2.09735e-006,0.239791,2,7,0,316.993,0.116189,0.45232,1.91658
-295.071,1,0.0186274,4,15,0,316.185,0.183632,0.477183,1.8039
-290.763,0.987588,0.0257259,4,15,0,299.061,0.319885,0.439411,1.36565
-289.852,1,0.0388998,3,7,0,290.916,0.303705,0.442306,1.38734
-287.916,1,0.0661202,2,3,0,289.826,0.289382,0.39544,1.48673
-287.077,0.995789,0.118104,3,7,0,288.799,0.303245,0.216552,1.92077
-286.519,0.219382,0.214515,2,5,0,288.601,0.297805,0.300842,2.40272
-286.42,0.999403,0.0340207,4,23,0,286.63,0.327659,0.354013,2.57357
-286.547,0.984043,0.0642813,2,3,0,286.67,0.332448,0.356977,2.53482
-286.66,0.672009,0.116518,3,11,0,288.912,0.307123,0.259437,2.24732
-287.379,0.908625,0.0795544,4,19,0,288.375,0.34057,0.71382,4.8489
-287.463,0.983373,0.114627,4,23,0,290.762,0.298409,0.191828,1.6425
-289.178,0.110333,0.2081,3,9,1,293.01,0.312504,0.104498,1.42943
-288.78,0.999077,0.025605,5,31,0,289.814,0.327562,0.113448,1.65724
-290.494,0.919703,0.0491542,5,31,0,291.707,0.314245,0.276518,0.958693
-289.648,1,0.0736227,3,7,0,291.007,0.230377,0.283186,1.29492
-289.264,0.973821,0.139714,3,7,0,291.301,0.260004,0.339966,3.75496
-289.264,8.9724e-009,0.242971,1,3,0,290.16,0.260004,0.339966,3.75496
-289.982,0.999472,0.0235427,5,31,0,293.527,0.371567,0.685675,3.31092
-288.109,0.970746,0.0444659,3,7,0,292.665,0.267402,0.689679,2.91909
-288.968,0.996896,0.0764849,5,31,0,289.287,0.327793,0.262862,17.2012
-288.655,0.957091,0.140625,4,23,0,289.359,0.358905,0.217234,9.44689
-288.655,2.56944e-011,0.228456,1,1,0,290.726,0.358905,0.217234,9.44689
-289.949,0.982376,0.024467,6,95,0,291.831,0.302935,0.317549,29.5521
-289.257,1,0.0429758,3,7,0,290.242,0.394401,0.296836,25.9033
-289.07,0.991039,0.0785456,5,39,0,291.272,0.314723,5.23397,515.823
-289.169,0.889355,0.138649,3,11,0,290.358,0.306243,4.06536,118.824
-287.655,0.404571,0.183515,2,5,0,291.433,0.311215,1.84796,213.101
-288.966,0.99053,0.0648033,6,63,0,289.404,0.307565,0.361463,127.335
-289.067,0.899859,0.112828,3,15,0,291.314,0.41677,0.502564,95.7813
-290.78,0.807571,0.152788,4,15,0,292.454,0.366074,0.0983105,441.268
-288.942,0.963424,0.161208,3,15,0,292.045,0.363571,0.0858218,106.552
-288.942,1.73112e-006,0.256006,1,3,1,291.804,0.363571,0.0858218,106.552
-289.239,0.998982,0.0326898,4,31,0,289.531,0.347192,0.0664913,110.418
-290.749,0.892334,0.0572036,5,63,0,295.228,0.389131,0.045621,24.8754
-290.786,0.944895,0.075451,4,31,0,293.024,0.332407,0.056773,9.20933
-290.581,0.992241,0.113292,2,7,0,291.188,0.380096,0.0692181,9.80286
-289.872,0.237673,0.190562,2,5,0,291.937,0.365032,0.0928182,11.8067
-289.843,0.967105,0.0478168,6,63,0,293.555,0.290802,0.281365,0.948987
-290.947,0.993966,0.0754244,3,7,0,291.757,0.224285,0.244827,0.883196
-287.918,0.883527,0.126288,2,3,0,292.271,0.268931,0.222584,1.40578
-287.811,0.344623,0.159992,3,11,0,290.118,0.254144,0.334831,1.94988
-289.131,0.954526,0.0542504,3,7,0,289.396,0.384937,0.300119,2.37278
-289.71,0.998813,0.0818143,2,7,0,289.798,0.253549,0.244866,2.51541
-287.652,1,0.136451,1,1,0,289.425,0.274819,0.26223,2.33652
-287.652,0.000923625,0.226592,1,3,0,291.404,0.274819,0.26223,2.33652
-287.341,0.999784,0.0349056,4,23,0,287.851,0.351788,0.347139,2.37993
-288.44,0.976133,0.0580529,3,15,0,289.161,0.271735,0.279508,3.1751
-287.701,0.993204,0.0907199,2,3,0,288.523,0.368106,0.298949,3.32628
-287.066,1,0.14663,3,15,0,287.69,0.287473,0.439948,4.07272
-287.062,0.333333,0.239223,2,3,0,287.561,0.355556,0.367512,3.74993
-286.954,0.983007,0.0838951,3,9,0,288.201,0.335926,0.305321,4.25699
-286.938,0.916897,0.131281,3,11,0,288.649,0.34994,0.384878,4.44151
-287.103,0.355004,0.175819,3,15,0,289,0.343168,0.27831,3.92272
-286.599,0.976684,0.0661221,2,7,0,287.695,0.333175,0.331589,3.5661
-286.518,0.979288,0.101279,3,15,0,286.874,0.334361,0.338602,2.83929
-289.762,0.876042,0.155207,3,9,0,290.118,0.376943,0.123028,8.25306
-289.762,0.00830481,0.188276,2,3,0,290.792,0.376943,0.123028,8.25306
-288.836,0.999866,0.0337699,6,95,0,290.418,0.367479,0.235811,14.0148
-290.128,0.927372,0.0540521,2,7,0,290.252,0.302784,0.24732,14.8271
-288.911,0.960884,0.0734853,5,63,0,291.425,0.399768,0.222286,109.06
-289.531,0.837393,0.107021,4,23,0,291.147,0.324532,0.114899,44.2752
-287.953,0.221037,0.118994,4,23,0,298.036,0.340668,0.265796,134.116
-287.838,0.977906,0.0353784,4,31,0,289.651,0.376884,0.312952,107.292
-287.902,0.995493,0.0532819,5,47,0,289.148,0.353236,0.587256,35.7194
-291.313,0.440191,0.0829005,2,3,0,292.593,0.438761,0.563617,38.3509
-290.804,1,0.0399242,3,7,0,291.712,0.286387,0.479723,44.4215
-290.357,0.971125,0.0624879,5,41,0,294.902,0.296201,0.283574,206.268
-287.168,0.992544,0.0916506,3,11,0,289.957,0.356828,0.534585,154.303
-287.822,0.605357,0.139933,3,9,0,288.171,0.386815,0.456037,159.443
-287.35,0.934198,0.0958402,4,19,0,288.67,0.322547,2.47278,125.965
-286.664,0.963581,0.129221,3,9,0,287.798,0.340306,1.68283,225.748
-287.147,0.336515,0.184394,2,7,0,288.249,0.373246,1.6483,307.046
-287.573,0.872913,0.0735244,2,3,0,288.273,0.320395,1.74197,284.866
-286.894,0.949396,0.0872976,3,15,0,288.638,0.383513,3.7731,246.324
-286.894,0.659154,0.12063,1,1,0,287.49,0.383513,3.7731,246.324
-287.537,0.705324,0.09305,3,15,0,290.427,0.355113,1.92874,396.982
-286.777,0.905418,0.0788656,3,15,0,289.919,0.370329,3.17401,154.593
-286.968,0.972203,0.0994483,4,15,0,287.18,0.341728,3.11967,134.307
-287.365,0.574813,0.142691,3,11,0,288.302,0.392736,2.93817,301.601
-287.769,0.968885,0.0936558,5,43,0,288.018,0.3134,1.22903,105.449
-288.637,0.862434,0.133072,4,15,0,288.839,0.304669,1.03133,245.624
-287.54,0.86638,0.153266,4,15,0,288.559,0.380897,6.13723,213.781
-287.116,0.246661,0.177628,2,5,0,287.985,0.368618,6.43482,258.109
-287.015,0.984993,0.0624244,3,15,0,287.562,0.332251,5.02103,285.827
-287.488,0.729388,0.091024,2,3,0,288.932,0.317617,4.56486,277.117
-286.608,1,0.0812604,2,3,0,287.451,0.354223,4.59208,265.705
-286.578,0.94083,0.121336,4,23,0,287.643,0.375799,2.10917,185.764
-287.134,0.908715,0.16143,3,15,0,287.713,0.385125,4.74649,231.559
-287.134,0.000198474,0.201663,2,3,0,288.369,0.385125,4.74649,231.559
-288.505,0.94806,0.045873,4,31,0,289.768,0.313106,7.50096,244.893
-288.321,0.995705,0.0618748,2,7,0,289.555,0.312134,6.99255,258.282
-289.135,0.955313,0.0909359,4,15,0,290.563,0.307684,8.35263,441.591
-288.465,0.975236,0.123616,3,15,0,290.469,0.306798,3.63318,364.723
-288.465,0.0196004,0.173855,2,3,0,294.769,0.306798,3.63318,364.723
-287.67,1,0.0422853,2,3,0,288.484,0.321949,3.56082,364.702
-288.478,0.996568,0.0623122,5,47,0,290.292,0.320401,0.324288,70.1316
-288.478,0.327423,1.45529,2,5,0,293.503,0.320401,0.324288,70.1316
-288.478,0,6.16296,0,1,1,290.338,0.320401,0.324288,70.1316
-286.484,0.999713,0.724912,3,7,0,288.559,0.357905,1.84922,136.658
-286.691,0.976441,0.834381,2,3,0,286.755,0.369214,1.98175,124.632
-286.691,6.83661e-028,1.12365,1,1,0,294.791,0.369214,1.98175,124.632
-287.264,0.999768,0.0925537,5,31,0,287.311,0.335535,0.612591,110.956
-287.691,0.999595,0.148858,5,31,0,288.452,0.363462,0.681132,291.147
-287.104,0.996108,0.256789,3,15,0,289.289,0.378171,5.38397,233.006
-286.544,0.97117,0.457414,3,15,0,288.219,0.341849,2.04,148.25
-287.931,0.948754,0.772315,2,7,0,290.02,0.33335,0.500609,49.4763
-287.692,1,1.23117,1,1,0,287.945,0.337677,0.598846,52.9579
-287.692,4.79594e-007,2.32217,1,1,0,289.896,0.337677,0.598846,52.9579
-287.232,0.999999,0.187999,5,31,0,287.705,0.358979,0.682167,68.5903
-287.306,0.994708,0.358781,4,15,0,287.878,0.35609,0.448774,142.986
-286.849,0.947958,0.671927,2,5,0,289.017,0.347261,0.892184,102.484
-286.829,0.957731,1.08352,2,7,0,287.532,0.36189,1.44286,263.098
-286.829,0.208092,1.79237,1,1,0,287.287,0.36189,1.44286,263.098
-288.423,0.987504,0.298573,3,15,0,288.799,0.324094,0.663092,304.649
