# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:40:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\fl769jnt.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.4\realisation0\exponential_priors-20240423084008.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-403.36,1,0.0625,1,1,0,480.551,0.731664,0.746344,1.49549
-403.36,0,14.3855,0,1,1,404.696,0.731664,0.746344,1.49549
-403.36,0,2.43117,0,1,1,403.58,0.731664,0.746344,1.49549
-403.36,2.51396e-213,0.239791,1,3,1,404.337,0.731664,0.746344,1.49549
-393.651,1,0.0186273,3,7,0,403.394,0.667443,0.69083,1.55005
-387.991,1,0.0257257,4,15,0,398.017,0.603882,0.328989,2.01023
-386.871,0.998661,0.0404064,3,11,0,388.659,0.718607,0.468958,1.60705
-384.665,0.999939,0.0684384,3,15,0,387.286,0.706975,0.443955,2.60185
-384.665,0.183875,0.122262,2,3,0,385.02,0.706975,0.443955,2.60185
-384.925,0.988491,0.0171022,4,31,0,386.238,0.733251,0.48147,2.2225
-384.678,0.998044,0.0307665,2,3,0,385.07,0.720369,0.486985,2.19065
-386.967,0.931447,0.0578902,4,31,0,389.298,0.724124,0.237198,1.93105
-386.967,0.366691,0.0889437,1,1,0,388.137,0.724124,0.237198,1.93105
-387.068,0.985521,0.023344,5,55,0,389.078,0.746785,0.244591,1.30827
-384.789,0.999532,0.0430378,4,31,0,388.874,0.685132,0.641322,2.60513
-385.457,0.916657,0.0826538,2,3,0,385.854,0.609441,0.698457,2.3757
-386.399,0.435789,0.122343,2,3,0,386.636,0.56729,0.700886,2.30697
-385.635,0.976673,0.0415567,4,31,0,388.461,0.629607,0.35069,1.87221
-386.172,0.91252,0.0740692,2,3,0,386.348,0.765569,0.383043,1.84498
