# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:41:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\par1gkys.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.4\realisation1\exponential_priors-20240423084143.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-366.517,1,0.0625,2,7,0,450.291,0.675201,0.666138,1.49273
-366.517,0,14.3855,0,1,1,367.638,0.675201,0.666138,1.49273
-366.517,0,2.43117,0,1,1,366.886,0.675201,0.666138,1.49273
-366.517,1.11155e-130,0.239791,1,3,1,368.216,0.675201,0.666138,1.49273
-363.289,0.999951,0.0186273,4,31,0,369.767,0.659081,0.682199,1.66046
-360.954,0.999911,0.025722,4,23,0,364.955,0.554697,0.663307,2.28554
-359.269,0.999755,0.0403894,3,11,0,360.99,0.523303,0.771104,1.87838
-359.226,0.989416,0.0686425,3,7,0,359.68,0.585226,0.773883,2.21664
-360.795,0.712165,0.118641,2,3,0,361.437,0.6393,0.641864,2.33104
-359.592,0.987836,0.0879952,2,7,0,361.775,0.604956,0.750278,2.34741
-359.592,0.0710197,0.158333,1,1,0,359.884,0.604956,0.750278,2.34741
-361.314,0.985129,0.0159074,5,47,0,362.859,0.450891,0.786049,1.87652
-359.475,1,0.0290548,3,15,0,362.08,0.597679,0.714329,1.91783
-360.539,0.891386,0.0558157,2,7,0,362.125,0.470513,0.797525,1.92045
-359.329,0.626428,0.0763622,2,7,0,362.645,0.546417,0.775655,2.19229
-360.238,0.986435,0.0459904,4,23,0,360.584,0.526698,0.527081,1.44087
-359.229,0.973488,0.0847209,3,15,0,361.909,0.572699,0.73602,2.16287
-359.229,0.0929268,0.149087,2,7,1,360.377,0.572699,0.73602,2.16287
-359.652,0.997531,0.0180727,5,47,0,361.151,0.553388,0.570075,1.61102
-359.628,0.983551,0.0344288,3,15,0,360.477,0.576193,0.581457,1.62971
-359.307,0.990112,0.0623497,4,19,0,360.157,0.543935,0.836167,2.09235
-359.307,0.740794,0.114123,2,7,0,361.447,0.543935,0.836167,2.09235
-359.632,0.731375,0.0996356,3,7,0,360.117,0.516406,0.615044,1.496
-359.885,0.9831,0.084883,3,11,0,360.742,0.604545,0.900217,2.66946
-359.885,0.00579987,0.14985,1,3,0,361.114,0.604545,0.900217,2.66946
-363.239,0.99307,0.0160605,4,15,0,363.631,0.493016,1.18249,2.51204
-363.691,0.996436,0.029316,3,7,0,364.223,0.46466,1.14896,2.51864
-361.967,0.99251,0.053485,2,3,0,364.243,0.504485,1.11602,2.5921
-360.14,0.9963,0.095558,2,3,0,361.974,0.582004,0.988459,2.73926
-360.14,0.0699028,0.170866,1,3,0,361.345,0.582004,0.988459,2.73926
-360.888,0.998641,0.0239348,4,15,0,361.064,0.581416,1.09153,2.99103
-359.655,0.998916,0.0431511,4,15,0,361.155,0.569874,0.914937,2.50307
-359.947,0.79042,0.0771024,3,7,0,361.264,0.497213,0.836915,1.90893
-359.513,0.990901,0.0781791,3,7,0,360.514,0.590322,0.62253,1.74784
-359.92,0.0730178,0.134819,2,7,0,360.567,0.498642,0.674552,1.80913
-359.692,0.999387,0.0206281,3,15,0,360.704,0.510544,0.66498,1.81199
-359.526,0.998188,0.0364307,2,7,0,360.176,0.526827,0.652754,1.83372
-359.741,0.990386,0.0635651,2,7,0,360.119,0.52777,0.621898,1.78821
-362.457,0.394296,0.107767,2,7,0,366.102,0.426163,0.851568,1.76527
-359.727,0.901817,0.0396575,3,7,0,364.952,0.506184,0.793787,2.05733
-359.234,1,0.053486,3,15,0,359.79,0.546973,0.824536,2.09874
-359.516,0.976565,0.09188,3,7,0,359.735,0.548481,0.888562,2.31985
-359.516,1.59135e-013,0.147676,1,1,0,362.979,0.548481,0.888562,2.31985
-359.269,0.999916,0.0210312,3,15,0,359.588,0.570525,0.830395,2.29072
-360.48,0.976569,0.0359224,3,7,0,360.997,0.625702,0.684827,2.43521
-359.78,0.980259,0.0575105,2,7,0,362.54,0.604883,0.889282,2.50227
-359.86,0.726647,0.0922713,3,7,0,361.128,0.567981,0.76536,2.42397
-362.279,0.632514,0.0798954,3,11,0,363.675,0.458828,0.599554,1.6705
-359.577,0.998014,0.0553474,2,7,0,362.571,0.577345,0.674641,1.69839
-360.887,0.832217,0.0917102,2,3,0,361.36,0.477227,0.748983,1.52345
-360.887,0.232167,0.102097,3,15,0,364.322,0.477227,0.748983,1.52345
-361.034,0.990759,0.0278451,3,15,0,362.984,0.630278,0.535494,1.88553
-365.57,0.740406,0.0450969,4,19,0,367.826,0.709022,0.539598,1.48953
-366.167,0.983918,0.0406888,3,15,0,368.397,0.724737,0.567628,1.57758
-360.98,0.820631,0.0642917,2,3,0,367.382,0.59597,0.510657,1.76272
-360.314,0.999599,0.0695712,3,7,0,361.463,0.596415,0.530537,1.55324
-359.911,0.676981,0.11284,3,7,0,361.425,0.568948,0.646596,2.08861
