# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:43:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\8bva2po3.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.4\realisation2\exponential_priors-20240423084326.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-362.764,1,0.0625,2,7,0,444.942,0.664795,0.663088,1.4436
-362.764,0,14.3855,0,1,1,367.591,0.664795,0.663088,1.4436
-362.764,0,2.43117,0,1,1,363.827,0.664795,0.663088,1.4436
-362.764,3.0255e-148,0.239791,1,2,1,362.95,0.664795,0.663088,1.4436
-360.7,0.997748,0.0186273,3,7,0,364.35,0.624725,0.64179,1.36931
-357.729,1,0.0255536,4,31,0,361.269,0.481294,0.904002,1.64735
-358.135,0.980912,0.0401288,3,7,0,359.396,0.451522,0.900048,1.58733
-357.067,1,0.0643077,1,1,0,357.914,0.446776,0.873001,1.63473
-356.458,1,0.114835,2,7,0,357.489,0.580164,0.575776,1.48702
-356.458,5.9218e-005,0.211342,1,3,1,359.442,0.580164,0.575776,1.48702
-355.898,0.998582,0.0167515,4,15,0,357.234,0.55398,0.585297,1.49106
-355.557,0.995807,0.0315951,4,15,0,356.258,0.484952,0.629274,1.43556
-355.25,0.99871,0.0595587,3,15,0,355.643,0.509068,0.676297,1.54534
-357.773,0.182462,0.113593,2,3,0,358.212,0.424797,0.633597,1.52711
-357.141,0.998689,0.0169741,4,15,0,358.44,0.519246,0.65294,1.30185
-355.425,1,0.032705,3,7,0,357.482,0.487376,0.648145,1.51688
-355.752,0.984827,0.0629635,2,7,0,356.256,0.510265,0.580253,1.41315
-356.302,0.752484,0.114956,3,7,0,356.961,0.51087,0.966167,2.03954
-358.655,0.248277,0.103048,1,1,0,359.288,0.52102,1.06875,2.02088
