# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:45:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ar1f20aj.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.4\realisation3\exponential_priors-20240423084513.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-389.365,1,0.0625,2,3,0,480.367,0.605676,0.733981,1.49564
-389.365,0,14.3855,0,1,1,390.907,0.605676,0.733981,1.49564
-389.365,0,2.43117,0,1,1,390.884,0.605676,0.733981,1.49564
-389.365,6.4672e-120,0.239791,1,3,1,389.908,0.605676,0.733981,1.49564
-391.37,0.967757,0.0186273,2,3,0,391.978,0.626703,0.752506,1.50923
-383.536,1,0.0233679,2,3,0,391.455,0.592254,0.702315,1.66598
-382.389,0.999807,0.0366079,5,63,0,387.183,0.79673,1.36912,16.9252
-376.117,1,0.0621245,4,31,0,383.116,0.64054,0.973443,5.27114
-380.431,0.132398,0.1109,2,7,0,381.372,0.788927,1.11184,5.59744
-377.415,1,0.0131792,4,23,0,383.023,0.639538,1.30076,5.58956
-376.176,0.99988,0.024579,4,31,0,378.355,0.639252,1.01402,4.64789
-377.721,0.979319,0.0465286,4,27,0,378.379,0.704374,0.480933,3.99734
-375.963,0.934974,0.0831743,3,15,0,378.056,0.675284,0.750309,3.77023
-375.963,0.000843177,0.129708,1,3,0,378.241,0.675284,0.750309,3.77023
-377.994,0.998885,0.0109938,6,127,0,381.317,0.548544,0.596618,2.05555
-376.957,0.996108,0.0212534,5,63,0,381.584,0.730042,0.69585,4.1482
-377.677,0.996451,0.0405509,4,31,0,379.901,0.593812,1.18602,4.67453
-378.487,0.999678,0.0769617,4,15,0,379.264,0.608414,0.497131,1.70782
-378.487,0.00101915,0.146377,2,3,0,379.473,0.608414,0.497131,1.70782
-377.945,0.996118,0.0137115,6,63,0,379.825,0.607696,0.413765,2.05783
-379.37,0.995938,0.0259752,4,31,0,380.356,0.633605,0.394173,1.48581
-379.017,0.985568,0.0487253,4,15,0,380.095,0.595142,0.356892,1.63563
-378.242,0.992038,0.0878118,3,7,0,379.815,0.656264,0.374799,2.40548
-378.242,0.152156,0.159758,2,3,0,379.327,0.656264,0.374799,2.40548
-376.949,0.995929,0.025586,5,39,0,380.901,0.605705,0.864513,3.09454
-376.733,0.964851,0.0471254,4,31,0,378.463,0.654338,0.657138,2.69423
-377.601,0.803046,0.0786862,3,7,0,379.494,0.552401,0.839195,3.28096
-380.449,0.870559,0.0826957,3,7,0,383.555,0.788745,0.406679,3.54948
-379.097,0.375858,0.104814,3,7,0,381.255,0.720089,0.400032,4.05963
-378.568,0.978903,0.0337551,3,7,0,379.586,0.66933,0.445451,4.06519
-377.331,0.963523,0.0577715,3,7,0,378.947,0.707727,0.496291,3.57205
-376.988,0.825126,0.0939919,3,15,0,379.374,0.6794,0.930305,3.83379
-377.033,0.360739,0.104492,3,7,0,378.797,0.698898,0.765355,6.38805
-375.946,0.999677,0.0335305,4,31,0,377.362,0.675138,0.755315,4.64571
-376.916,0.97409,0.0595874,4,15,0,377.634,0.652463,1.23218,6.75176
-376.949,0.997852,0.0980919,3,7,0,377.132,0.672182,1.25927,6.26259
-376.353,0.395941,0.170443,1,3,0,377,0.654112,1.10418,5.82796
