# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:46:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\e57c0916.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.4\realisation4\exponential_priors-20240423084657.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-396.919,1,0.0625,1,1,0,480.411,0.637071,0.745711,1.34965
-396.919,0,14.3855,0,1,1,399.249,0.637071,0.745711,1.34965
-396.919,0,2.43117,0,1,1,398.481,0.637071,0.745711,1.34965
-396.919,8.13571e-191,0.239791,1,2,1,398.359,0.637071,0.745711,1.34965
-380.136,1,0.0186273,4,15,0,397.336,0.576161,0.636219,1.63319
-377.864,0.998138,0.0257257,6,79,0,382.19,0.742284,1.15908,10.4569
-376.744,0.996507,0.0401767,3,7,0,378.16,0.679068,1.12625,11.11
-377.053,0.944483,0.0675883,3,7,0,377.274,0.698515,1.26454,11.8823
-379.567,0.385377,0.101419,2,5,0,379.681,0.586889,1.31852,12.3243
-377.299,0.992917,0.0267819,3,15,0,381.189,0.708408,1.23295,13.0645
-376.554,0.968046,0.0488895,4,23,0,377.843,0.696274,1.05143,8.19691
-376.394,0.96623,0.0836302,3,7,0,376.771,0.659621,1.12528,7.38624
-376.462,0.617132,0.143207,3,7,0,376.794,0.671249,1.02225,9.62273
-376.69,0.998595,0.0822468,3,11,0,376.777,0.660837,1.27248,9.65775
-376.69,0.0714122,0.156853,1,3,0,376.934,0.660837,1.27248,9.65775
-378.274,0.995807,0.0168452,5,63,0,379.241,0.641943,1.3783,6.5067
-376.722,0.999094,0.0321621,4,15,0,379.472,0.601169,1.04054,5.59566
-377.296,0.988189,0.0616409,3,7,0,377.785,0.640525,1.10841,5.25321
-377.296,0.0396968,0.113421,2,7,0,380.068,0.640525,1.10841,5.25321
-378.695,0.998172,0.0119589,6,79,0,379.77,0.641964,1.03802,15.0346
-377.905,0.9992,0.0228199,4,15,0,378.865,0.638102,1.14992,13.1968
-376.8,0.999669,0.0432681,5,55,0,382.111,0.708797,0.942484,6.87584
-377.78,0.943324,0.0813496,2,7,0,379.44,0.630733,0.734411,8.9126
-378.381,0.332561,0.128545,3,15,0,382.39,0.548891,0.70671,4.70605
-377.186,0.996498,0.0346883,5,39,0,381.722,0.525319,0.29121,0.952928
-377.259,0.972851,0.0638282,4,15,0,379.041,0.621526,0.269462,1.69004
-378.002,0.454333,0.108737,5,31,0,381.094,0.625064,1.3774,6.71384
-377.721,0.999563,0.0427958,3,7,0,378.185,0.621835,1.36129,6.97638
-376.65,0.944854,0.0781242,3,7,0,380.141,0.666053,1.1316,6.808
-379.82,0.497153,0.121396,4,23,0,380.678,0.512783,0.283494,1.60855
-379.712,0.892337,0.0549507,2,3,0,382.621,0.511785,0.271874,1.49355
-380.102,0.994225,0.0737163,4,31,0,381.825,0.550212,0.317706,2.51471
-379.453,0.333333,0.129493,2,3,0,382.834,0.579354,0.32987,3.01729
-375.855,0.99968,0.0385519,4,31,0,380.152,0.602264,0.57222,3.36722
-376.217,0.996594,0.0684347,4,31,0,378.27,0.673877,1.02308,7.68969
-377.65,0.642841,0.119392,3,11,0,378.099,0.572013,1.07143,6.05781
-377.518,0.73015,0.0820431,3,7,0,380.141,0.614226,1.24402,6.09492
-377.319,0.951612,0.0710793,3,11,0,378.463,0.716863,0.864512,11.0122
-377.345,0.681456,0.108989,3,7,0,378.036,0.729587,0.827258,9.5341
-377.747,0.672001,0.0833827,2,3,0,378.571,0.622788,0.894515,9.92926
-376.54,0.913301,0.0625272,2,7,0,379.201,0.696425,0.953816,9.1324
-382.007,0.365823,0.0862975,2,7,0,382.541,0.82135,1.04343,9.02898
-380.572,1,0.0302795,2,3,0,382.465,0.797156,1.0663,8.85179
-376.96,1,0.0518035,2,3,0,380.502,0.713044,1.08864,8.71367
-377.395,0.923978,0.087931,4,27,0,378.403,0.706687,0.456979,3.16956
-376.791,0.922383,0.123042,3,7,0,377.306,0.58897,0.563329,1.89393
-376.339,0.333334,0.170678,1,3,0,378.828,0.65273,0.416528,2.3704
-378.279,0.831632,0.0571336,2,7,0,380.017,0.710856,0.349451,2.31777
-377.445,0.892392,0.0638349,2,5,0,379.675,0.666037,0.310383,2.43489
-376.17,0.991205,0.0822455,4,31,0,379.461,0.608058,0.800674,3.73653
-376.17,0.0146938,0.133282,1,1,0,377.201,0.608058,0.800674,3.73653
