# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:48:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\f0jzv6qx.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.4\realisation5\exponential_priors-20240423084849.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-380.903,1,0.0625,1,1,0,465.115,0.69346,0.692409,1.4086
-380.903,0,14.3855,0,1,1,381.708,0.69346,0.692409,1.4086
-380.903,0,2.43117,0,1,1,382.545,0.69346,0.692409,1.4086
-380.903,1.80537e-201,0.239791,1,1,0,381.233,0.69346,0.692409,1.4086
-371.256,1,0.0186273,2,3,0,381.032,0.621954,0.667531,1.45615
-363.537,1,0.0257257,2,3,0,371.106,0.539103,0.636557,1.55964
-364.657,0.965398,0.0404064,3,7,0,365.308,0.481036,0.480199,1.94656
-362.541,1,0.0617071,2,3,0,364.426,0.589716,0.523019,1.87041
-361.748,0.759163,0.110148,3,7,0,363.497,0.476675,0.865952,2.58112
-361.693,0.628712,0.0947327,2,7,0,364.525,0.561242,1.05814,3.32537
-364.463,0.941847,0.0547585,3,7,0,364.985,0.466927,1.25315,3.25544
-363.756,1,0.0862189,3,7,0,364.741,0.590548,0.723808,4.02289
-361.742,0.33364,0.164191,2,3,0,363.208,0.592311,0.87624,3.65793
-363.245,0.986726,0.0387464,4,23,0,364.477,0.45639,0.968794,2.2641
-363.116,0.814442,0.0715035,2,3,0,365.384,0.503162,1.02665,2.43474
-362.959,1,0.0771419,3,15,0,364.283,0.459746,0.960889,2.29854
-361.827,0.45822,0.147633,2,3,0,364.074,0.602708,0.829849,2.76134
-362.327,0.981528,0.0536284,3,7,0,362.948,0.495905,0.959136,3.31589
-363.085,0.994906,0.0968105,2,7,0,363.726,0.614812,1.15498,3.81567
-363.085,0.00564509,0.180528,1,3,1,363.331,0.614812,1.15498,3.81567
-363.132,0.993378,0.0174717,5,63,0,366.381,0.49027,0.658654,2.62066
-361.448,1,0.032635,2,3,0,363.16,0.522296,0.691112,2.5873
-361.578,0.992152,0.0615641,3,7,0,362.264,0.472226,0.741175,2.00039
-363.199,0.648311,0.112381,2,3,0,363.325,0.423271,0.749871,1.90623
-364.474,0.694616,0.0754208,4,15,0,370.194,0.437177,0.574608,1.93435
-363.017,0.992261,0.0581904,2,7,0,366.372,0.447385,0.745559,1.69375
-362.2,1,0.104818,3,7,0,363.024,0.589872,0.658321,3.02535
-361.325,0.855602,0.191078,2,3,0,362.518,0.529389,0.759649,2.09885
-361.325,2.45842e-031,0.230666,1,1,0,364.57,0.529389,0.759649,2.09885
-363.499,0.984769,0.026136,3,11,0,364.107,0.425725,0.857152,2.03956
-361.36,0.999562,0.045553,3,15,0,363.942,0.485613,0.720806,1.97162
-363.2,0.86509,0.0818947,2,3,0,363.978,0.454477,0.791782,1.76336
-360.969,0.447114,0.101506,2,3,0,364.546,0.530936,0.668925,2.26969
-361.073,0.988598,0.0410372,2,7,0,361.999,0.496837,0.724939,2.14941
-362.202,0.830864,0.0707025,2,7,0,362.719,0.58902,0.751634,2.24246
-362.708,0.921902,0.0797571,3,11,0,364.55,0.465934,0.517648,1.54306
-364.703,0.255971,0.113861,2,3,0,365.529,0.403943,0.55293,1.48131
-364.994,0.998145,0.0288355,4,15,0,366.299,0.63502,0.503141,1.68682
-364.902,1,0.0501751,3,7,0,365.471,0.456255,0.462816,1.66508
-361.776,0.954282,0.0869705,3,11,0,366.378,0.490123,0.702077,2.42242
-364.434,0.420498,0.133158,4,15,0,364.908,0.496967,0.401526,1.50639
-369.411,0.762046,0.0530204,2,7,0,371.951,0.496945,0.346484,1.88366
-361.716,0.997155,0.0501261,4,15,0,370.377,0.527858,1.06638,3.33497
-361.708,0.981303,0.0848455,2,3,0,361.895,0.516523,1.03058,3.28724
-362.788,0.155615,0.137065,1,3,0,363.64,0.506146,1.06946,3.79694
-365.029,0.991642,0.0293409,4,23,0,367.806,0.65776,1.39207,5.76632
-361.471,0.997445,0.04862,4,31,0,366.413,0.588113,0.784421,2.57425
-362.173,0.996827,0.0811142,3,15,0,363.56,0.574689,1.13874,4.15719
-362.492,0.74654,0.134159,2,7,0,363.191,0.613339,0.952412,4.28605
-363.764,0.582364,0.121671,3,11,0,366.488,0.422023,0.5453,1.34472
-361.926,0.988081,0.0750246,3,15,0,365.444,0.600049,0.680487,2.95082
-362.645,0.890156,0.120364,2,7,0,363.94,0.552357,0.57933,2.63202
-362.645,2.77563e-009,0.152795,1,1,0,364.105,0.552357,0.57933,2.63202
-363.325,0.997347,0.0247091,3,7,0,363.556,0.56039,0.548266,2.68666
-362.292,0.999986,0.0403936,4,15,0,363.463,0.610263,0.595104,2.33348
-361.464,0.969396,0.0660095,2,5,0,364.779,0.497255,0.697585,1.86265
-361.849,0.911396,0.100009,3,7,0,362.049,0.467137,0.641898,1.87901
-361.539,0.714419,0.132253,2,7,0,362.952,0.600155,0.746953,2.72277
-361.359,0.776307,0.112102,3,7,0,363.969,0.499531,0.618895,1.94919
-361.41,0.99055,0.109263,2,3,0,361.446,0.533181,0.644586,1.86837
-361.41,0.111112,0.171129,1,1,0,362.391,0.533181,0.644586,1.86837
-361.084,0.995953,0.0385066,4,23,0,361.813,0.567942,0.881361,2.93264
-361.285,0.953035,0.0610617,2,3,0,361.58,0.583716,0.864229,2.93394
-362.321,0.823054,0.0877178,3,11,0,363.191,0.603627,0.673618,2.19171
-361.83,0.938973,0.0947307,1,3,0,362.982,0.572206,0.732024,2.14938
-362.995,0.41845,0.131127,2,7,0,364.584,0.474406,0.773539,1.74671
-362.745,1,0.0594244,3,15,0,365.069,0.505989,0.464765,1.54814
-361.844,0.994387,0.093532,3,7,0,363.23,0.51075,0.54012,1.81248
-361.844,0.0292263,0.144738,2,3,0,363.857,0.51075,0.54012,1.81248
-361.85,0.999424,0.0292831,5,39,0,362.715,0.604136,0.967214,3.58952
-360.827,0.999895,0.0458539,4,31,0,362.295,0.549916,0.761406,2.49402
-361.135,0.946623,0.0715197,2,7,0,361.925,0.554166,0.705169,2.68128
-360.829,0.998151,0.0994269,2,3,0,361.277,0.536079,0.734413,2.48837
-361.189,0.733635,0.153148,1,3,0,361.313,0.514115,0.813936,2.24742
-361.189,3.74636e-005,0.136598,2,5,0,364.9,0.514115,0.813936,2.24742
-361.804,0.999729,0.0273547,5,31,0,362.113,0.569485,0.995962,3.92382
-362.726,0.91006,0.0422533,3,7,0,363.69,0.620926,1.106,4.13256
-361.926,0.973252,0.0542226,3,11,0,365.375,0.489953,0.910195,2.31802
-362.494,0.980027,0.0787875,3,7,0,362.9,0.610518,0.56732,2.35255
-363.083,0.448441,0.115602,2,3,0,366.058,0.639132,0.609138,2.67353
-361.202,0.903165,0.0587397,3,15,0,365.056,0.514253,0.926883,2.84321
-360.955,0.999851,0.0738455,4,31,0,361.517,0.541497,0.675991,2.34527
-362.794,0.704205,0.112041,2,3,0,362.966,0.566078,0.562719,2.64036
-361.395,0.735421,0.0948662,2,3,0,363.363,0.583731,0.664184,2.39511
-361.208,0.940505,0.085491,3,7,0,362.396,0.559299,0.788432,2.37981
-362.486,0.983682,0.114811,2,7,0,365.479,0.472833,0.524442,1.47374
-363.837,0.262611,0.167129,1,3,0,363.863,0.431205,0.588803,1.31512
-363.343,0.94868,0.0605809,3,7,0,364.603,0.613356,0.513593,1.85559
-363.343,0.272515,0.0824147,1,1,0,365.615,0.613356,0.513593,1.85559
-362.119,0.958969,0.0308153,4,15,0,365.342,0.583759,0.669624,2.04292
-365.177,0.998356,0.0427507,4,31,0,365.694,0.550893,0.417678,1.14419
-365.318,0.994703,0.0636988,2,7,0,366.064,0.530477,0.416993,1.07852
-361.282,0.980152,0.0939237,3,11,0,366.572,0.509513,0.656207,1.86409
-361.284,0.157793,0.134302,4,15,0,364.383,0.548876,0.69237,2.69106
-361.222,0.996737,0.0413163,4,23,0,362.123,0.566066,0.946092,3.15294
-361.644,0.927869,0.060943,2,7,0,362.18,0.500542,0.872608,2.96015
-361.088,0.991308,0.0788796,3,11,0,361.896,0.567628,0.719985,2.69948
-362.049,0.719551,0.114484,3,7,0,363.338,0.460412,0.815027,2.08635
-361.375,0.491055,0.100642,3,15,0,364.733,0.493031,0.888168,2.6141
-362.461,0.779735,0.058355,2,3,0,364.065,0.549398,0.965487,2.51782
-362.461,0.0343548,0.91908,4,15,0,362.946,0.549398,0.965487,2.51782
-362.461,1.23355e-052,2.28444,1,3,1,363.019,0.549398,0.965487,2.51782
-360.922,0.899758,0.229453,2,7,0,364.27,0.536142,0.880076,2.81659
-361.13,0.992733,0.184901,3,15,0,362.841,0.570263,0.897116,3.02815
-361.178,0.971872,0.241864,4,15,0,361.9,0.580658,0.724817,2.61461
-361.706,0.987433,0.344663,3,7,0,361.952,0.591199,0.624911,2.30032
-362.927,0.502654,0.559967,2,3,0,363.557,0.552291,0.587577,2.76562
-363.16,0.992602,0.211862,3,7,0,363.387,0.547056,0.714708,1.775
-361.744,0.990257,0.374215,2,7,0,363.458,0.52789,0.644762,1.76804
-361.744,0.175658,0.671935,2,7,0,364.388,0.52789,0.644762,1.76804
-360.899,0.998551,0.0929619,5,47,0,362.237,0.539808,0.85846,2.87389
-362.232,0.974486,0.174961,5,31,0,362.582,0.548413,0.636639,1.74861
-362.313,0.723238,0.306733,2,5,0,365.529,0.530924,0.488744,1.7379
-361.45,0.992346,0.244774,4,15,0,362.914,0.569698,0.719081,2.21077
-362.34,0.896554,0.454858,2,3,0,362.769,0.607507,0.618747,2.76977
-361.159,0.68554,0.62522,2,5,0,364.26,0.540901,0.62163,2.15603
-361.271,0.845046,0.447886,2,7,0,362.171,0.549068,0.85099,2.46861
-361.704,0.871832,0.525567,2,7,0,363.279,0.512435,0.987466,2.69938
-361.013,0.821343,0.668049,2,3,0,361.559,0.53307,0.910386,2.89009
-361.013,0.0927571,0.72746,3,7,0,362.356,0.53307,0.910386,2.89009
-361.829,0.989075,0.0901811,3,15,0,362.521,0.552271,0.930024,2.57089
-362.335,0.998787,0.163936,3,15,0,363.03,0.594545,0.659873,3.0927
-361.483,0.98253,0.303766,3,7,0,362.829,0.585621,0.722183,2.38284
-361.735,0.867561,0.531555,3,15,0,362.375,0.583673,0.708818,3.05782
-363.494,0.0898316,0.661714,3,7,0,364.387,0.564569,0.56837,2.88707
-364.434,0.996852,0.0889656,3,7,0,364.78,0.565459,0.551272,3.04768
-361.623,0.99052,0.161648,3,7,0,365.884,0.568344,0.585071,2.24475
-361.747,0.994329,0.285675,3,7,0,362.28,0.585072,0.594944,2.23875
-360.931,0.978737,0.505419,3,7,0,361.861,0.519324,0.781069,2.28698
-360.931,0.00905726,0.848388,3,7,0,362.766,0.519324,0.781069,2.28698
-362.104,0.991951,0.0991967,4,31,0,364.172,0.622386,0.800349,3.3068
-362.369,0.998535,0.173446,5,31,0,363.382,0.596405,1.13171,4.28253
-363.991,0.827906,0.305876,3,7,0,366.257,0.535744,1.41567,4.21536
-361.304,0.990882,0.338778,3,15,0,364.434,0.55675,0.631283,2.04238
-361.986,0.666728,0.576958,3,7,0,363.102,0.525285,0.874836,2.24054
-362.12,0.945904,0.415444,2,7,0,363.103,0.570992,0.585676,2.5461
-361.762,1,0.622855,1,1,0,362.251,0.566328,0.607143,2.5112
-361.762,0.0278201,1.06734,2,5,0,362.99,0.566328,0.607143,2.5112
-362.114,0.998595,0.149326,4,27,0,363.314,0.562534,0.552141,2.299
-361.588,0.971612,0.255614,4,15,0,363.488,0.596604,0.744868,2.55458
-361.932,0.916344,0.405346,3,7,0,362.763,0.600207,0.644874,2.27365
-364.426,0.385156,0.555612,3,7,0,365.149,0.543372,0.473533,2.36038
-364.385,0.993483,0.20167,2,3,0,365.01,0.545737,0.4837,2.43872
-362.887,0.99585,0.334663,2,3,0,364.887,0.567701,0.50465,2.2681
-361.087,0.297016,0.554485,2,7,0,364.185,0.513421,0.806205,2.26877
-360.978,0.999546,0.165834,3,15,0,361.26,0.530676,0.710116,2.49325
-361.045,0.998726,0.27657,3,15,0,361.357,0.52397,0.689642,2.39657
-361.248,0.885648,0.457031,2,7,0,363.597,0.549275,0.878589,2.57545
-361.289,0.990178,0.572436,4,15,0,361.537,0.505231,0.621388,1.98842
-361.289,0.0605978,0.915931,1,1,0,361.46,0.505231,0.621388,1.98842
-361.13,0.978606,0.162807,3,11,0,362.15,0.518934,0.738733,2.07961
-362.066,0.918997,0.254019,2,3,0,362.397,0.528021,0.75095,1.92298
-364.881,0.397624,0.342971,1,1,0,365.011,0.531571,0.781797,1.71321
-361.771,0.99804,0.138231,3,15,0,367.52,0.572682,0.590295,2.39239
-363.527,0.96583,0.22374,3,15,0,364.291,0.456116,0.874324,1.92152
-362.573,1,0.3344,3,7,0,363.775,0.477227,0.662616,2.35792
-361.986,0.898494,0.537293,3,7,0,363.684,0.542208,0.72982,1.94334
-361.986,0.000766006,0.682685,2,3,0,364.865,0.542208,0.72982,1.94334
-362.853,0.995138,0.115777,4,31,0,364.692,0.438158,0.672259,1.93762
-363.275,0.998808,0.183555,4,15,0,364.111,0.439905,0.906361,2.13611
-361.309,0.981761,0.291738,3,15,0,364.118,0.488275,0.69026,2.13071
-362.345,0.9556,0.444125,3,7,0,363.076,0.566471,0.512286,1.72449
-361.75,0.197813,0.63532,4,15,0,362.893,0.529407,0.546698,1.70738
-362.052,0.992768,0.174174,5,31,0,362.909,0.466537,0.697521,1.74281
-360.845,0.997578,0.270295,3,7,0,362.245,0.517973,0.745868,2.35321
-360.846,1,0.421675,3,7,0,360.881,0.527273,0.707247,2.26183
-360.846,2.12556e-005,0.657905,2,3,0,363.493,0.527273,0.707247,2.26183
-360.878,0.999758,0.121858,5,31,0,361.012,0.555557,0.730402,2.50108
-361.999,0.990476,0.190361,4,23,0,362.335,0.508508,0.520971,1.67932
-361.775,0.968009,0.290183,4,15,0,362.903,0.472587,0.782418,2.00718
-362.045,0.98282,0.420096,2,7,0,363.898,0.605933,0.62078,2.50157
-362.604,0.992597,0.624686,3,7,0,363.695,0.439763,0.654096,1.6669
-362.604,0.00281763,0.943877,2,6,1,363.402,0.439763,0.654096,1.6669
-363.699,0.9529,0.185049,3,7,0,364.438,0.420796,0.598579,1.65506
-367.776,0.844535,0.258252,2,3,0,368.104,0.412986,0.770882,1.36168
-363.444,1,0.287994,2,3,0,368.123,0.419376,0.646592,1.54482
-361.045,0.84707,0.439634,3,7,0,364.023,0.53377,0.708204,2.55043
-363.995,0.757128,0.490846,2,7,0,364.121,0.507343,0.734562,3.33342
-362.039,0.742392,0.456972,2,3,0,364.791,0.471546,0.772484,2.47804
-362.519,0.965524,0.413361,3,7,0,364.576,0.617104,0.848733,2.74792
-363.466,0.716393,0.583142,2,3,0,364.009,0.640391,0.862315,2.83614
-361.937,0.797885,0.500879,2,3,0,364.697,0.580828,0.831476,3.66349
-361.763,1,0.505788,4,15,0,361.949,0.4854,0.639529,2.11387
-361.763,0.000844922,0.758775,2,3,0,362.943,0.4854,0.639529,2.11387
-361.642,0.997926,0.161587,4,31,0,363.234,0.576952,1.01896,3.73547
-362.103,0.963018,0.241776,3,15,0,363.284,0.565998,1.04067,4.16324
-361.252,0.954253,0.336886,3,15,0,362.806,0.547115,0.663842,2.5278
-360.98,0.95171,0.460133,3,11,0,361.741,0.553899,0.872142,3.03732
-362.284,0.904271,0.623611,2,7,0,364.462,0.522621,0.498563,1.53938
-362.284,0.0262878,0.769961,2,3,0,363.219,0.522621,0.498563,1.53938
-361.318,0.998647,0.179355,5,31,0,362.469,0.512461,0.944379,2.74473
-364.119,0.9341,0.2656,3,7,0,364.837,0.483624,1.1563,3.9698
-362.803,0.981011,0.347135,2,3,0,364.344,0.494855,1.10666,3.57261
-362.803,0.0581054,0.494175,1,1,0,365.341,0.494855,1.10666,3.57261
-363.784,0.992262,0.125489,5,31,0,366.61,0.496743,1.2927,3.7819
-361.495,0.995508,0.182635,3,11,0,364.271,0.540103,0.948657,3.47222
-360.962,0.99457,0.266536,3,15,0,362.529,0.536242,0.737502,2.21064
-361.255,0.996726,0.387054,2,7,0,361.359,0.492301,0.717024,2.26653
-361.255,0.565276,0.562507,1,3,0,362.993,0.492301,0.717024,2.26653
-361.258,0.998454,0.37071,3,15,0,361.956,0.522058,0.961139,2.96248
-361.258,0.0139676,1.07766,2,3,0,362.343,0.522058,0.961139,2.96248
-361.258,2.06748e-026,2.58114,1,1,0,362.166,0.522058,0.961139,2.96248
-362.29,0.989609,0.256422,4,15,0,362.606,0.619374,0.661475,2.84564
-362.09,0.995961,0.260889,3,15,0,363.67,0.493227,1.03567,2.86521
-363.14,0.975945,0.34906,4,15,0,363.783,0.547763,0.436359,1.67638
-363.964,0.944567,0.508068,3,7,0,365.746,0.491117,1.19293,4.07025
-363.964,0.0366775,0.7284,2,3,0,364.916,0.491117,1.19293,4.07025
-364.41,0.998785,0.0647288,6,63,0,366.051,0.566307,0.451254,1.30226
-361.84,0.998741,0.115071,5,63,0,364.976,0.47888,0.929191,2.59122
-361.623,0.956213,0.210861,3,15,0,363.665,0.514704,0.822078,2.14195
-361.115,0.999878,0.343685,3,15,0,361.818,0.526516,0.664872,2.34083
-361.08,1,0.648711,2,3,0,361.194,0.530571,0.693281,2.04621
-363.71,0.00513211,1.22817,1,3,1,365.87,0.506965,0.741762,3.28732
-362.879,0.998297,0.102592,3,15,0,364.797,0.493831,0.775294,3.03216
-364.27,0.912035,0.195316,3,7,0,369.754,0.583994,0.943955,2.3664
-361.048,1,0.28345,2,7,0,364.834,0.553358,0.890876,3.13435
-361.36,0.883646,0.537872,3,7,0,363.522,0.537967,0.774158,2.16038
-362.947,0.873334,0.710006,2,3,0,363.167,0.615304,0.5577,2.60564
-362.505,0.582357,0.90561,2,3,0,363.832,0.602128,0.741699,2.26948
-361.471,0.902205,0.480208,2,3,0,363.069,0.575835,0.638563,2.51207
-361.514,0.458032,0.668149,3,7,0,363.434,0.515873,1.00419,3.0103
-362.145,0.978754,0.24882,3,15,0,362.555,0.494654,1.02478,2.71905
-362.56,0.841658,0.433807,3,7,0,363.516,0.591202,0.941193,2.72085
-363.003,0.971201,0.503215,3,11,0,363.954,0.48148,0.774359,1.75337
-361.559,0.669538,0.846012,2,3,0,362.328,0.498756,0.665127,2.29772
-361.136,0.997169,0.595567,3,7,0,362.31,0.564016,0.925338,3.14384
-361.136,1.0567e-005,1.06714,2,3,0,364.998,0.564016,0.925338,3.14384
-362.762,0.988869,0.115056,5,35,0,363.937,0.496271,0.502714,1.80284
-362.068,0.970179,0.202304,4,19,0,365.125,0.534528,0.914541,3.64982
-361.149,0.992589,0.334659,3,15,0,362.352,0.562958,0.721407,2.77267
-361.259,0.996251,0.583747,2,3,0,361.484,0.581876,0.792564,2.63824
-361.259,0.0989745,1.019,2,3,0,362.203,0.581876,0.792564,2.63824
-361.664,0.994984,0.157199,5,31,0,362.282,0.583539,0.627151,2.53684
-361.982,0.987194,0.273905,3,7,0,362.279,0.593959,0.691733,2.22196
-362.566,1,0.463319,2,3,0,363.067,0.618671,0.587064,2.43747
-362.566,0.182051,0.803758,2,7,0,364.591,0.618671,0.587064,2.43747
-360.872,0.998871,0.163639,4,23,0,362.805,0.524106,0.781606,2.33912
-366.79,0.87576,0.282871,4,15,0,367.837,0.385384,0.70113,1.30411
-365.281,0.975397,0.35339,2,7,0,369.193,0.413647,0.670137,1.32887
-362.457,1,0.567157,3,7,0,365.156,0.52198,0.49342,1.48136
-363.287,0.202106,0.961726,2,7,0,363.549,0.517511,0.442082,1.66613
-364.151,0.987119,0.218186,3,7,0,364.483,0.514522,0.508079,1.23907
-361.876,1,0.357951,4,15,0,364.386,0.57118,1.09975,3.75733
-361.896,0.93786,0.601847,3,7,0,363.508,0.613766,0.742427,3.02647
-361.896,0.160516,0.86211,2,5,0,364.221,0.613766,0.742427,3.02647
-361.73,0.998697,0.184447,4,23,0,363.532,0.588651,1.01231,3.71921
-362.15,0.99691,0.307093,3,7,0,362.363,0.581396,1.11054,4.20309
-361.887,0.923604,0.505448,2,7,0,362.742,0.574371,1.07479,3.43891
-362.217,0.803544,0.693445,2,3,0,362.908,0.538799,0.872875,3.64878
-361.187,0.753488,0.712395,2,7,0,363.214,0.511813,0.829558,2.79466
# Adaptation terminated
# Step size = 0.437847
