# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:50:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\5_d36520.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.4\realisation6\exponential_priors-20240423085013.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-389.484,1,0.0625,1,1,0,461.405,0.662309,0.717712,1.29573
-389.484,0,14.3855,0,1,1,391.675,0.662309,0.717712,1.29573
-389.484,0,2.43117,0,1,1,392.583,0.662309,0.717712,1.29573
-389.484,2.74869e-220,0.239791,1,2,1,389.814,0.662309,0.717712,1.29573
-388.574,0.999385,0.0186273,4,15,0,394.105,0.466669,0.742026,2.38513
-380.352,0.992906,0.0256786,4,15,0,389.982,0.553095,0.790464,1.7316
-381.422,0.915162,0.0394638,2,3,0,381.784,0.581862,0.80303,1.68392
-380.456,1,0.0515233,3,15,0,383.299,0.666442,0.619712,2.64069
-381.757,0.710978,0.0918095,3,7,0,383.016,0.649268,0.967214,2.99092
-382.164,0.979724,0.0677557,2,3,0,382.351,0.626111,1.00463,2.9235
-382.465,0.196661,0.118785,2,3,0,383.771,0.606458,0.862252,3.0969
-380.668,0.999992,0.0177535,4,15,0,382.975,0.648205,0.820851,2.86282
-379.346,0.989977,0.0339693,5,35,0,381.386,0.46854,0.306335,0.639649
-378.188,0.994115,0.0631944,4,15,0,380.016,0.503342,0.411012,0.927922
-378.073,0.742005,0.119019,3,11,0,378.902,0.615337,0.512554,1.61858
-379.061,0.719658,0.102261,3,7,0,380.011,0.681376,0.484232,1.42915
-379.061,0.420242,0.0824399,2,3,0,382.116,0.681376,0.484232,1.42915
-378.365,0.992436,0.0267822,4,31,0,381.673,0.580138,0.55441,1.29141
-378.59,0.994093,0.0502423,3,7,0,379.253,0.521516,0.612737,1.43773
-378.698,0.856946,0.0939544,3,15,0,379.259,0.592691,0.372096,1.19047
-379.181,0.618047,0.115696,4,15,0,379.421,0.458984,0.377201,0.723285
-380.695,0.768116,0.0701261,2,3,0,381.519,0.398722,0.382976,0.642493
-378.38,0.998093,0.0666032,4,19,0,381.474,0.647541,0.456876,1.30634
-378.38,5.53535e-008,0.123615,2,3,0,385.451,0.647541,0.456876,1.30634
-378.008,0.995867,0.0127978,4,15,0,379.552,0.584704,0.460791,1.37208
-380.066,0.975843,0.0237071,5,47,0,380.613,0.532188,0.410107,0.788227
-379.94,0.999786,0.041076,3,15,0,380.655,0.529253,0.397752,0.768655
-379.947,0.768585,0.0754322,3,15,0,383.247,0.432278,0.317525,0.666749
-378.353,0.998441,0.0720262,4,23,0,380.627,0.654737,0.556753,1.82798
-378.992,0.149352,0.129861,2,7,0,379.663,0.566946,0.598842,1.82171
-380.125,0.999517,0.0226641,4,23,0,381.059,0.695027,0.73732,2.22554
-380.663,0.973017,0.0409761,3,7,0,381.308,0.617057,0.586446,2.34395
-380.279,1,0.0683112,1,1,0,380.817,0.630352,0.591122,2.36137
-378.263,0.787971,0.121377,2,7,0,380.98,0.656512,0.483368,1.51513
-378.166,0.911913,0.121808,2,7,0,379.379,0.586601,0.437724,1.06396
-380.225,0.135929,0.169311,1,3,0,383.541,0.692207,0.391109,1.75361
-379.53,0.981446,0.0309212,4,15,0,380.953,0.644775,0.427745,1.70849
-379.256,0.999817,0.0517301,3,15,0,380.731,0.707683,0.561063,1.97742
-379.451,0.602128,0.0899948,2,3,0,380.795,0.535056,0.583855,1.69269
-379.374,0.989925,0.056328,2,7,0,379.881,0.547845,0.5756,1.73601
-378.971,0.86753,0.0946884,3,15,0,381.641,0.656795,0.429005,1.184
-379.62,1,0.116138,2,3,0,379.751,0.670515,0.345762,1.33646
-379.62,0.309685,0.197553,1,3,0,381.751,0.670515,0.345762,1.33646
-378.024,0.994757,0.0604126,4,15,0,379.986,0.569183,0.387737,1.05239
-379.523,0.883208,0.10112,3,15,0,382.073,0.486745,0.281177,0.614067
-380.821,0.0646888,0.127976,3,11,0,381.97,0.478531,0.302278,0.802551
-380.889,0.998743,0.0222258,3,15,0,382.481,0.48586,0.285582,0.767648
-380.552,0.997525,0.0373981,2,7,0,383.053,0.512688,0.270275,0.752633
-379.804,0.871973,0.0622868,2,3,0,382.383,0.52777,0.288112,0.801841
-380.016,0.914593,0.0764681,4,15,0,381.07,0.420642,0.322769,0.647778
-380.583,0.773323,0.103497,3,7,0,381.126,0.552917,0.233761,0.664458
-380.093,0.974091,0.100211,3,7,0,380.817,0.45193,0.276494,0.546968
-379.972,0.360666,0.154825,1,3,0,381.237,0.543868,0.279355,0.608217
-381.111,0.972568,0.0576181,2,7,0,382.289,0.396936,0.275588,0.529942
-380.416,0.754494,0.0885024,2,3,0,381.408,0.424709,0.283938,0.533036
-380.576,0.603667,0.0821887,3,7,0,381.995,0.569081,0.2398,0.570523
-379.556,0.975918,0.0542581,4,15,0,381.025,0.452679,0.339412,0.759592
-378.034,0.981991,0.0832957,3,15,0,379.628,0.615917,0.420209,1.26569
-378.034,0.00158101,0.128928,2,7,0,380.418,0.615917,0.420209,1.26569
-377.779,0.999854,0.0223738,4,31,0,378.371,0.575706,0.434274,1.13599
-377.975,0.986102,0.0361113,3,15,0,378.527,0.549985,0.394529,1.01018
-378.662,0.702585,0.0562181,2,3,0,381.246,0.619671,0.389461,1.01131
-379.742,0.998949,0.0468252,4,15,0,380.59,0.632467,0.279826,0.831167
-379.462,0.943291,0.0744434,3,7,0,380.726,0.652136,0.320626,0.95039
-379.195,0.815117,0.104362,2,3,0,380.074,0.555645,0.347732,1.05707
-378.316,1,0.110627,1,1,0,378.608,0.604716,0.374433,1.0053
-378.316,0.138308,0.173981,2,5,1,380.343,0.604716,0.374433,1.0053
-378.471,0.965641,0.0435794,3,15,0,382.268,0.514747,0.444645,0.926487
-377.906,0.978422,0.063727,2,7,0,379.896,0.54736,0.412096,1.00191
-378.105,0.727265,0.0953207,3,11,0,378.637,0.631791,0.504575,1.39884
-378.021,0.955825,0.0839395,2,7,0,379.138,0.560895,0.540907,1.48069
-377.861,1,0.119069,2,3,0,377.929,0.566276,0.554281,1.42468
-378.293,0.217146,0.184369,1,3,0,378.811,0.615514,0.478277,1.57881
-378.374,0.998517,0.0567,3,7,0,378.558,0.664923,0.49743,1.61663
-378.215,0.827609,0.0874494,3,11,0,379.272,0.501796,0.470779,1.09282
-379.13,0.98573,0.0947779,3,11,0,380.578,0.474105,0.317537,0.68583
-379.424,0.12427,0.14141,1,3,0,380.916,0.496134,0.320182,0.812044
-379.419,0.997231,0.0369624,5,63,0,380.771,0.65257,0.576949,2.23284
-383.372,0.747875,0.0564633,3,7,0,384.033,0.602721,0.63041,2.79601
-380.484,0.980486,0.0521924,2,3,0,384.227,0.632715,0.723307,2.68807
-379.612,0.997406,0.0766523,3,7,0,380.619,0.652907,0.75436,2.09947
-378.288,0.756173,0.115962,3,7,0,379.903,0.621569,0.43947,1.44929
-378.288,0.667423,0.108669,2,7,0,378.698,0.621569,0.43947,1.44929
-379.294,0.628944,0.0856257,3,13,0,381.29,0.445701,0.383626,0.727193
-378.122,0.993253,0.062726,4,15,0,379.657,0.538486,0.409541,0.930663
-377.892,0.957822,0.0934545,3,13,0,378.803,0.548997,0.440862,1.16051
-377.892,1.16254e-011,0.129534,1,1,0,381.995,0.548997,0.440862,1.16051
-381.366,0.921749,0.0283684,3,7,0,381.891,0.488263,0.39289,1.15344
-381.629,0.994926,0.0367795,4,23,0,382.75,0.502231,0.505317,1.55723
-380.675,1,0.0546868,1,1,0,381.749,0.515911,0.504913,1.54602
-378.305,0.937224,0.0818014,2,7,0,381.378,0.503917,0.487008,1.16322
-378.925,0.938873,0.108281,3,7,0,379.041,0.685189,0.428546,1.41552
-378.925,0.0447823,0.143412,2,4,1,379.995,0.685189,0.428546,1.41552
-378.542,1,0.0355154,2,3,0,378.998,0.655102,0.419209,1.43655
-379.264,0.872804,0.0528335,3,9,0,380.055,0.59503,0.521421,1.15599
-379.41,0.931166,0.0618488,2,3,0,380.1,0.52209,0.447468,1.29848
-380.198,0.888824,0.0805364,2,7,0,382.086,0.719183,0.379149,1.62747
-378.109,0.803134,0.0967834,3,7,0,381.19,0.589745,0.41485,1.24515
-379.022,0.693605,0.0992399,3,15,0,379.894,0.611331,0.670398,1.64245
-377.736,0.495295,0.0832925,3,15,0,381.593,0.561769,0.488307,1.27131
-378.326,0.884223,0.390496,2,7,0,379.597,0.648414,0.43463,1.42949
-378.326,0,4.55114,0,1,1,379.335,0.648414,0.43463,1.42949
-378.326,4.17176e-005,0.722631,1,1,0,383.581,0.648414,0.43463,1.42949
-378.748,0.998069,0.0687881,4,15,0,378.876,0.644868,0.430029,1.55732
-378.417,0.987723,0.0904901,3,15,0,381.071,0.65282,0.442391,1.50355
-379.041,0.994795,0.134446,3,7,0,379.22,0.669274,0.427465,1.63489
