# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:52:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\urtn4z_k.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.4\realisation7\exponential_priors-20240423085227.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-379.402,1,0.0625,1,1,0,460.448,0.637099,0.71726,1.3988
-379.402,0,14.3855,0,1,1,379.951,0.637099,0.71726,1.3988
-379.402,0,2.43117,0,1,1,379.953,0.637099,0.71726,1.3988
-379.402,3.26107e-157,0.239791,1,3,1,379.746,0.637099,0.71726,1.3988
-375.651,0.999792,0.0186273,3,11,0,381.646,0.41086,0.570243,1.55796
-370.629,0.998596,0.0257098,3,7,0,376.203,0.488842,0.552607,1.46643
-370.207,0.986249,0.0402075,3,15,0,371.725,0.555131,0.483085,1.33655
-371.939,0.813238,0.0655153,2,7,0,372.895,0.571238,0.49929,1.17786
-371.594,1,0.0650624,2,3,0,372.1,0.521635,0.439411,1.43394
-371.594,0.000687959,0.119412,2,7,0,376.845,0.521635,0.439411,1.43394
-370.831,0.999977,0.00947622,5,63,0,372.898,0.542111,0.425467,1.2474
-369.704,0.999516,0.0179636,5,47,0,371.017,0.536917,0.598287,1.73391
-370.602,0.997492,0.0343187,4,31,0,372.34,0.567037,0.879254,2.36925
-370.716,0.996347,0.0653634,3,7,0,370.91,0.532875,0.861621,2.30716
-370.69,1,0.123941,3,7,0,371.012,0.57698,0.891401,2.4525
-370.69,0.0129489,0.236788,1,3,0,372.078,0.57698,0.891401,2.4525
-370.754,0.991187,0.0215721,4,31,0,372.007,0.638862,0.74554,2.68171
-370.012,0.998822,0.0404775,3,11,0,370.872,0.569525,0.787662,2.31657
-370.759,0.79545,0.07717,3,15,0,374.251,0.656958,0.552703,1.9384
-370.336,0.996805,0.079152,3,11,0,371.662,0.611166,0.790219,2.27388
-370.336,0.632999,0.148103,1,3,0,370.736,0.611166,0.790219,2.27388
-370.112,0.865415,0.0936332,2,7,0,371.83,0.559625,0.594448,1.98568
-370.112,0.00186267,0.117994,1,1,0,371.715,0.559625,0.594448,1.98568
-370.324,0.999953,0.0120441,6,71,0,371.674,0.584379,0.465705,1.39335
-370.997,0.990762,0.0226956,4,31,0,371.909,0.647648,0.476286,1.77609
-371.441,0.98245,0.0412313,3,15,0,373.623,0.470597,0.663447,1.43083
-370.366,0.983531,0.0724463,3,7,0,371.865,0.613254,0.566111,1.60235
-371.459,0.651391,0.126492,2,3,0,372.853,0.457373,0.576588,1.41622
-371.379,1,0.086767,3,7,0,372.046,0.594976,0.50578,2.0552
-371.379,0.192666,0.156867,1,3,0,372.186,0.594976,0.50578,2.0552
-372.25,0.977217,0.030777,3,15,0,375.701,0.681171,0.453704,1.97367
-369.684,0.98452,0.0522416,2,7,0,373.41,0.541781,0.575468,1.677
-369.881,0.971035,0.0896541,3,15,0,370.461,0.581604,0.679453,2.23065
-369.881,0.0284568,0.147111,1,3,0,371.864,0.581604,0.679453,2.23065
-369.963,0.997223,0.0196907,4,23,0,371.276,0.562051,0.749188,1.94052
-369.9,0.994478,0.0347518,2,7,0,370.212,0.539059,0.703295,2.05535
-370.989,0.98553,0.0603452,3,15,0,371.669,0.576777,0.899291,2.31296
-370.873,0.980306,0.101499,2,3,0,371.324,0.562671,0.807549,2.63846
-370.873,2.80411e-017,0.167078,1,1,0,372.169,0.562671,0.807549,2.63846
-370.051,0.997932,0.0224297,5,39,0,372.815,0.54476,0.513333,1.57621
-370.644,0.982615,0.0387435,4,15,0,371.446,0.561802,0.73859,1.76012
-369.567,1,0.0638649,3,7,0,371.132,0.584641,0.636408,1.98871
-370.13,0.975556,0.109114,3,7,0,370.359,0.583833,0.811615,2.34192
-370.13,0.00262833,0.174093,1,3,1,371.485,0.583833,0.811615,2.34192
-369.857,0.996719,0.0252719,4,31,0,370.666,0.534703,0.724078,1.99739
-370.2,0.991203,0.0426039,4,15,0,370.509,0.595824,0.510701,1.79245
-369.755,0.995963,0.0703387,3,7,0,370.696,0.572904,0.550303,1.76373
-369.67,1,0.116632,2,7,0,369.838,0.55548,0.549724,1.54998
-369.67,0.0957592,0.193889,1,3,0,370.501,0.55548,0.549724,1.54998
