# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:54:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\96bhwq53.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.4\realisation8\exponential_priors-20240423085408.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-396.071,1,0.0625,1,1,0,483.411,0.699811,0.688752,1.46432
-396.071,0,14.3855,0,1,1,398.324,0.699811,0.688752,1.46432
-396.071,0,2.43117,0,1,1,400.678,0.699811,0.688752,1.46432
-396.071,1.44807e-228,0.239791,1,1,0,397.217,0.699811,0.688752,1.46432
-394.621,1,0.0186273,2,3,0,396.571,0.697648,0.686899,1.50028
-379.252,1,0.0257257,3,7,0,396.336,0.561947,0.545719,1.51872
-377.28,0.994132,0.0404064,3,7,0,379.87,0.521059,0.547089,1.87757
-377.215,0.967888,0.0674804,4,15,0,377.866,0.525653,0.511039,1.82713
-376.824,0.976715,0.108985,3,11,0,377.644,0.613694,0.623128,3.98389
-376.824,1.34471e-018,0.186307,1,1,0,377.918,0.613694,0.623128,3.98389
-376.715,0.999976,0.0147619,5,31,0,376.983,0.633269,0.605123,3.98371
-376.776,0.996061,0.0279692,4,23,0,377.435,0.626908,0.873966,3.90925
-376.994,0.99196,0.0527851,4,15,0,377.416,0.559396,0.851805,3.44599
-376.994,0.291934,0.0986184,1,1,0,378.546,0.559396,0.851805,3.44599
-377.013,0.999831,0.0207479,4,15,0,377.473,0.605046,0.876647,3.3448
-377.403,0.993792,0.040067,4,15,0,378.268,0.533398,0.818913,2.96978
-376.054,0.756133,0.075571,4,15,0,379.719,0.600874,0.565621,2.83313
-376.029,0.999958,0.0685285,3,7,0,376.069,0.617655,0.580622,2.72949
-376.529,0.579185,0.130565,2,7,0,377.09,0.659607,0.539785,3.07642
-376.044,0.998262,0.0696088,4,15,0,376.585,0.625115,0.640789,3.11899
-376.349,0.943155,0.130952,2,7,0,377.64,0.584456,0.478182,2.19638
-377.377,0.200328,0.20733,1,3,0,377.79,0.569433,0.509127,1.69625
-376.668,0.989435,0.0369339,4,15,0,380.037,0.638736,0.577429,2.4672
-377.928,0.627106,0.0671816,3,15,0,381.125,0.580041,0.626824,4.11288
-377.253,0.993017,0.0426006,4,23,0,379.824,0.685054,0.519401,2.84863
-377.522,0.983193,0.0774755,3,11,0,378.626,0.554687,0.454292,2.4113
-377.925,0.446016,0.135685,3,11,0,378.231,0.672329,0.518516,2.24073
-376.919,0.98142,0.0520712,3,11,0,379.396,0.57527,0.417862,2.05894
-377.383,1,0.0902232,2,5,0,377.705,0.577002,0.408357,1.545
-377.383,0.0316871,0.163062,2,3,0,380.261,0.577002,0.408357,1.545
-377.518,0.995624,0.0205799,4,15,0,377.884,0.607888,0.407266,1.60666
-377.545,0.988266,0.036846,4,19,0,378.335,0.592538,0.343935,1.60679
-377.486,0.981311,0.0640573,3,15,0,379.138,0.661427,0.371297,2.4742
-378.654,0.650549,0.108331,3,7,0,379.578,0.667112,0.355201,1.66168
-378.199,0.996695,0.0755973,2,7,0,379.507,0.560026,0.324096,1.45133
