# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:55:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\_pkcj9br.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.4\realisation9\exponential_priors-20240423085534.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-405.224,0.954431,0.0625,4,19,0,481.992,1.05135,0.0191098,173.353
-405.224,0,13.2417,0,1,1,406.685,1.05135,0.0191098,173.353
-405.224,0,2.18357,0,1,1,408.454,1.05135,0.0191098,173.353
-405.224,1.71423e-211,0.212372,1,2,1,406.544,1.05135,0.0191098,173.353
-392.457,1,0.0163533,4,15,0,407.014,0.72042,0.0233869,172.607
-389.436,0.999907,0.0224576,7,159,0,393.372,0.863206,0.440618,150.603
-388.888,0.998454,0.0351343,5,63,0,391.198,0.720848,1.21347,117.529
-386.584,0.843506,0.0593327,5,63,0,392.748,0.845316,0.524174,6.83137
-385.083,1,0.0647409,1,1,0,386.582,0.815018,0.53435,6.74576
-382.926,0.309326,0.118819,3,7,0,388.093,0.480375,0.97246,2.80073
-383.747,0.985472,0.0250231,3,7,0,386.49,0.58236,1.10352,2.80882
-381.977,1,0.045261,3,7,0,385.521,0.482355,0.888143,2.72845
-378.627,0.974942,0.0863604,3,7,0,382.932,0.594058,0.82248,2.99534
-380.86,0.0629284,0.152631,2,3,0,381.725,0.540934,0.89884,3.50441
-380.912,0.997995,0.0156859,4,15,0,381.689,0.656586,0.923915,3.10263
-382.102,0.979745,0.030173,3,7,0,382.908,0.48887,0.865014,2.94595
-379.56,0.995123,0.0546097,4,15,0,382.881,0.626879,0.557277,3.73964
-378.778,0.995459,0.102997,2,3,0,379.667,0.690392,0.647068,3.2303
-378.778,9.05306e-005,0.19297,1,3,1,380.124,0.690392,0.647068,3.2303
