# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 07:57:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ing1s6au.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.6\realisation0\exponential_priors-20240423085704.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-361.645,1,0.0625,2,3,0,427.049,0.737468,0.638765,1.52325
-361.645,0,14.3855,0,1,1,362.992,0.737468,0.638765,1.52325
-361.645,0,2.43117,0,1,1,362.786,0.737468,0.638765,1.52325
-361.645,2.56508e-065,0.239791,1,1,0,362.815,0.737468,0.638765,1.52325
-362.247,0.99463,0.0186273,4,31,0,363.741,0.838537,0.56834,2.08944
-362.575,0.999515,0.0253171,4,31,0,363.496,0.875067,0.510742,1.78073
-365.359,0.998289,0.0396885,4,31,0,366.202,0.751441,1.19197,3.01775
-364.334,0.976308,0.0671246,3,7,0,366.085,0.923749,0.719614,3.18671
-364.334,0.137438,0.111311,1,1,0,364.821,0.923749,0.719614,3.18671
-365.29,0.983846,0.0134405,4,15,0,366.364,0.865446,0.711855,3.28786
-362.018,0.998078,0.0238187,4,15,0,366.864,0.842685,0.837903,2.35375
-361.297,0.999806,0.0448349,3,15,0,362.737,0.715387,0.693636,1.86187
-361.667,0.993211,0.0854976,3,7,0,362.195,0.82783,0.750195,2.49963
-361.556,0.359407,0.160021,2,5,1,362.341,0.726408,0.765448,1.80766
-362.606,0.863745,0.0414389,3,11,0,364.137,0.732613,0.758318,2.36273
-363.069,0.978922,0.0522646,4,15,0,364.526,0.750384,0.745931,2.49827
-361.032,0.991671,0.0939952,3,7,0,362.623,0.766097,0.651961,1.7178
-361.032,0.110191,0.174718,1,3,1,362.182,0.766097,0.651961,1.7178
-366.912,0.950414,0.0222899,5,31,0,367.561,1.00614,0.687859,3.59772
-365.759,0.994863,0.0367929,4,31,0,368.491,0.559393,0.579462,1.29147
-363.985,1,0.0688791,3,15,0,366.215,0.850402,0.546743,2.3505
-362.314,0.33702,0.129705,2,3,0,364.693,0.874268,0.713247,2.05467
-362.605,0.997223,0.0346315,4,31,0,364.104,0.646052,0.672514,1.66061
-361.836,0.9744,0.0644709,2,7,0,363.458,0.814948,0.547749,1.5522
-361.836,0.216429,0.111258,2,7,0,364.846,0.814948,0.547749,1.5522
-365.146,0.987587,0.0218221,4,31,0,366.866,0.903508,0.536374,2.61839
-366.024,0.988972,0.0391166,2,3,0,366.201,0.919071,0.522295,2.73738
-364.439,0.789772,0.0697139,2,3,0,366.958,0.966379,0.614004,2.63066
-361.885,0.855879,0.0706592,3,7,0,365.924,0.710617,0.663888,1.90793
-361.885,0.523033,0.0859493,1,3,0,363.113,0.710617,0.663888,1.90793
-363.705,0.969698,0.0418832,3,7,0,364.134,0.700417,0.706952,1.4317
-362.612,0.955209,0.0694791,3,11,0,367.205,0.741046,0.884225,2.00774
-365.312,0.498692,0.109927,3,11,0,366.832,0.775555,0.355429,1.16132
-364.803,0.997213,0.0509752,4,15,0,365.749,0.813447,0.365853,1.19776
-361.972,0.621017,0.0896966,4,15,0,365.368,0.667184,0.645742,1.50827
-360.975,0.998629,0.058165,4,15,0,363.714,0.74913,0.709591,1.84648
-361.138,0.85041,0.101688,3,7,0,362.035,0.719049,0.685892,1.76332
-361.138,1.13945e-005,0.12007,1,3,0,367.269,0.719049,0.685892,1.76332
-361.743,0.992865,0.0159157,5,55,0,362.818,0.852225,0.766087,2.52325
-362.019,0.986949,0.0273276,5,39,0,362.952,0.709509,0.585293,1.37171
-361.696,0.991798,0.0458422,3,11,0,363.043,0.824516,0.548004,1.79633
-361.334,0.92842,0.0772325,3,7,0,361.963,0.788367,0.563057,1.64593
-364.777,0.385221,0.110237,2,7,0,366.014,0.702301,0.911927,2.75517
-365.594,0.954128,0.0408116,2,7,0,367.847,0.676458,1.03561,2.77022
-364.445,1,0.0619963,4,15,0,366.269,0.968762,0.700665,2.8868
-364.309,0.47364,0.104687,3,7,0,365.717,0.601533,0.610734,1.20484
-364.901,0.980207,0.0490274,4,15,0,366.543,0.866643,0.403063,1.22812
-365.529,0.574393,0.0784671,2,3,0,366.958,0.794024,0.370811,1.39487
-364.102,0.999872,0.0473166,4,31,0,366.366,0.695188,1.01094,2.19681
-361.714,0.326708,0.078833,3,7,0,366.334,0.829454,0.756363,2.52729
-362.741,0.941399,0.026686,2,7,0,363.984,0.750547,0.760896,2.4819
-361.83,0.998068,0.038643,3,7,0,362.994,0.851211,0.756611,2.15177
-361.738,0.967569,0.0635218,3,11,0,362.875,0.822024,0.59298,1.64209
-361.756,0.983057,0.0966713,2,3,0,362.073,0.679284,0.677407,1.5799
-361.756,0.0103921,0.151607,1,3,1,364.949,0.679284,0.677407,1.5799
-361.632,0.994028,0.0256851,3,15,0,363.204,0.829766,0.553502,1.72733
-362.31,0.987317,0.0413931,4,31,0,363.178,0.705712,0.885827,2.07885
-363.054,0.999598,0.0653083,3,7,0,363.337,0.87523,0.755566,2.94681
-363.054,0.027523,0.105309,3,7,0,366.063,0.87523,0.755566,2.94681
-362.27,0.999567,0.0193852,4,15,0,363.233,0.846726,0.764816,2.72908
-363.175,0.989251,0.0312947,4,15,0,363.463,0.769175,0.997563,2.40577
-362.967,0.869367,0.0490998,4,15,0,364.782,0.794457,0.934953,2.26151
-362.354,0.991377,0.0589458,2,7,0,364.647,0.828445,0.758118,2.70762
-362.513,0.966897,0.0920598,3,15,0,364.299,0.907867,0.672764,2.39322
-361.988,0.200761,0.135651,2,5,1,363.763,0.852822,0.839382,2.59037
-362.989,0.918231,0.0383241,4,23,0,365.804,0.814778,0.442735,1.37801
-363.422,0.983624,0.050906,2,3,0,363.466,0.838747,0.429259,1.37559
-366.241,0.599343,0.077449,3,7,0,367.254,0.770785,0.412961,1.66157
-364.017,1,0.0520387,3,7,0,366.536,0.637213,0.510986,1.31179
-363.526,0.860626,0.0815407,3,7,0,364.63,0.679187,0.55908,1.18157
-360.98,0.544051,0.0949866,3,7,0,364.441,0.78554,0.720166,1.95654
-362.673,0.946595,0.0571673,3,15,0,363.451,0.830676,0.474692,1.65363
-361.552,0.965276,0.0795631,3,7,0,362.921,0.825143,0.558981,1.72581
-361.011,0.496035,0.114664,2,7,0,363.15,0.803919,0.663354,2.01492
-361.473,0.797834,0.0629596,3,11,0,362.538,0.724948,0.639443,1.82532
-361.378,0.999235,0.0643267,3,7,0,361.763,0.824895,0.610214,1.77245
-361.369,0.97094,0.0988338,3,15,0,361.788,0.770255,0.806686,2.06586
-361.604,0.497201,0.142794,2,5,0,362.042,0.696577,0.768343,1.85441
-361.58,1,0.0794173,2,7,0,361.855,0.694034,0.745859,1.78026
-361.216,0.527719,0.121264,2,7,0,362.271,0.77118,0.780767,2.02172
-362.559,0.852989,0.0721159,3,7,0,364.204,0.831451,0.484776,1.45993
-362.043,1,0.0820144,3,7,0,362.538,0.759003,0.504584,1.50349
-362.043,4.9731e-008,0.12441,1,1,0,364.33,0.759003,0.504584,1.50349
-362.305,0.998161,0.0264957,4,31,0,363.522,0.708352,0.53522,1.2888
-363.896,0.970148,0.0400956,3,7,0,364.129,0.877016,0.423176,1.47744
-363.034,1,0.0572371,2,3,0,364.039,0.793298,0.441964,1.4388
-362.811,1,0.0862645,3,7,0,363.063,0.814244,0.451726,1.46676
-362.811,0.29112,0.129513,2,5,0,363.317,0.814244,0.451726,1.46676
-361.512,0.909533,0.0498617,4,15,0,364.803,0.793444,0.558793,1.76505
-361.328,0.967275,0.0629173,2,7,0,362.738,0.739504,0.593812,1.68487
-363.171,0.587615,0.0883916,3,7,0,363.841,0.882372,0.564488,1.63908
-361.404,1,0.0604287,3,7,0,364.793,0.736542,0.806496,2.15365
-361.404,0.289191,0.0900149,2,7,0,364.305,0.736542,0.806496,2.15365
-362.098,0.972487,0.0353009,4,15,0,362.456,0.776043,0.795159,2.54617
-362.44,0.965274,0.0498897,4,15,0,363.667,0.770279,0.857049,2.00835
-363.052,0.93061,0.0693579,2,3,0,364.322,0.649845,0.853507,1.92847
-363.838,0.99247,0.0901778,3,7,0,364.216,0.874609,0.463553,1.91065
-361.897,0.619342,0.131089,2,3,0,364.515,0.856649,0.596117,1.78884
-362.064,0.744922,0.0958458,1,3,0,366.106,0.663801,0.692189,1.56901
-363.372,0.978676,0.0883575,3,11,0,366.78,0.878801,0.928048,3.22254
-363.372,4.69596e-006,0.997329,2,3,0,367.034,0.878801,0.928048,3.22254
-363.372,0.000406594,2.32885,1,1,0,364.934,0.878801,0.928048,3.22254
-364.222,0.995825,0.229844,2,7,0,364.648,0.897557,0.965632,3.53256
-364.541,0.989034,0.236764,3,7,0,364.819,0.888207,1.06055,3.50632
-362.809,0.947654,0.310135,3,7,0,365.4,0.824315,0.875675,2.99601
