# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 08:00:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\fjgct8rq.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.6\realisation1\exponential_priors-20240423090039.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-328.036,1,0.0625,1,1,0,389.569,0.700635,0.679906,1.62426
-328.036,0,14.3855,0,1,1,330.848,0.700635,0.679906,1.62426
-328.036,0,2.43117,0,1,1,332.368,0.700635,0.679906,1.62426
-328.036,0.0499333,0.239791,1,3,1,330.015,0.700635,0.679906,1.62426
-328.228,0.981812,0.0214837,4,31,0,329.926,0.785797,0.72086,1.8641
-328.273,0.991227,0.0282796,4,15,0,328.918,0.643773,0.800559,1.52761
-328.182,0.994501,0.0433509,4,15,0,328.933,0.700374,0.701244,1.75515
-329.256,0.640315,0.0725655,3,7,0,331.126,0.656812,0.60686,1.35761
-329.49,0.933219,0.0418921,3,7,0,330.117,0.707018,0.655937,1.34145
-329.137,1,0.0621351,2,3,0,329.599,0.657747,0.623476,1.45818
-329.983,0.553032,0.116131,2,3,0,331.017,0.79888,0.633671,1.50129
-329.946,0.912564,0.0534995,2,3,0,331.542,0.81582,0.617854,1.62883
-331.198,0.63832,0.0774709,1,1,0,331.414,0.850188,0.609088,1.57513
-328.801,1,0.0476784,2,3,0,331.21,0.756608,0.635959,1.55961
-328.567,0.911376,0.0916008,2,3,0,329.169,0.716836,0.653596,1.65479
-329.015,0.209846,0.133235,2,3,0,329.393,0.789079,0.682872,1.6127
-329.671,0.996051,0.0223354,5,31,0,330.721,0.694595,1.23753,2.39908
-330.013,0.949013,0.042526,3,15,0,333.063,0.738447,1.33636,2.78233
-329.875,0.595116,0.0696898,2,3,0,332.389,0.647148,1.21004,2.7085
-331.86,0.987469,0.0391735,3,15,0,332.474,0.912532,1.23622,3.38318
-328.444,0.950689,0.0716998,2,7,0,334.342,0.724027,0.976136,2.58483
-328.444,5.4127e-005,0.116662,1,3,0,330.786,0.724027,0.976136,2.58483
-328.559,0.997023,0.0116098,3,7,0,329.063,0.736056,0.963892,2.61392
-328.159,0.99923,0.0218025,4,23,0,329.858,0.818055,0.872326,2.21668
-327.092,0.998834,0.0407913,3,15,0,329.598,0.681911,0.827097,1.85902
-329.474,0.517693,0.0754562,1,3,0,329.742,0.66912,0.762407,2.00678
-329.436,0.991346,0.0353568,2,7,0,330.264,0.653189,0.784811,2.00756
-328.221,1,0.0634893,1,1,0,329.306,0.667292,0.798124,1.96326
-328.221,4.43233e-008,0.115656,1,3,0,330.207,0.667292,0.798124,1.96326
-327.388,0.999483,0.0131807,4,23,0,329.198,0.763931,0.814787,1.98639
-329.018,0.958281,0.0240544,4,23,0,331.295,0.591862,0.712244,1.49532
-328.989,0.937317,0.0388627,4,19,0,330.547,0.718611,0.819811,2.27235
-329.162,0.986506,0.0588731,4,15,0,330.3,0.715993,0.749989,1.48224
-329.162,0.137903,0.101024,2,3,0,329.984,0.715993,0.749989,1.48224
-328.153,0.998893,0.0181273,3,15,0,330.312,0.625166,0.726113,1.49435
-327.1,0.987707,0.0321545,4,27,0,329.125,0.741901,0.918563,2.18753
-327.002,0.979444,0.0548911,3,15,0,327.299,0.726019,0.88078,2.06607
-327.735,0.797589,0.0909494,3,7,0,329.076,0.759152,0.750141,1.90835
-327.587,0.97607,0.0937144,2,7,0,328.021,0.652618,0.989531,2.11452
-327.587,3.66647e-007,0.152102,1,3,1,332.032,0.652618,0.989531,2.11452
-327.173,0.999914,0.0207419,4,31,0,328.065,0.749917,0.870153,2.0156
-329.656,0.966539,0.035875,4,15,0,331.242,0.709875,1.31459,3.02992
-330.031,0.983393,0.0566274,3,7,0,330.534,0.675767,1.30551,2.92125
-332.375,0.686702,0.0925589,3,7,0,337.246,0.868722,1.49217,4.01993
-329.642,0.982451,0.0724633,3,7,0,333.094,0.779455,1.28078,3.32709
-329.642,0.162608,0.117104,2,3,0,330.534,0.779455,1.28078,3.32709
-327.708,0.98504,0.0257977,4,23,0,330.699,0.723323,1.04559,2.53826
-327.462,0.966518,0.0419574,3,15,0,329.102,0.667553,1.00807,2.14199
-328.392,0.701626,0.0648398,3,15,0,330.065,0.774722,0.684246,1.73161
-329.765,0.966767,0.0531203,3,7,0,329.983,0.546775,0.889605,1.64513
-329.608,0.792276,0.0815029,2,3,0,331.638,0.587332,0.997733,1.76619
-327.781,1,0.0826261,2,3,0,329.644,0.624466,0.93231,1.91321
-327.781,3.53765e-010,0.135758,1,3,1,332.775,0.624466,0.93231,1.91321
-327.101,0.999265,0.0219708,4,23,0,328.082,0.691905,0.951042,2.04684
-328.727,0.888327,0.0361027,2,3,0,328.895,0.706327,1.03775,2.0011
-327.104,0.963752,0.0457598,3,15,0,329.826,0.68115,0.941617,2.04445
-327.412,0.887851,0.068604,2,7,0,328.371,0.649247,0.873067,1.76769
-327.288,0.985457,0.0862346,2,7,0,327.622,0.672982,0.781727,1.74772
-329.634,0.203237,0.134489,2,4,1,331.344,0.572346,0.697687,1.32615
-331.648,0.872495,0.0365555,3,7,0,331.906,0.606222,0.715212,1.2121
-329.247,1,0.0443787,4,15,0,332.612,0.682838,0.678866,1.76898
-329.247,0.269936,0.0711472,1,1,0,332.006,0.682838,0.678866,1.76898
-329.693,0.991315,0.0229716,3,15,0,332.578,0.753399,0.64594,1.40423
-330.751,0.957593,0.0360674,3,7,0,332.319,0.75053,0.540503,1.4603
-332.157,0.666406,0.0523671,4,15,0,335.471,0.593813,0.819182,1.32348
-329.395,0.969807,0.0404781,2,3,0,332.534,0.572922,0.768906,1.40329
-328.054,0.730216,0.0600167,3,15,0,331.657,0.802373,0.878712,2.08422
-327.54,1,0.0532281,2,3,0,328.277,0.769659,0.823086,2.10506
-327.763,0.498053,0.0836102,2,7,0,329.346,0.657259,0.803161,1.87235
-327.627,0.996392,0.0454741,3,7,0,328.41,0.677313,0.844579,2.0274
-327.978,0.706831,0.0705899,2,7,0,331.147,0.71368,1.12224,2.3835
-327.948,0.906439,0.0597028,3,15,0,328.704,0.694645,0.844807,2.1355
-327.374,1,0.0764483,1,1,0,327.891,0.699842,0.868707,2.10943
-327.942,0.211076,0.118365,1,3,0,328.787,0.717684,0.878112,2.2812
-327.994,0.942994,0.0362503,3,15,0,330.159,0.801459,0.804422,2.07743
-328.507,0.97753,0.049926,2,3,0,328.693,0.820203,0.786512,2.1342
-330.524,0.623862,0.0735001,3,7,0,331.295,0.73004,1.09598,2.03233
-333.108,0.877915,0.0528047,3,7,0,334.362,0.916455,0.75885,2.76746
-328.598,0.994289,0.0633722,2,7,0,333.603,0.682209,1.15749,2.31492
-328.598,0.00318601,0.0957728,2,7,0,331.462,0.682209,1.15749,2.31492
-327.907,0.99145,0.0201029,4,31,0,330.914,0.776822,0.778294,2.05718
-327.194,0.997136,0.030251,4,23,0,329.004,0.716298,0.999757,2.2704
-327.363,0.996674,0.0458488,3,7,0,327.432,0.733449,1.02114,2.41133
-327.465,0.912322,0.0691444,3,11,0,328.566,0.749542,0.764319,1.84289
-327.164,0.953839,0.0881101,2,7,0,327.702,0.677983,0.955426,2.05665
-327.164,0.0559583,0.121414,1,1,0,327.555,0.677983,0.955426,2.05665
-328.098,0.965022,0.0294314,3,15,0,328.492,0.68462,0.957924,1.85647
-328.751,0.98564,0.0415157,4,15,0,329.281,0.624404,0.968758,2.18472
-328.709,1,0.0607231,3,11,0,329.491,0.719575,1.11386,2.21758
-327.805,0.956522,0.0909605,2,3,0,328.341,0.783699,0.971609,2.52653
-327.805,0.142778,0.125003,2,3,0,328.262,0.783699,0.971609,2.52653
-327.319,0.969254,0.0368259,4,15,0,328.516,0.675829,0.912782,1.86382
-327.33,0.859546,0.0518863,3,11,0,328.618,0.669375,0.938739,2.10522
-329.07,0.968566,0.0593468,3,7,0,330.563,0.747097,1.15991,3.04379
-328.945,0.810048,0.0830764,4,15,0,330.467,0.725981,0.795871,1.57898
-331.102,0.866105,0.0863897,2,3,0,331.309,0.624624,0.725876,1.25645
-329.027,0.388084,0.0996032,3,7,0,331.277,0.741048,0.618938,1.58945
-327.496,0.987085,0.0475723,3,15,0,330.462,0.752255,0.799859,1.823
-328.284,0.756128,0.0685456,1,1,0,328.398,0.778915,0.791798,1.77841
-330.041,0.814276,0.0645857,2,3,0,330.215,0.719427,0.660875,1.87904
-329.732,0.142415,1.08269,1,3,1,332.179,0.69607,0.813253,1.50878
-329.732,0,3.27535,0,1,1,331,0.69607,0.813253,1.50878
-329.37,1,0.348706,2,7,0,331.03,0.666689,0.871608,2.26611
-328.669,0.97439,0.379446,4,15,0,330.569,0.683563,1.05402,2.59079
-329.465,0.918378,0.490266,3,7,0,330.958,0.860634,0.894987,2.24769
-327.198,1,0.60988,3,7,0,329.179,0.687696,0.95878,2.02157
-327.198,1.27658e-016,1.04109,1,1,0,329.544,0.687696,0.95878,2.02157
-327.166,0.999909,0.0830186,4,19,0,327.366,0.680213,0.96103,2.07254
-327.938,0.973704,0.148457,4,23,0,330.284,0.752133,0.75763,1.99825
-329.271,0.850711,0.251663,2,7,0,331.062,0.706327,0.730216,2.0048
-329.859,0.993132,0.293898,3,15,0,330.001,0.635912,0.889418,2.22272
-329.086,0.888687,0.54314,3,7,0,332.201,0.670163,1.08714,2.63171
-329.086,0.0733499,0.724632,3,7,0,332.298,0.670163,1.08714,2.63171
-328.346,0.999782,0.075142,4,15,0,329.367,0.665352,1.1064,2.46766
-327.225,0.999646,0.143969,4,15,0,328.468,0.733617,0.99513,2.24953
-327.802,0.957436,0.27463,2,7,0,328.163,0.749161,0.941928,2.46511
-328.312,0.986763,0.45728,3,15,0,330.389,0.735167,0.714245,1.55113
-327.163,0.340191,0.828087,1,3,0,328.61,0.714626,0.809841,1.79055
-328.804,0.912357,0.20969,3,15,0,330.751,0.786746,0.743927,1.68111
-328.85,1,0.303397,3,7,0,329.159,0.782364,0.694678,1.93859
