# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 08:04:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\5u80r_hc.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.6\realisation2\exponential_priors-20240423090447.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-307.367,1,0.0625,1,3,0,365.116,0.669091,0.665557,1.57825
-307.367,0,14.3855,0,1,1,310.634,0.669091,0.665557,1.57825
-307.367,0,2.43117,0,1,1,308.056,0.669091,0.665557,1.57825
-307.367,0,0.239791,0,1,1,308.122,0.669091,0.665557,1.57825
-303.557,0.999197,0.0186273,4,23,0,308.26,0.695101,0.968171,1.87158
-303.426,0.999969,0.0256642,3,11,0,303.961,0.700754,0.927772,1.85538
-303.874,0.973896,0.0403033,3,7,0,304.292,0.678565,0.936056,1.77888
-303.324,0.966113,0.0631968,2,3,0,304.033,0.697005,0.888867,1.86468
-303.324,0.0364438,0.101434,3,7,0,303.952,0.697005,0.888867,1.86468
-303.857,0.998304,0.00889935,4,15,0,303.902,0.728484,0.88563,1.8199
-304.252,0.991949,0.0164993,3,7,0,304.704,0.741149,0.863471,1.78665
-307.046,0.968362,0.0304747,3,15,0,308.363,0.847355,0.768078,2.23473
-308.214,0.584411,0.0526958,2,7,0,312.981,0.824042,0.99745,1.9024
-307.84,0.999292,0.0274344,4,15,0,310.243,0.805583,1.10908,2.04341
-304.85,1,0.0527511,1,1,0,307.493,0.779367,1.10932,2.15933
-303.674,0.414181,0.101325,2,5,0,304.138,0.642039,1.14616,2.48079
-302.654,0.982407,0.0319128,3,7,0,307.332,0.770978,1.07758,2.53287
-303.057,0.980599,0.0581275,3,11,0,303.535,0.752227,1.34939,2.89158
-303.017,0.887667,0.104572,2,3,0,303.043,0.729342,1.34288,2.97119
-303.017,0.000899659,0.141177,1,3,1,305.431,0.729342,1.34288,2.97119
-303.285,0.996305,0.0134985,3,15,0,303.471,0.765726,1.36033,2.89133
-303.55,0.977233,0.0254876,3,11,0,306.397,0.826432,1.26734,3.11411
-303.972,0.93007,0.0450708,5,31,0,304.59,0.608075,0.952607,1.81046
-305.314,0.591029,0.0688727,3,7,0,306.67,0.55974,1.06428,1.87508
-304.315,0.981305,0.0393522,3,15,0,307.266,0.595824,1.17109,2.25256
-303.573,0.998666,0.0692593,2,7,0,305.869,0.674968,1.34404,2.60726
-302.632,0.346824,0.126852,1,3,0,303.176,0.724395,1.26314,2.75568
-303.082,0.915522,0.036865,1,3,0,303.592,0.741083,1.30538,2.67423
-305.962,0.85745,0.0533209,3,7,0,306.926,0.899847,1.43592,3.80613
-303.552,0.991768,0.0652953,3,15,0,306.91,0.754442,1.27123,3.16878
-303.552,2.84357e-007,0.115125,1,1,0,304.768,0.754442,1.27123,3.16878
