# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 08:09:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\4n3fhc88.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.6\realisation3\exponential_priors-20240423090949.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-379.744,1,0.0625,2,3,0,446.163,0.809103,0.710947,1.59289
-379.744,0,14.3855,0,1,1,380.041,0.809103,0.710947,1.59289
-379.744,0,2.43117,0,1,1,380.224,0.809103,0.710947,1.59289
-379.744,1.26917e-177,0.239791,1,3,1,382.266,0.809103,0.710947,1.59289
-377.853,0.972929,0.0186273,3,7,0,383.391,0.647712,0.629999,1.70079
-375.898,1,0.023731,4,15,0,378.343,0.708372,0.689421,1.75956
-372.662,0.974175,0.0371923,4,15,0,376.889,0.82768,0.656641,2.43993
-373.02,0.932592,0.0582915,3,7,0,373.539,0.845493,0.646439,2.18427
-371.596,0.980907,0.0841403,3,15,0,373.794,0.952313,0.799431,4.41113
-373.775,0.120016,0.145571,2,6,1,376.019,0.944517,0.575442,3.91147
-371.873,0.997789,0.0168525,5,31,0,374.627,0.842609,0.931706,3.81551
-372.858,0.998984,0.0317057,5,31,0,373.079,0.901341,0.621418,3.43621
-372.311,1,0.0603675,3,7,0,373.05,0.837626,0.708555,2.89424
-371.586,0.475807,0.115595,3,7,0,372.027,0.885556,0.786389,3.1784
-371.767,0.994784,0.043109,4,23,0,372.14,0.860149,0.907372,3.34256
-371.421,0.99566,0.0815805,3,15,0,372.088,0.961473,0.889057,4.84196
-371.421,0.254794,0.153997,2,5,1,372.418,0.961473,0.889057,4.84196
-371.76,0.99973,0.0300444,5,63,0,371.848,0.923849,1.25555,5.54045
-371.474,0.606891,0.0575703,2,3,0,374.804,0.953281,1.15176,5.5314
-372.568,0.977267,0.0335785,3,15,0,372.944,0.93955,1.12397,7.01468
-372.16,0.886902,0.0596934,3,7,0,374.007,0.933438,1.33306,6.69014
-372.16,0.660452,0.0805565,1,3,0,373.512,0.933438,1.33306,6.69014
-372.379,0.662121,0.0557359,2,3,0,375.16,0.941813,1.3174,7.18362
-371.176,1,0.0390183,4,31,0,372.528,0.932593,0.994598,4.59957
-372.001,0.962493,0.0728009,3,15,0,372.53,0.964163,0.698092,3.62912
-374.536,0.0458954,0.120788,2,5,0,376.545,1.07597,0.644692,4.43053
-371.915,0.996369,0.0148123,5,47,0,375.934,1.00568,0.887938,5.01544
-373.188,0.999094,0.027176,5,55,0,374.76,0.91399,0.535841,2.36767
-373.157,0.953268,0.0497358,2,7,0,373.854,0.939769,0.57765,2.46472
-373.452,0.922793,0.0794012,3,7,0,374.934,0.840575,0.779822,2.37018
-372.266,0.755499,0.11571,2,3,0,373.216,0.901735,0.626133,2.88552
-371.899,0.0689588,0.106386,3,11,0,376.311,0.950771,1.02729,6.15957
-371.572,0.99943,0.0154104,6,95,0,372.849,0.871032,0.989338,3.83742
-371.827,0.982559,0.0276721,4,31,0,374.853,0.854105,0.779013,3.0295
-372.555,0.989781,0.0470676,4,15,0,372.924,0.867361,0.609286,2.56356
-372.138,0.883511,0.0808971,2,7,0,373.172,0.890951,0.726509,2.73847
-372.867,0.810346,0.104471,3,7,0,372.961,0.811227,0.667917,2.49546
-372.336,0.571869,0.111181,3,7,0,372.55,0.889579,0.635039,2.58995
-372.234,0.711675,0.0640585,3,15,0,375.703,0.872596,1.05754,5.32351
-372.055,0.930208,0.0531467,3,11,0,373.495,0.944268,1.02497,6.24003
-375.113,0.608397,0.0768472,3,7,0,376.939,1.00307,1.80744,8.3572
-375.285,0.988664,0.0492478,3,7,0,375.939,0.924064,1.68426,9.7509
-372.327,0.966603,0.0819525,3,11,0,378.617,0.95854,0.786414,3.24443
-372.483,0.333339,0.128158,1,3,0,373.605,0.96746,0.631462,3.46156
-371.954,0.971509,0.0420154,5,31,0,373.422,0.919207,0.69273,3.60246
-372.429,0.789582,0.0663664,2,3,0,373.072,0.993334,0.783759,3.63126
-371.599,0.928579,0.0670263,3,11,0,373.017,0.860303,0.876566,3.69723
-371.599,0.343647,0.0945404,1,1,0,372.482,0.860303,0.876566,3.69723
-375.482,0.883679,0.0328081,3,7,0,375.639,1.00678,0.984338,3.49051
-373.514,1,0.0415921,3,7,0,376.049,0.798655,1.01605,4.24568
-371.574,1,0.0691277,2,3,0,372.825,0.866391,1.01917,4.19041
-371.574,0.0223697,0.114104,1,3,0,373.355,0.866391,1.01917,4.19041
-373.052,0.998888,0.0192483,5,63,0,373.806,0.91045,0.544833,2.42804
-372.699,0.946578,0.0317359,4,19,0,374.325,0.802491,0.755856,2.70083
-372.06,0.984924,0.0460977,4,23,0,373.498,0.966113,0.820884,3.54306
-372.394,0.928239,0.072725,3,15,0,373.009,0.86237,1.07385,5.26496
-372.497,0.907451,0.100304,3,15,0,373.09,0.955023,0.617459,3.09428
-372.497,0.155652,0.131467,1,3,0,373.025,0.955023,0.617459,3.09428
-371.622,0.997584,0.031877,4,31,0,374.236,0.984036,0.881786,4.91061
-372.294,0.834384,0.0512375,5,31,0,374.6,0.86765,0.675041,3.12848
-372.196,0.991571,0.0570563,2,7,0,373.723,0.886769,0.837521,2.96398
-374.037,0.300964,0.089658,3,15,0,376.429,0.961374,1.1352,3.94825
-372.352,0.988882,0.0309392,2,7,0,374.902,0.845678,1.12329,4.01762
-371.897,0.966667,0.0482379,2,3,0,372.827,0.86993,1.12017,4.25477
-374.749,0.860386,0.0713068,3,15,0,379.073,1.0654,1.07455,9.05196
-374.419,0.937388,0.0834937,2,3,0,375.235,0.962576,1.12709,8.80328
-375.523,0.153372,0.115039,3,14,1,375.808,1.04914,1.06303,10.0126
-374.574,0.999965,0.0298214,4,15,0,376.457,0.931779,1.78943,7.70509
-373.617,0.938074,0.0469887,3,7,0,375.271,0.926902,1.5938,8.00497
-373.987,0.966923,0.0646732,3,7,0,374.199,1.01552,1.59118,8.54625
-373.183,0.984477,0.0942133,2,3,0,373.854,0.958395,1.51357,8.09734
-373.183,0.00120714,0.141765,1,1,0,373.78,0.958395,1.51357,8.09734
-372.429,0.923421,0.0277547,3,15,0,376.638,0.897482,1.30577,6.44002
-371.676,0.986816,0.0368988,4,15,0,373.296,0.879523,1.04065,4.89725
-371.699,0.952926,0.0556855,2,3,0,372.181,0.973912,1.01666,4.59469
-371.621,1,0.0780899,3,9,0,371.709,0.971411,0.94776,4.33346
-371.621,5.99508e-008,0.120048,1,1,0,373.845,0.971411,0.94776,4.33346
-373.869,0.986508,0.0244413,5,39,0,376.967,0.874157,0.629308,2.03965
-372.963,0.999134,0.0366164,3,15,0,374.719,0.820844,0.665458,2.23044
-374.007,0.971292,0.0560265,4,15,0,374.569,0.877524,0.478928,2.22409
-374.007,0.267991,0.0807651,1,1,0,375.476,0.877524,0.478928,2.22409
-372.819,0.999283,0.0288606,5,31,0,375.259,0.868974,0.578702,2.49439
-374.27,0.909743,0.0439366,4,15,0,375.56,0.829018,0.497854,2.11185
-375.618,0.988638,0.0558953,4,31,0,376.916,1.04161,1.70563,10.7472
-374.536,0.865526,0.0827387,3,7,0,375.928,0.963413,1.75098,9.18881
-374.385,0.763711,0.0960804,2,5,0,377.53,0.994108,1.06518,8.84372
-371.511,0.935366,0.0915149,3,7,0,375.859,0.923976,1.17079,5.62186
-371.511,0.0280309,0.121303,1,1,0,371.967,0.923976,1.17079,5.62186
-372.426,0.995175,0.0282301,5,63,0,373.229,0.882671,1.20744,4.348
-372.722,0.999912,0.0420448,4,27,0,373.006,0.94735,0.636476,3.89473
-372.132,0.997504,0.0629543,3,7,0,373.269,0.933607,0.672777,3.67336
-372.243,0.998128,0.0934914,2,7,0,372.425,0.961602,0.674051,3.87884
-372.243,5.19696e-016,0.138511,1,1,0,375.266,0.961602,0.674051,3.87884
-371.252,0.981914,0.0315472,5,31,0,373.552,0.909608,0.865588,4.08416
-371.283,0.993365,0.0453973,4,19,0,371.486,0.954622,0.945299,4.49258
-372.456,0.527809,0.0665181,3,15,0,376.151,1.01397,0.87768,5.89355
-372.757,0.924193,0.0410794,2,3,0,373.293,0.922943,0.895837,5.81762
-372.162,0.939371,0.052837,2,3,0,373.261,1.0092,0.90389,5.71133
-372.943,0.549586,0.0697245,3,15,0,375.102,1.03768,0.807074,4.32272
-373.466,0.995155,0.0450557,5,31,0,375.055,1.06929,1.05208,6.15148
-376.456,0.274917,0.525479,2,3,0,376.829,1.09854,1.21783,5.51679
-376.456,5.53229e-084,2.02272,1,1,0,377.532,1.09854,1.21783,5.51679
-371.273,0.998784,0.231284,3,15,0,376.805,0.90041,0.960822,4.01889
-371.289,0.983489,0.261296,2,7,0,371.485,0.911731,0.940588,3.9395
-372.047,0.987801,0.355367,3,11,0,372.436,1.01563,1.01052,5.57782
-371.21,0.358483,0.553295,2,5,0,372.538,0.939835,1.02413,4.8149
-371.337,0.995956,0.134733,3,7,0,371.419,0.933929,1.01341,5.27972
-371.971,0.92269,0.233334,4,23,0,373.247,0.872285,0.807817,2.92953
-375.022,0.594034,0.332947,3,7,0,376.656,1.02984,0.492827,2.78968
-372.915,0.972737,0.171438,4,15,0,376.28,0.90814,0.989945,3.34577
-372.697,1,0.294628,2,7,0,373.46,0.954044,0.754783,5.10114
-371.513,0.668771,0.555973,2,5,0,372.047,0.970237,0.925401,4.36477
-372.211,0.98549,0.370263,4,15,0,372.794,0.836506,0.972237,3.38232
-372.211,0.0063347,0.67015,1,1,0,372.724,0.836506,0.972237,3.38232
-372.021,0.995609,0.0570611,3,15,0,373.211,0.837106,0.957728,3.48511
-372.76,0.998804,0.107631,5,31,0,373.848,1.03897,1.05929,6.76956
-373.673,0.981585,0.203843,3,7,0,374.279,1.07683,0.957888,5.73292
-372.387,0.97436,0.363575,4,15,0,376.189,0.847611,1.06981,4.87894
-371.839,0.21405,0.629609,3,7,0,372.543,0.88484,1.14759,4.43332
-371.74,0.997316,0.110022,3,7,0,372.113,0.878182,1.11556,4.35947
-372.076,0.958613,0.204536,3,15,0,373.01,0.886025,0.731374,3.70418
-373.297,0.836548,0.335903,2,3,0,373.859,0.872668,0.917533,2.87601
-372.435,0.895698,0.382684,2,3,0,373.741,0.887594,0.9163,3.13505
-373.279,0.660874,0.516799,3,7,0,373.516,0.85547,1.21715,3.98103
-373.279,0.0174303,0.35302,2,3,0,378.633,0.85547,1.21715,3.98103
-372.869,0.999967,0.0386162,6,127,0,374.133,0.845484,0.721535,3.51133
-372.7,0.998617,0.0709529,5,63,0,374.75,0.922668,1.15173,6.95918
-372.257,0.998664,0.128565,4,27,0,374.462,0.904446,0.882462,3.15608
-371.267,1,0.230688,2,7,0,372.279,0.913433,0.84243,3.79584
-375.316,0.808461,0.411426,2,7,0,375.748,0.870748,1.60075,8.32638
-372.973,0.509504,0.430103,2,3,0,376.52,0.889266,1.45786,6.48377
-371.289,0.998514,0.199482,3,15,0,373.399,0.952806,1.0265,5.24377
-373.424,0.892508,0.349765,2,5,0,374.992,0.946669,1.51763,8.34219
-371.904,1,0.45779,3,7,0,373.655,0.912391,0.680586,3.2892
-371.904,0.055277,0.793216,1,2,1,374.711,0.912391,0.680586,3.2892
-371.777,0.999746,0.113633,5,31,0,372.159,0.940706,0.737616,3.31771
-373.388,0.89935,0.197195,2,3,0,373.577,0.934196,0.77985,2.74008
-373.341,0.995226,0.261616,4,15,0,374.5,0.888107,1.13405,3.67823
-371.848,0.880635,0.442033,2,7,0,373.884,0.914953,1.16932,4.61636
-371.831,0.340868,0.553212,2,7,0,373.202,0.969087,0.741024,3.92264
-373.577,0.90318,0.176115,3,15,0,375.552,0.922783,0.880357,6.22808
-373.034,0.986489,0.23403,3,7,0,373.722,0.917378,0.803512,5.28765
-371.69,0.629552,0.381128,2,7,0,374.111,0.9008,0.987976,3.75355
-371.433,0.998595,0.254779,4,15,0,374.106,0.94218,1.00224,5.44848
-371.457,0.974576,0.424114,2,7,0,372.005,0.967582,0.866249,4.29751
-371.294,0.20095,0.660959,2,7,0,371.698,0.940351,0.928221,4.1457
-371.17,0.993448,0.157143,3,15,0,371.734,0.93382,0.930631,4.36728
-373.205,0.935762,0.256414,4,15,0,373.971,0.847882,0.60145,2.79704
-373.251,0.712426,0.362055,2,3,0,374.727,0.850138,0.549024,2.23047
-373.854,0.984044,0.29949,4,15,0,374.07,0.969553,1.62999,8.74665
-373.968,0.305438,0.471078,3,7,0,376.294,1.01242,0.940128,3.74945
-372.494,0.985063,0.15035,4,15,0,375.428,0.921813,1.42988,6.33962
-371.91,0.995666,0.236668,4,15,0,373.211,0.890518,1.11173,5.56141
-371.278,0.954192,0.379511,3,15,0,372.241,0.898231,0.861181,3.75815
-372.902,0.117945,0.549903,2,7,0,373.691,0.863601,0.692345,3.59518
-372.59,0.987399,0.117636,4,31,0,375.774,0.986538,1.31596,7.65992
