# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 08:14:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\usczlfyz.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.6\realisation4\exponential_priors-20240423091403.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-384.311,1,0.0625,1,1,0,450.669,0.69502,0.683552,1.46841
-384.311,0,14.3855,0,1,1,386.642,0.69502,0.683552,1.46841
-384.311,0,2.43117,0,1,1,385.873,0.69502,0.683552,1.46841
-384.311,6.41365e-076,0.239791,1,2,1,385.751,0.69502,0.683552,1.46841
-381.277,1,0.0186273,4,15,0,385.006,0.717715,0.626121,1.65174
-381.961,0.989943,0.0257257,4,31,0,383.414,0.717486,0.614026,1.50307
-383.993,0.986968,0.0391811,5,31,0,385.171,1.00339,0.544046,4.26036
-381.389,0.998158,0.0639585,3,11,0,384.909,0.867124,0.741692,3.33741
-381.389,0.0254937,0.113547,2,7,0,383.542,0.867124,0.741692,3.33741
-381.75,0.999224,0.0096287,6,63,0,382.04,0.923961,0.67666,3.51387
-381.175,0.999178,0.0179055,4,31,0,382.075,0.843597,0.755874,3.03151
-381.636,0.922132,0.0338326,3,11,0,383.474,0.903567,0.753273,3.10404
-381.283,1,0.0505601,4,15,0,381.827,0.868745,0.695693,3.23803
-381.138,0.445052,0.0968911,3,15,0,383.673,0.886978,0.456375,2.25376
-380.692,0.98895,0.0328615,3,15,0,382.576,0.782387,0.636474,1.9092
-381.257,0.891476,0.0611786,3,11,0,382.154,0.704946,0.629591,1.85921
-380.308,0.630087,0.083979,3,7,0,382.235,0.83029,0.473274,1.84024
-381.124,0.867942,0.0517797,4,23,0,383.328,0.783117,0.490915,2.03998
-380.19,0.915552,0.0662693,2,7,0,381.501,0.81403,0.507575,1.76223
-380.498,0.664873,0.0976464,3,9,0,380.894,0.803347,0.594172,1.86394
-385.636,0.479026,0.0677982,2,3,0,386.347,0.859617,0.682297,1.73766
-389.988,0.892969,0.0273665,3,7,0,391.64,0.588852,0.496416,1.72982
-380.768,1,0.0377785,2,7,0,389.259,0.716399,0.52989,1.63417
-381.115,0.994445,0.0708471,3,15,0,381.394,0.910062,0.598826,2.63704
-381.115,0.225426,0.129428,1,3,0,381.899,0.910062,0.598826,2.63704
-381.306,0.996647,0.0260132,3,7,0,381.459,0.833644,0.593001,2.79841
-383.644,0.935628,0.0477699,4,15,0,384.188,0.73838,0.864888,3.1191
-382.167,0.756784,0.0731653,3,15,0,387.882,0.768355,0.342011,1.39502
-381.523,1,0.0676206,4,15,0,382.086,0.800939,0.346222,1.41602
-381.523,1.80695e-011,0.122508,1,1,0,384.631,0.800939,0.346222,1.41602
-381.8,0.999928,0.0142103,6,63,0,382.316,0.655133,0.514736,1.37126
-380.421,0.998027,0.0258199,3,15,0,383.73,0.7552,0.466356,1.44342
-380.671,0.952072,0.0462186,4,31,0,382.249,0.773999,0.452712,1.7021
-382.615,0.98673,0.0724805,3,11,0,383.282,0.711145,0.31406,1.00201
-382.03,0.415497,0.123693,2,3,0,382.446,0.722187,0.3351,0.999268
-380.266,0.99919,0.046605,4,15,0,382.467,0.832852,0.486705,1.81616
-380.326,0.93308,0.08174,2,7,0,381.592,0.754623,0.504906,1.65385
-380.528,0.245326,0.119748,2,7,1,384.077,0.769059,0.642695,2.07366
-380.716,0.993581,0.0298066,3,7,0,380.945,0.762544,0.668004,2.09173
-380.6,0.997182,0.0510281,4,23,0,381.037,0.807095,0.413609,1.58775
-382.22,0.449635,0.0874334,3,15,0,386.273,0.782836,0.304325,1.00312
-383.672,0.922161,0.0375738,4,23,0,385.286,0.678178,0.492719,1.06233
-383.5,1,0.0530802,4,15,0,385.472,0.979529,0.345495,2.09373
-380.227,1,0.0904429,3,7,0,383.157,0.805032,0.583815,1.9722
-380.318,0.494679,0.152905,1,3,0,380.711,0.800018,0.507901,1.94132
-381.418,0.984164,0.0747883,3,15,0,382.213,0.742826,0.732398,2.12754
-381.418,0.000468517,0.12091,1,1,0,382.771,0.742826,0.732398,2.12754
-381.883,0.997447,0.0182168,3,7,0,382.014,0.715755,0.743709,2.0893
-382.22,0.997974,0.0304841,3,7,0,382.618,0.711122,0.767306,2.09733
-381.129,0.997329,0.0507112,4,19,0,382.976,0.838211,0.747305,2.59586
-380.778,0.814875,0.0836441,4,15,0,381.856,0.854384,0.412923,1.60809
-381.206,0.953576,0.0893893,3,15,0,381.658,0.819917,0.351681,1.37035
-381.206,5.47374e-006,0.131769,2,3,0,384.75,0.819917,0.351681,1.37035
-380.802,0.994551,0.0213295,5,47,0,383.189,0.871571,0.627225,2.33921
-381.699,0.941013,0.0346781,3,7,0,382.815,0.922539,0.657674,2.67753
-380.298,0.997965,0.0495819,4,23,0,382.795,0.77457,0.573262,1.79212
-380.151,0.961206,0.0802906,2,5,0,381.289,0.814415,0.515549,1.87031
-381.211,0.217546,0.118952,1,3,0,381.634,0.888094,0.52432,1.90934
-380.449,0.998557,0.0331519,4,27,0,382.019,0.819143,0.612308,2.39225
-380.596,0.962179,0.0533896,2,3,0,380.876,0.858086,0.639252,2.4605
-380.409,0.916621,0.0788671,3,15,0,382.427,0.801799,0.44739,1.49753
-380.849,0.41397,0.104891,3,7,0,381.341,0.804744,0.478537,2.0297
-381.321,0.964283,0.0463026,4,25,0,382.519,0.731799,0.429247,1.16148
-380.314,1,0.0682717,4,15,0,381.795,0.773447,0.472811,1.64263
-380.627,0.335597,0.108248,3,15,0,381.851,0.80069,0.682182,2.3978
-381.772,0.987194,0.0409186,4,15,0,381.955,0.865648,0.73281,3.58979
-382.283,0.840578,0.0629636,3,7,0,382.814,0.952943,0.718149,3.46703
-381.719,1,0.0705903,1,1,0,382.097,0.918801,0.720486,3.51497
-381.719,0.0110318,0.110711,3,15,0,383.448,0.918801,0.720486,3.51497
-381.94,0.994441,0.0215893,5,31,0,382.402,0.948847,0.632914,3.24097
-382.81,0.976079,0.0335107,3,7,0,383.153,0.985178,0.631638,3.4014
-380.811,0.997325,0.049824,4,31,0,384.373,0.760079,0.49075,1.82718
-381.211,0.982939,0.077075,4,15,0,384.084,0.862696,0.383222,1.46564
-384.587,0.23715,0.115211,3,7,0,385.186,0.709414,0.552267,1.17129
-382.177,1,0.0372253,2,3,0,384.719,0.642078,0.522264,1.26945
-381.044,1,0.0575763,2,3,0,382.233,0.717707,0.474713,1.27612
-381.327,0.611535,0.0886493,2,3,0,382.796,0.714964,0.444343,1.48958
-381.369,0.925245,0.0620659,3,11,0,383.018,0.837739,0.434594,2.10106
-381.548,0.984163,0.0818445,3,11,0,382.348,0.814647,0.392003,1.79286
-381.552,0.143215,0.121061,2,7,0,386.673,0.763829,0.345733,1.25641
-381.39,0.965668,0.0335273,4,23,0,383.335,0.781725,0.416704,1.742
-381.665,0.992499,0.0478255,4,15,0,383.821,0.804664,0.593691,1.64955
-381,0.956119,0.0716689,2,7,0,382.391,0.827085,0.543833,1.67454
-383.119,0.512219,0.099617,1,3,0,385.19,0.734782,0.625889,1.45444
-382.83,0.990526,0.0580785,3,7,0,384.147,0.635169,0.637691,1.55699
-381.17,0.926019,0.0861044,2,3,0,383.012,0.740604,0.576272,1.52368
-381.394,0.998125,0.112276,2,3,0,381.443,0.677435,0.55748,1.53841
-381.394,7.81476e-049,0.167757,1,1,0,384.611,0.677435,0.55748,1.53841
-381.442,0.992411,0.0369467,3,7,0,381.724,0.733584,0.56982,1.45955
-383.175,0.953038,0.0546716,3,7,0,383.849,0.606991,0.553283,1.3224
-381.852,0.941055,0.0748071,3,15,0,385.394,0.876884,0.469243,2.61951
-381.217,0.925616,0.0997813,2,3,0,381.753,0.884896,0.486345,2.47873
-381.697,0.308263,0.128947,2,5,0,382.221,0.890332,0.507012,2.82291
-381.83,0.981413,0.0523255,1,1,0,381.842,0.884264,0.501888,2.83047
-382.027,0.768207,0.0750639,3,11,0,384.131,0.895317,0.394383,2.21572
-381.444,0.871921,0.072255,3,15,0,383.75,0.687334,0.421656,1.19362
-380.769,0.813306,0.0842707,2,7,0,382.675,0.831947,0.410564,1.45564
-381.34,0.947101,0.0881101,3,15,0,383.536,0.892367,0.481931,2.51658
-381.34,0.100218,0.11768,1,3,0,383.959,0.892367,0.481931,2.51658
-382.281,0.979834,0.0334067,4,15,0,382.945,0.866379,0.402425,2.27545
-381.135,0.991654,0.37938,3,15,0,382.509,0.8803,0.41252,1.63586
-381.135,0,5.37538,0,1,1,385.441,0.8803,0.41252,1.63586
-382.796,0.114618,0.904369,2,7,0,383.794,0.978074,0.509916,2.41109
-382.188,0.999046,0.120751,5,47,0,384.853,0.837915,0.352452,1.77626
-381.194,0.998378,0.166244,4,23,0,382.857,0.802431,0.440811,1.31649
-381.793,0.99727,0.262135,4,23,0,382.734,0.865893,0.755401,2.53832
-381.633,0.905661,0.446204,3,7,0,382.657,0.929749,0.65597,3.23107
-382.334,0.940896,0.598341,3,7,0,382.851,0.753676,0.79216,2.13133
-382.714,0.333334,0.915184,1,3,0,386.121,0.916808,0.842175,3.22362
-381.684,0.999498,0.208214,4,31,0,383.602,0.904054,0.561447,3.1259
-383.216,0.842102,0.389711,2,3,0,383.616,0.867416,0.533254,3.40361
-380.587,0.889574,0.446293,2,7,0,385.051,0.813735,0.678563,2.42877
-386.045,0.414221,0.59556,3,15,0,388.102,1.05814,0.91686,7.26172
-380.59,0.999658,0.17914,4,31,0,387.626,0.839792,0.635348,2.59246
-380.626,0.9822,0.3395,4,15,0,381.242,0.801091,0.531824,1.61855
-381.171,0.892504,0.606205,3,7,0,381.84,0.711272,0.415175,1.18511
-381.171,0.00138108,0.816111,3,7,0,384.351,0.711272,0.415175,1.18511
-382.866,0.999223,0.072011,5,47,0,384.525,0.840251,0.270292,1.04721
-381.834,0.99217,0.135817,4,23,0,383.593,0.781495,0.315866,1.1186
-380.825,0.999254,0.24857,4,15,0,382.929,0.705926,0.512229,1.46698
-380.223,0.974239,0.460442,2,7,0,381.626,0.807198,0.472364,1.67296
-380.223,0.0540506,0.784428,3,7,0,381.724,0.807198,0.472364,1.67296
-380.834,0.995235,0.089257,4,31,0,381.207,0.805268,0.510628,1.53539
-381.151,0.999807,0.162534,4,23,0,382.012,0.818378,0.365799,1.50237
-380.801,1,0.296953,4,15,0,381.44,0.749688,0.406101,1.32802
-380.801,0.77174,0.537409,1,1,0,381.145,0.749688,0.406101,1.32802
-380.246,0.996287,0.504398,3,7,0,381.069,0.76316,0.508795,1.6243
-380.246,0.0128561,0.890532,3,7,0,380.831,0.76316,0.508795,1.6243
-380.958,0.992594,0.100672,4,31,0,381.341,0.822826,0.50595,1.56126
