# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 08:17:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\yeopz7fr.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.6\realisation5\exponential_priors-20240423091713.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-364.791,1,0.0625,1,1,0,435.65,0.75783,0.634907,1.53852
-364.791,0,14.3855,0,1,1,365.596,0.75783,0.634907,1.53852
-364.791,0,2.43117,0,1,1,366.432,0.75783,0.634907,1.53852
-364.791,4.02123e-109,0.239791,1,1,0,365.121,0.75783,0.634907,1.53852
-364.233,0.998826,0.0186273,3,7,0,365.129,0.753023,0.628124,1.56401
-363.345,1,0.0256358,2,3,0,364.341,0.714093,0.630633,1.60037
-364.595,0.9207,0.0402614,4,15,0,365.183,0.787194,0.607072,1.58546
-365.511,0.929028,0.0534963,2,3,0,365.78,0.80039,0.626305,1.57668
-363.16,0.993252,0.0762956,3,7,0,364.796,0.733613,0.574801,1.74316
-363.16,0.148956,0.137182,1,3,0,367.321,0.733613,0.574801,1.74316
-361.784,0.998594,0.0174018,5,47,0,365.399,0.783444,0.796856,2.52021
-361.903,0.966803,0.0328213,3,15,0,362.775,0.732536,0.851021,2.30958
-362.073,0.956923,0.0564628,2,7,0,362.261,0.71973,0.805812,2.43372
-361.942,0.936546,0.094487,4,15,0,363.19,0.770294,0.782694,2.23318
-362.689,0.0917711,0.148386,1,3,1,364.966,0.832964,0.901763,2.69406
-362.055,0.998624,0.0169793,3,15,0,363.122,0.783973,0.915775,2.61386
-362.014,0.94485,0.0326987,3,15,0,364.261,0.770709,0.73636,2.43327
-362.446,0.907577,0.0530949,3,7,0,362.985,0.81252,0.845418,2.44699
-362.673,0.8136,0.0766099,2,3,0,363.258,0.717065,0.785221,2.54831
-364.045,0.82168,0.0829888,3,7,0,364.441,0.818548,0.828072,2.15492
-363.881,0.425894,0.092087,3,15,0,366.386,0.631612,0.687438,1.78604
-364.032,0.98262,0.031686,2,3,0,364.361,0.630277,0.687456,1.82336
-365.008,0.986997,0.0568189,2,3,0,365.737,0.627294,0.723413,1.52138
-364.616,0.764748,0.102246,2,7,0,365.998,0.650448,0.63808,1.43065
-363.315,0.280255,0.096055,3,7,0,370.614,0.649145,0.721496,1.74594
-362.508,0.994006,0.0226375,4,31,0,365.74,0.72572,0.646195,1.83796
-362.999,0.988505,0.0413098,3,7,0,363.153,0.783273,0.584871,1.88384
-363.881,0.760194,0.073492,3,7,0,365.236,0.77855,0.650699,1.69406
-362.914,0.998908,0.068568,3,7,0,363.969,0.804332,0.60518,2.01001
-362.645,0.678473,0.123836,1,3,0,364.994,0.668573,0.778384,2.00372
-363.624,0.938971,0.0920871,3,11,0,367.501,0.81568,1.13666,4.19279
-363.624,1.52389e-010,0.139619,1,1,0,365.301,0.81568,1.13666,4.19279
-362.062,0.998663,0.0167585,5,31,0,364.099,0.728062,0.940787,2.72153
-362.32,0.971593,0.0300107,3,7,0,363.32,0.741102,0.989633,2.62799
-363.183,0.92774,0.0495507,3,15,0,364.327,0.710855,1.11278,2.89098
-363.757,0.762621,0.0723164,2,3,0,364.517,0.796448,1.10836,2.88529
-362.544,0.628735,0.0681899,2,5,0,367.16,0.825959,0.797033,3.00041
-362.843,0.893886,0.0455032,2,3,0,363.695,0.866021,0.826591,2.93177
-362.353,0.976924,0.0603641,3,15,0,363.559,0.730099,0.835876,2.12376
-365.418,0.586467,0.0985158,3,7,0,366.436,0.879114,0.496005,2.00416
-363.917,0.986789,0.0594264,4,15,0,365.467,0.860719,0.866711,3.80597
-362.145,0.997183,0.0986765,3,7,0,363.849,0.736276,0.977548,2.67692
-361.758,0.619034,0.166876,1,3,0,362.099,0.759911,0.863291,2.65791
-361.758,0.087331,0.109854,2,7,0,363.134,0.759911,0.863291,2.65791
-361.985,0.998514,0.0197006,5,47,0,364.036,0.774617,0.909129,2.96687
-364.33,0.97708,0.0334164,3,7,0,365.056,0.719331,1.17685,2.77999
-361.755,0.998354,0.0534056,4,19,0,364.844,0.750317,0.841419,2.55684
-362.399,0.57934,0.0892352,3,11,0,363.147,0.70577,0.697201,2.04046
