# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 08:20:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\qkfh82s8.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.6\realisation6\exponential_priors-20240423092046.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-333.059,1,0.0625,1,1,0,384.675,0.719643,0.660629,1.42093
-333.059,0,14.3855,0,1,1,335.251,0.719643,0.660629,1.42093
-333.059,0,2.43117,0,1,1,336.158,0.719643,0.660629,1.42093
-333.059,9.74897e-014,0.239791,1,1,0,333.389,0.719643,0.660629,1.42093
-334.859,0.990218,0.0186273,5,47,0,335.674,0.753999,0.519276,1.07669
-336.156,0.933806,0.0249863,2,3,0,336.247,0.773956,0.538784,1.05843
-332.861,0.999646,0.03202,4,23,0,337.984,0.866996,0.802666,2.16536
-334.382,0.980118,0.054191,4,15,0,334.855,0.849025,1.05553,2.67615
-332.872,0.300215,0.0907585,3,7,0,336.096,0.796289,0.807773,2.08184
-332.495,0.999877,0.0183054,4,31,0,333.398,0.827147,0.77279,1.94645
-333.13,0.988708,0.0341414,4,15,0,333.826,0.868278,0.837081,2.32078
-333.076,0.86473,0.0623664,2,3,0,333.7,0.835524,0.827833,2.26203
-333.512,0.825827,0.0776456,2,3,0,333.842,0.896544,0.885653,2.31236
-333.112,0.125511,0.0860222,3,11,0,336.955,0.799294,0.745781,2.01682
-332.721,1,0.0107793,4,15,0,333.197,0.82195,0.794089,1.85122
-334.033,0.974531,0.0209134,4,23,0,335.399,0.803896,0.845355,1.75775
-335.118,0.973596,0.0373432,3,7,0,336.078,0.776898,0.882651,1.71419
-333.498,0.65602,0.0661357,3,11,0,337.113,0.854797,0.565038,1.48119
-333.12,0.961762,0.044448,4,15,0,334.172,0.877322,0.737586,1.83262
