# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 08:25:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\vxmvh28s.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.6\realisation7\exponential_priors-20240423092535.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-347.306,1,0.0625,2,3,0,409.21,0.768204,0.619993,1.49433
-347.306,0,14.3855,0,1,1,348.493,0.768204,0.619993,1.49433
-347.306,0,2.43117,0,1,1,348.252,0.768204,0.619993,1.49433
-347.306,8.88277e-037,0.239791,1,1,0,348.429,0.768204,0.619993,1.49433
-346.936,0.999944,0.0186273,4,15,0,347.353,0.765905,0.625746,1.64152
-347.272,0.986082,0.0257214,3,15,0,347.56,0.742842,0.633434,1.69909
-347.13,0.996111,0.038714,3,15,0,348.377,0.776791,0.618888,1.75341
-346.675,0.98899,0.0650074,3,15,0,348.457,0.770957,0.683176,1.85613
-346.675,2.11338e-005,0.112149,1,3,0,349.22,0.770957,0.683176,1.85613
-347.366,0.996933,0.00877458,4,31,0,348.222,0.707939,0.696685,1.72466
-348.551,0.995364,0.0161974,4,15,0,349.195,0.664398,0.760679,1.58078
-347.324,0.980558,0.030242,3,15,0,351.906,0.882356,0.677024,1.90112
-347.612,0.930027,0.0543422,2,7,0,349.081,0.69921,0.662953,1.61323
-347.203,0.970493,0.0835984,3,7,0,348.533,0.794143,0.586022,1.6553
-347.203,8.96235e-019,0.146043,1,1,0,349.117,0.794143,0.586022,1.6553
-347.494,1,0.0125766,5,31,0,347.673,0.741417,0.590508,1.44207
-349.091,0.985279,0.0243733,4,31,0,350.504,0.732432,0.50614,1.15847
-347.003,0.996944,0.0448752,3,15,0,350.878,0.795916,0.606619,1.70409
-349.409,0.426532,0.0850008,4,15,0,350.438,0.736727,0.60608,1.25765
-348.629,0.993223,0.0287382,3,15,0,350.608,0.823045,0.515053,1.6798
-350.484,0.945436,0.0536465,3,15,0,351.403,0.880772,0.472303,1.24848
-351.24,0.495825,0.0861509,1,3,0,353.125,0.86956,0.517271,1.2328
-346.825,0.99831,0.0367667,4,31,0,352.564,0.78766,0.664221,1.90494
-346.435,0.762016,0.0686276,2,7,0,347.98,0.818099,0.709944,2.01317
-347.307,0.79248,0.0641844,2,5,0,347.592,0.755081,0.708477,2.02823
-346.497,0.91711,0.0655877,2,3,0,347.64,0.763429,0.757094,1.89975
-348.399,0.474605,0.0953913,3,7,0,348.499,0.946123,0.672967,2.11229
-348.905,0.979733,0.0397874,3,15,0,349.463,0.820264,0.668818,2.39392
-349.753,1,0.0687723,2,7,0,350.281,0.990927,0.628412,2.18952
-349.753,0.0736076,0.124577,1,3,0,352.31,0.990927,0.628412,2.18952
-349.812,0.997224,0.0176751,5,47,0,351.233,0.986497,0.631697,2.07097
-348.32,0.998996,0.031823,3,15,0,351.396,0.918447,0.578785,1.93143
-349.342,0.930089,0.0570155,3,7,0,349.556,0.848071,0.538388,1.96918
-349.184,0.898044,0.0841684,3,7,0,350.213,0.683813,0.998289,2.09011
-346.497,0.810062,0.113414,2,3,0,349.623,0.830322,0.8706,2.4795
-347.911,0.163432,0.120675,1,3,0,349.919,0.872686,1.07792,2.90139
-348.709,0.999518,0.0237414,3,15,0,348.904,0.873538,0.985704,3.50909
-350.611,0.875567,0.0417062,2,3,0,351.205,1.0061,1.08256,3.56253
-350.35,0.996873,0.0528194,2,7,0,353.404,0.892054,1.2308,4.37371
-348.481,1,0.0907917,2,3,0,350.584,0.861357,1.08817,3.5527
-348.481,2.1301e-022,0.156002,1,1,0,351.114,0.861357,1.08817,3.5527
-347.606,0.998329,0.021584,4,31,0,349.013,0.915181,0.943082,2.93089
-347.152,0.988462,0.0370169,4,15,0,348.339,0.894211,0.879295,2.53572
-346.85,0.993787,0.061458,3,15,0,348.419,0.854802,0.678202,2.09858
-346.85,0.197747,0.102612,2,7,0,347.64,0.854802,0.678202,2.09858
-347.023,0.997977,0.0243934,4,15,0,347.375,0.885577,0.70394,2.21644
-346.525,0.999677,0.0410998,3,7,0,347.227,0.769195,0.843608,2.17148
-346.558,0.899082,0.0690173,2,7,0,347.064,0.85097,0.817334,2.24292
-346.424,0.999303,0.0904783,3,15,0,346.897,0.804656,0.71759,2.01418
-346.424,0.00414233,0.149882,1,3,0,347.914,0.804656,0.71759,2.01418
-347.101,0.999587,0.0236194,5,47,0,347.381,0.75789,0.618506,1.5432
-348.783,0.949492,0.0392262,3,7,0,349.027,0.670615,0.706353,1.43826
-347.975,0.61998,0.0575855,3,15,0,352.283,0.809409,0.524956,1.40745
-350.54,0.919632,0.0392718,3,15,0,352.323,0.970624,0.517371,2.08725
-349.313,0.95468,0.0535483,3,7,0,351.092,0.953713,0.560189,2.03158
-349.546,0.917752,0.0787713,3,7,0,352.44,0.792996,1.20433,3.54442
-349.546,0.160546,0.106037,2,3,0,354.79,0.792996,1.20433,3.54442
-349.383,0.999839,0.0258087,4,15,0,350.309,0.785737,1.20755,3.43441
-351.428,0.833328,0.0418752,3,9,0,354.32,0.781182,1.17477,3.84806
-349.738,0.935842,0.0466155,3,7,0,352.185,0.817831,1.25421,3.77955
-348.923,0.916129,0.0650142,3,7,0,350.626,0.93762,1.07496,3.12045
-346.892,0.422137,0.086472,2,3,0,350.549,0.855997,0.916778,2.77457
-353.335,0.892056,0.0389036,3,7,0,354.269,0.689819,1.377,2.82281
-350.267,1,0.0490738,3,7,0,353.268,0.722361,1.24238,2.95743
-351.787,0.784197,0.077956,3,7,0,352.29,0.675775,1.19384,2.93197
-349.74,1,0.0774489,2,3,0,352.271,0.881267,1.18947,2.936
-349.74,0.000508077,0.122046,2,3,0,350.471,0.881267,1.18947,2.936
-347.543,0.994745,0.0228517,4,15,0,351.191,0.777258,1.05402,2.68002
