# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 08:29:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\gqw5mlmq.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.6\realisation8\exponential_priors-20240423092951.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-369.063,1,0.0625,2,3,0,440.533,0.659371,0.667047,1.51621
-369.063,0,14.3855,0,1,1,370.228,0.659371,0.667047,1.51621
-369.063,0,2.43117,0,1,1,370.071,0.659371,0.667047,1.51621
-369.063,6.30107e-042,0.239791,1,1,0,369.383,0.659371,0.667047,1.51621
-367.48,0.998468,0.0186273,5,31,0,369.485,0.784783,0.681782,2.20309
-367.073,0.999982,0.0256085,4,31,0,367.619,0.731058,0.778343,2.35649
-368.67,0.969612,0.0402151,4,31,0,369.026,0.675109,0.556978,1.61996
-369.025,0.960831,0.0622209,3,7,0,369.099,0.669096,0.546432,1.62796
-369.575,0.973355,0.0982089,2,3,0,369.828,0.775483,0.535753,1.49481
-369.575,0.0279072,0.166031,1,3,1,370.12,0.775483,0.535753,1.49481
-367.466,0.998186,0.0143667,5,39,0,370.277,0.70966,0.673481,1.83441
-367.331,0.998781,0.027068,4,15,0,367.613,0.692751,0.708009,1.97717
-367.08,0.999863,0.0515289,4,15,0,367.436,0.720009,0.750579,2.20628
-367.985,0.691595,0.098697,2,3,0,368.139,0.734136,0.821911,2.06143
-367.415,0.696955,0.0721971,3,15,0,370.279,0.770624,0.898538,2.78124
-367.422,0.999323,0.0541209,1,1,0,367.43,0.771524,0.898614,2.78437
-367.921,0.863775,0.103614,3,7,0,368.135,0.823064,0.800255,2.76387
-367.921,0.102023,0.130226,2,6,1,370.574,0.823064,0.800255,2.76387
-369.307,0.989194,0.0162446,4,31,0,371.135,0.639432,1.0549,2.5937
-369.009,0.940727,0.0302062,3,7,0,371.703,0.682144,1.00347,2.29334
-368.666,0.973058,0.0481978,3,7,0,369.716,0.853214,0.790164,2.62755
-372.121,0.861051,0.0840622,2,3,0,372.769,0.934301,0.720042,3.63951
-368.298,0.231585,0.104682,2,7,0,373.441,0.633079,0.823767,2.11919
-367.97,0.998435,0.0208549,3,7,0,368.537,0.644936,0.803864,2.08402
-369.275,0.936619,0.0389439,3,15,0,369.979,0.800546,0.67846,1.83115
-367.608,0.905716,0.0603309,2,3,0,370.014,0.74145,0.625536,2.01111
-368.013,0.760025,0.0850192,2,3,0,368.656,0.688234,0.722516,1.76027
-368.28,0.996517,0.0791296,3,15,0,369.251,0.7106,0.55782,1.70623
-368.28,0.00111696,0.14249,1,1,0,368.72,0.7106,0.55782,1.70623
-367.776,0.997671,0.0162606,4,23,0,368.981,0.71493,0.608186,1.86327
-367.971,0.998868,0.0294765,3,11,0,368.471,0.744042,0.578937,1.87284
-370.26,0.973074,0.0530834,4,31,0,370.649,0.665193,1.21013,3.13479
-369.288,0.913988,0.0883213,3,7,0,371.085,0.780075,1.15742,3.61247
-369.628,0.480858,0.12445,2,3,0,370.459,0.790468,0.979226,3.78726
-369.426,1,0.0553274,5,31,0,369.634,0.802574,0.993904,3.77261
-367.755,0.925908,0.0975577,3,15,0,369.878,0.739246,0.755679,1.96592
-367.755,6.63742e-011,0.140513,1,3,1,373.089,0.739246,0.755679,1.96592
-367.756,0.998901,0.0183154,3,15,0,368.072,0.699905,0.696777,2.19965
-367.707,0.999765,0.0320431,4,23,0,368.311,0.768604,0.844457,2.30898
-367.413,0.911595,0.055698,2,3,0,368.609,0.751556,0.832338,2.27417
-367.448,1,0.0768049,2,7,0,367.723,0.687382,0.742591,2.16628
-367.448,0.225914,0.131584,1,3,0,368.137,0.687382,0.742591,2.16628
-368.185,0.997625,0.0324753,3,7,0,368.34,0.682399,0.767839,1.81617
-367.518,0.993532,0.0552066,2,7,0,369.539,0.74073,0.634307,1.87961
-368.516,0.512135,0.0921879,1,1,0,368.651,0.773037,0.665589,1.7952
-367.493,1,0.0472211,2,7,0,368.703,0.705909,0.687587,1.83361
-369.505,0.881629,0.0795834,2,3,0,369.917,0.604884,0.650235,1.47737
-367.709,0.338095,0.100145,3,7,0,370.456,0.782469,0.702609,2.51086
-367.113,0.995355,0.0342817,3,7,0,367.861,0.761391,0.762216,2.33903
-367.692,0.982328,0.0566302,3,7,0,367.783,0.788497,0.722826,2.58159
-368.844,0.634056,0.0900957,2,7,0,369.211,0.849288,0.741737,2.3557
-368.221,0.997034,0.0630189,3,11,0,369.752,0.672328,0.687739,1.65978
-370.265,0.181345,0.103013,3,7,0,377.569,0.719784,0.434668,1.29402
-370.286,0.98557,0.0253959,2,7,0,370.937,0.70295,0.436909,1.31699
-370.425,0.918435,0.0404014,3,7,0,372.589,0.778632,0.424791,1.53402
-369.805,0.930037,0.0548114,3,11,0,372.224,0.580114,0.785773,1.80136
-368.024,1,0.0760401,2,7,0,372.167,0.80869,0.933804,2.96346
-368.024,0.00205511,0.122989,2,3,0,370.616,0.80869,0.933804,2.96346
-368.606,0.99444,0.0211488,4,15,0,368.701,0.722009,0.948208,3.1544
-368.292,0.999399,0.0338401,4,19,0,369.907,0.659865,0.657284,1.91619
-367.68,0.994762,0.0544286,2,7,0,368.864,0.728915,0.610683,1.79882
-370.847,0.580724,0.0861555,3,11,0,373.821,0.736358,1.25767,3.99895
-368.171,0.999003,0.0548338,3,7,0,371.141,0.737284,0.928791,3.09126
-367.53,1,0.0871062,1,3,0,368.181,0.745048,0.955616,2.82054
-367.53,8.35479e-005,0.137919,1,1,0,368.565,0.745048,0.955616,2.82054
-368.81,0.989408,0.0253081,4,15,0,370.138,0.690673,1.09991,2.99276
-368.785,0.973887,0.039233,4,23,0,370.977,0.800176,0.542344,1.76751
-367.915,1,0.0585509,3,7,0,368.786,0.698124,0.60776,1.66899
-370.108,0.501241,0.0919231,1,3,0,370.778,0.797746,0.566938,1.54906
-368.219,0.987717,0.0503057,3,15,0,373.007,0.801678,0.589939,2.00763
-368.563,0.550224,0.0766444,2,7,0,371.344,0.753419,0.52515,1.70077
-368.078,0.894981,0.0467776,4,23,0,371.156,0.664847,0.89113,2.13672
-368.027,0.968732,0.0585693,3,7,0,370.371,0.697762,1.01424,2.75254
-367.854,0.883951,0.0851472,2,3,0,368.391,0.747432,1.01021,2.83766
-368.007,0.710839,0.10364,2,7,0,369.91,0.778586,0.621063,1.85832
-368.599,0.940928,0.088463,1,3,0,369.156,0.806424,0.560101,1.87798
-368.599,0.0337126,0.120569,2,5,0,370.243,0.806424,0.560101,1.87798
-368.163,0.961573,0.0262743,4,31,0,370.682,0.745558,0.917891,2.32361
-367.789,0.99751,0.0374273,3,11,0,368.347,0.713881,0.818958,2.65253
-368.238,0.683848,0.0570757,2,3,0,371.561,0.8366,0.830202,2.891
-368.03,0.999283,0.0464641,3,7,0,368.453,0.782482,0.81769,2.98615
-367.268,0.937712,0.0707248,3,15,0,369.978,0.720641,0.679611,2.02333
-368.812,0.848933,0.0949711,2,3,0,368.881,0.646785,0.820502,1.82863
-368.439,0.486161,0.106859,2,7,0,370.265,0.722862,0.557076,1.83867
-371.731,0.761966,0.0591945,3,15,0,374.986,0.635113,1.10452,3.26191
