# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 08:33:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\t9c3yajv.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.6\realisation9\exponential_priors-20240423093305.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-398.255,0.947369,0.0625,4,19,0,445.47,1.27068,0.0379672,193.136
-398.255,0,13.0727,0,1,1,399.716,1.27068,0.0379672,193.136
-398.255,0,2.14753,0,1,1,401.485,1.27068,0.0379672,193.136
-398.255,2.75476e-158,0.208413,1,2,1,399.574,1.27068,0.0379672,193.136
-395.547,0.999963,0.0160266,7,135,0,400.276,1.00978,4.2084,51.2581
-395.23,0.999542,0.0219873,2,3,0,395.67,1.02281,4.21912,51.0446
-393.909,0.997866,0.0343404,4,15,0,395.864,1.05247,4.0412,55.2571
-392.977,1,0.057864,2,3,0,393.971,1.1326,3.68589,53.9435
-391.665,0.489456,0.103224,3,7,0,392.883,1.12201,3.27639,62.5834
-391.1,0.932872,0.0378684,5,31,0,392.692,1.06694,1.89183,84.5651
-380.175,0.993483,0.0572,5,63,0,393.593,0.357086,0.41884,0.592413
-380.424,0.253346,0.106013,3,7,0,383.629,0.357351,0.327243,0.517155
-374.161,0.999996,0.0192159,5,39,0,380.887,0.917071,0.319753,1.40171
-374.985,0.97367,0.0369818,2,3,0,375.13,0.944201,0.313083,1.39978
-375.074,0.682407,0.0655415,2,3,0,378.281,0.898357,0.281852,1.34634
-374.556,0.993939,0.0469948,4,15,0,376.736,0.565021,0.990515,2.09779
-370.362,1,0.08858,3,7,0,375.978,0.870487,0.840262,2.91817
-370.362,2.02935e-015,0.168969,1,1,0,374.398,0.870487,0.840262,2.91817
-370.071,0.992817,0.0154407,4,15,0,371.302,0.740655,0.745857,2.52589
