# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 10:28:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\kav9y3fp.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.8\realisation0\exponential_priors-20240423112852.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-278.712,1,0.0625,1,1,0,326.694,0.827168,0.665758,1.72024
-278.712,0,14.3855,0,1,1,280.048,0.827168,0.665758,1.72024
-278.712,0,2.43117,0,1,1,278.931,0.827168,0.665758,1.72024
-278.712,0,0.239791,0,1,1,279.688,0.827168,0.665758,1.72024
-278.068,1,0.0186273,2,3,0,278.796,0.837568,0.670579,1.72334
-278.845,0.969654,0.0257257,2,7,0,282.965,0.816318,0.806968,1.40043
-278.928,0.704373,0.0368211,2,7,0,285.375,0.918465,0.8445,1.5399
-277.33,1,0.0249148,3,7,0,279.469,0.781798,0.728246,1.6658
-273.816,0.998808,0.0440854,3,11,0,277.926,0.97377,0.881816,2.34271
-273.594,0.834255,0.0804563,2,3,0,274.181,0.932996,0.912562,2.28942
-273.594,0.000529425,0.0890629,1,1,0,275.153,0.932996,0.912562,2.28942
-273.251,0.999492,0.00716651,3,15,0,273.842,0.958096,0.924918,2.2532
-273.953,0.995712,0.0137282,4,31,0,274.59,0.889927,1.01055,2.08114
-273.326,0.999369,0.0261067,3,7,0,274.001,0.903441,0.957253,2.18093
-273.469,0.932634,0.0502241,3,7,0,276.357,0.986205,0.871636,2.16983
-275.52,0.374513,0.0783218,3,7,0,276.793,0.905866,1.18502,2.33077
-275.508,0.99288,0.0218725,3,7,0,276.098,0.855153,1.07648,2.5995
-273.823,0.970802,0.0412497,3,15,0,276.171,0.889519,1.0344,2.41273
-273.933,0.958013,0.0722295,3,7,0,274.046,0.960021,0.923507,2.45074
-275.327,0.103955,0.120835,2,5,1,276.354,1.09546,0.812142,2.15576
-275.381,0.998824,0.0157293,3,15,0,276.525,1.0958,0.777707,2.19911
-275.34,0.993987,0.0298834,3,15,0,278.425,0.836129,1.19337,2.50818
-273.327,1,0.0554297,3,7,0,275.535,0.922527,1.01467,2.30397
-273.327,0.00052103,0.10361,1,3,0,275.96,0.922527,1.01467,2.30397
-273.605,0.999477,0.010759,5,31,0,273.672,0.910172,1.06283,2.32384
-275.073,0.962688,0.020167,3,11,0,276.997,1.0631,0.931339,2.80411
-273.646,0.99855,0.0337105,4,15,0,275.436,1.01331,0.948377,2.29679
-274.035,0.974296,0.0617953,3,7,0,274.815,1.03375,0.867542,2.3733
-275.214,0.467931,0.104817,2,7,0,277.184,1.06113,1.1909,3.16499
-276.003,0.986644,0.0435291,2,3,0,276.187,1.08986,1.20293,3.39701
-276.003,0.173784,0.075935,1,1,0,277.641,1.08986,1.20293,3.39701
-274.157,0.999808,0.0144315,5,39,0,276.278,0.848542,0.843844,1.86468
-274.604,0.984553,0.0260811,4,15,0,275.269,0.896574,0.753997,1.83555
-274.882,0.985047,0.0448165,3,7,0,275.307,0.872728,0.751827,1.79544
-273.989,0.523051,0.0764364,4,15,0,275.721,0.979922,0.799084,1.9184
-274.531,0.930392,0.0383591,2,3,0,274.791,0.990941,0.823215,1.87046
-273.296,0.999887,0.0563109,3,15,0,274.699,0.955438,0.997435,2.30585
-273.961,0.657943,0.0983521,2,3,0,274.2,0.869979,1.07218,2.26442
-273.961,0.40003,0.0707548,2,7,0,278.324,0.869979,1.07218,2.26442
-274.552,0.981365,0.0265053,3,7,0,275.213,0.817466,1.03666,2.13017
-273.352,0.965461,0.0438491,3,7,0,274.856,0.913895,0.999227,2.22358
-275.24,0.892334,0.0691699,3,7,0,275.931,1.05122,1.13811,3.2086
-275.24,0.443024,0.0903089,2,7,0,279.374,1.05122,1.13811,3.2086
-274.051,0.929941,0.038631,3,15,0,277.245,0.934583,0.912751,2.37995
-274.242,0.769437,0.0553201,3,11,0,276.715,1.03485,0.953796,2.67977
-273.776,0.997923,0.0532724,2,7,0,274.723,0.908774,1.06417,2.26705
-274.351,0.234538,0.0892558,3,7,0,274.959,1.02201,0.815572,1.98566
-274.429,0.998799,0.0236641,4,23,0,275.598,0.820319,1.00301,2.12561
-273.531,0.99344,0.0396568,3,7,0,274.96,0.904591,0.864876,2.02678
-275.583,0.628388,0.0651484,2,5,0,276.472,1.04425,0.904782,2.03487
-273.349,0.940001,0.0449619,2,3,0,276.387,0.939063,0.935081,2.10593
-273.958,0.866895,0.0646717,3,11,0,274.084,1.00968,0.992338,2.29498
-274.991,0.72444,0.0780891,2,7,0,275.34,0.95381,0.874943,2.46016
-275.495,0.980106,0.0676633,3,11,0,275.575,0.817832,0.882147,2.06973
-275.495,7.94053e-009,0.105638,1,1,0,276.176,0.817832,0.882147,2.06973
-273.404,0.996797,0.0175176,3,7,0,276.12,0.950471,0.899232,2.05976
-275.691,0.870702,0.0284764,4,23,0,277.311,0.985849,1.1635,2.41582
-273.825,0.993179,0.0346249,2,3,0,276.131,0.951233,1.04342,2.63897
-274.215,0.946087,0.0552488,2,7,0,275.408,0.926938,1.04712,2.17042
-274.52,0.992216,0.0789221,3,15,0,275.559,0.91218,0.757159,1.88473
-274.52,2.31799e-009,0.124307,1,1,0,275.841,0.91218,0.757159,1.88473
-274.353,0.99882,0.0219462,4,15,0,275.366,0.893273,0.783633,1.90118
-273.585,0.998977,0.0351352,2,7,0,274.802,0.951595,0.830016,1.98021
-274.818,0.854617,0.0559546,2,7,0,278.15,0.939574,0.787536,1.70202
-273.621,0.988935,0.0648624,3,7,0,275.578,0.934483,0.889617,2.23773
-273.621,3.10154e-011,0.100179,1,1,0,276.564,0.934483,0.889617,2.23773
-273.794,0.992459,0.0185857,5,31,0,275.538,0.893375,1.03959,2.42746
-274.537,0.960269,0.0289739,4,23,0,275.175,0.966188,0.969247,2.04768
-273.945,1,0.0419844,1,1,0,274.483,0.952598,0.967983,2.08335
-276.558,0.609698,0.0658631,3,7,0,277.676,0.805843,0.750139,1.75817
-275.294,0.83465,0.0454451,2,5,0,278.321,0.84924,0.81723,1.60973
-275.646,0.769047,0.050263,2,3,0,276.989,0.805554,0.807747,1.83425
-274.092,0.966543,0.0484759,3,7,0,276.301,0.847764,0.878415,1.96944
-274.425,1,0.0702258,2,7,0,274.989,1.01355,0.793192,1.92621
-276.358,0.341338,0.10852,1,3,0,276.585,1.05992,0.668889,1.99586
-275.383,0.984277,0.0436164,3,15,0,277.864,1.03403,0.747776,2.21761
-277.627,0.537436,0.06514,2,3,0,278.29,0.94183,0.728152,2.21396
-274.656,0.99357,0.0393351,3,11,0,278.018,0.892296,1.02999,2.03833
-274.656,0.698218,0.0596294,1,1,0,275.63,0.892296,1.02999,2.03833
-274.061,0.930295,0.0499012,2,3,0,275.405,0.855885,0.997811,2.25931
-275.71,0.721592,0.0663434,2,3,0,276.48,0.798392,1.1192,2.12603
-276.601,0.804946,0.0582044,3,15,0,278.262,1.08524,0.730905,1.82901
-275.782,0.541056,0.0602384,3,7,0,279.803,0.791796,0.765836,1.58268
-275.171,0.955762,0.037159,3,11,0,278.94,1.02719,0.793057,1.85947
-276.184,0.897405,0.0516878,3,15,0,276.648,0.941742,0.754794,2.17744
-278.215,0.640799,0.0639937,2,3,0,279.711,1.14819,0.77893,1.96699
-277.639,0.993462,0.048159,2,3,0,279.764,0.868977,0.69533,1.88039
-274.312,1,0.0715906,1,1,0,276.039,0.91747,0.753805,1.79459
-274.312,0.144885,0.107365,1,3,0,275.926,0.91747,0.753805,1.79459
-277.007,0.823061,0.0314392,2,3,0,277.566,1.03688,0.769038,1.70445
-277.205,0.947738,0.0336992,3,7,0,279.083,0.90234,0.7553,2.1575
-275.019,0.988966,0.0456812,2,7,0,276.934,1.05291,0.837501,2.01804
-276.566,0.455394,0.0667311,1,1,0,277.338,1.09861,0.858867,2.04904
-275.207,0.998362,0.0357706,4,15,0,276.62,0.908586,1.12855,2.22435
-274.605,1,0.0530493,3,9,0,275.6,1.06309,1.0011,2.85054
-275.528,0.650087,0.0786412,1,1,0,275.621,1.03327,0.98669,2.9927
-273.906,0.948862,0.0608414,2,3,0,276.226,1.00045,0.988321,2.65643
-273.347,0.422811,0.081756,3,7,0,274.961,0.944247,0.922134,2.27243
-274.068,0.917895,0.0417744,3,15,0,275.589,0.898157,0.839005,2.06482
-273.932,1,0.0529927,2,3,0,274.121,0.983847,0.85691,1.97731
-273.932,0.0658907,1.24621,1,3,0,275.56,0.983847,0.85691,1.97731
-273.932,0,3.28033,0,1,1,274.162,0.983847,0.85691,1.97731
-274.22,0.994821,0.335128,3,7,0,274.601,0.947352,0.807274,1.80259
-273.758,0.999123,0.351303,3,15,0,275.507,0.878696,1.02044,2.32464
-273.855,0.96511,0.479541,3,15,0,275.628,0.99126,1.11126,2.71251
-274.148,0.448177,0.680883,2,7,0,275.915,0.996955,0.953066,2.13764
-274.429,0.996204,0.214375,4,31,0,275.912,0.900184,0.753097,1.72887
-273.886,0.964847,0.369095,3,15,0,277.576,1.03805,0.904187,2.29751
-274.44,0.87929,0.598928,3,7,0,274.502,0.841764,0.906597,2.08972
-273.44,0.752833,0.758129,2,3,0,274.01,0.899255,0.958081,2.08545
-275.445,0.643558,0.650546,3,7,0,276.253,0.863375,0.73859,1.80106
-274.597,0.978371,0.398221,4,15,0,276.099,1.01563,1.00354,2.2413
-275.261,0.447873,0.705633,3,7,0,276.934,1.10011,1.05145,3.02691
-275.592,0.945396,0.236933,4,23,0,277.084,0.834841,0.9882,1.83756
-273.731,1,0.381033,2,7,0,277.195,0.931491,0.837098,2.08636
-273.731,0.0225712,0.723829,2,7,0,279.241,0.931491,0.837098,2.08636
-273.94,0.999211,0.0675036,5,63,0,274.881,0.917873,0.859754,2.16873
-277.168,0.998886,0.128923,5,31,0,277.664,0.939648,0.601395,1.58497
-276.369,0.999424,0.244056,4,15,0,277.55,0.984711,0.630824,1.58667
-273.785,0.968008,0.458728,2,7,0,279.314,0.881126,0.852672,1.86499
-273.785,0.674907,0.777829,2,7,0,274.331,0.881126,0.852672,1.86499
-273.409,0.864352,0.549967,3,7,0,274.559,0.969382,0.868114,2.12912
-274.617,0.590144,0.681902,2,7,0,275.456,1.01019,0.919218,2.64867
-273.802,0.957964,0.379802,3,11,0,275.625,1.03158,1.01124,2.58691
-273.83,0.851781,0.616872,2,7,0,274.786,1.00698,0.868285,2.3325
-273.643,0.31856,0.733828,1,3,0,275.07,0.922599,0.950693,2.35851
-274.129,0.998594,0.192212,4,31,0,274.331,0.883015,0.973821,1.97589
-274.267,0.987657,0.347868,2,3,0,274.45,0.889465,0.964505,1.94733
-273.257,0.361072,0.60467,3,7,0,276.904,0.946754,0.903245,2.15229
-273.886,0.968682,0.184552,3,7,0,274.463,0.946845,0.95125,2.0478
-274.807,0.998464,0.303379,3,15,0,276.61,0.935526,1.12959,2.88687
-273.773,0.805592,0.53631,3,15,0,276.244,0.91206,0.842507,2.05837
-273.984,0.548942,0.558658,2,5,0,276.635,1.04745,0.896634,2.35913
-274.21,0.96103,0.292927,3,15,0,274.878,0.903198,0.991486,2.01937
-273.398,0.848556,0.462591,2,3,0,274.731,0.909318,0.958667,2.26109
-274.188,0.98863,0.539526,3,7,0,274.449,0.878409,0.79263,1.81559
-274.58,0.22053,0.904565,3,7,0,276.211,0.873614,0.977034,1.92498
-273.884,0.975501,0.206014,3,7,0,275.522,0.892259,0.838547,2.00016
-273.962,0.991909,0.333708,3,7,0,274.235,0.974144,0.851629,1.94075
-275.793,0.692961,0.559454,3,7,0,276.286,0.834445,0.758453,1.81247
-275.871,0.968925,0.436808,3,15,0,277.136,0.852481,1.02159,1.88951
-275.024,0.781838,0.684414,3,7,0,276.831,0.830908,0.792314,1.80296
-275.024,0.0475879,0.668208,3,7,0,280.107,0.830908,0.792314,1.80296
-274.816,1,0.106058,3,7,0,275.068,0.831149,0.799816,1.78512
-273.713,0.99654,0.179382,3,15,0,275.282,0.917335,0.875035,1.90707
-273.543,0.996648,0.29857,4,15,0,273.939,0.877717,0.918313,2.02168
-273.993,0.717588,0.493476,3,15,0,274.869,1.04334,0.999065,2.66274
-273.556,0.998611,0.413883,3,15,0,274.584,1.00809,0.894053,2.28187
-273.556,0.157334,0.680867,1,1,0,274.568,1.00809,0.894053,2.28187
-273.751,0.99915,0.151117,4,31,0,274.523,1.02711,0.922587,2.4449
-273.386,0.992248,0.248874,4,23,0,274.09,0.989423,0.90725,2.24623
-275.773,0.896215,0.400589,4,15,0,277.342,0.943487,1.29978,3.16866
-274.783,1,0.512446,3,7,0,276.167,1.06905,1.06521,2.98232
-274.783,0.0198711,0.830497,3,11,0,275.925,1.06905,1.06521,2.98232
-277.199,0.976579,0.140868,3,7,0,277.574,1.12443,1.00052,3.36725
-275.8,0.984967,0.216815,4,31,0,280.587,1.11948,0.833795,2.22928
-275.493,0.999996,0.338243,3,7,0,276.733,1.0518,0.817033,2.52043
-274.568,1,0.5428,2,3,0,275.262,1.05888,0.841628,2.40786
-274.568,0.176477,0.865966,2,7,1,280.794,1.05888,0.841628,2.40786
-274.91,0.921289,0.219579,3,15,0,277.247,0.945154,0.848808,2.3522
-273.746,0.949851,0.294194,2,7,0,277.338,1.00282,0.847405,2.21856
-274.523,0.992962,0.418231,3,11,0,275.204,0.953822,0.73389,1.76832
-274.523,0.0320464,0.650606,1,1,0,276.933,0.953822,0.73389,1.76832
-276.688,0.99511,0.124583,4,15,0,276.887,0.985864,0.626257,1.53052
-273.298,0.999466,0.19503,4,31,0,278.941,0.918694,0.928465,2.18695
-273.712,0.858831,0.306587,3,15,0,276.111,0.950116,1.11099,2.5601
-273.576,0.830629,0.354962,2,3,0,275.211,0.984495,1.06558,2.57688
-273.634,0.939103,0.386386,3,11,0,274.129,0.957536,0.943866,2.09529
-273.914,0.900292,0.528475,2,7,0,274.489,0.940447,0.844215,2.17686
-274.064,0.593006,0.663846,3,7,0,275.292,0.983602,1.1345,2.60291
-274.167,0.967988,0.437396,2,3,0,274.608,0.91817,1.13349,2.68662
