# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 10:36:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\u1km_9_n.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.8\realisation1\exponential_priors-20240423113647.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-273.863,1,0.0625,1,1,0,315.004,0.746777,0.637896,1.71148
-273.863,0,14.3855,0,1,1,276.675,0.746777,0.637896,1.71148
-273.863,0,2.43117,0,1,1,278.196,0.746777,0.637896,1.71148
-273.863,0,0.239791,0,1,1,275.842,0.746777,0.637896,1.71148
-264.69,0.990963,0.0186273,4,15,0,276.081,0.991247,0.933024,1.77852
-261.042,1,0.0250418,3,7,0,264.992,0.9042,0.80587,1.84583
-261.397,0.973457,0.0393036,3,15,0,262.125,0.916175,0.696709,1.62454
-264.975,0.817401,0.0615194,2,7,0,267.332,0.702987,0.925873,1.48062
-261.085,1,0.0618611,3,7,0,264.616,0.876382,0.875235,1.73664
-261.085,0.000235935,0.113508,1,3,0,264.251,0.876382,0.875235,1.73664
-262.033,0.99465,0.00899425,5,63,0,263.48,0.779529,0.733448,1.49368
-261.164,0.989425,0.0167665,5,47,0,263.425,0.968936,0.835549,1.82607
-260.873,0.971432,0.0310362,2,3,0,261.586,0.942019,0.824967,1.79538
-261.116,0.989976,0.0544982,2,3,0,261.129,0.946869,0.795859,1.89245
-261.116,0.00205994,0.101407,1,3,0,262.207,0.946869,0.795859,1.89245
-262.653,0.998853,0.0088089,5,31,0,263.81,0.791325,0.957357,1.70317
-263.924,0.997667,0.0170534,4,15,0,264.622,0.70555,0.912555,1.7079
-262.789,0.991652,0.0326951,3,15,0,266.152,0.752795,0.787429,1.36456
-261.697,1,0.0610943,3,15,0,263.402,1.02393,0.863653,2.12059
