# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 10:43:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\2tjqf2ke.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.8\realisation2\exponential_priors-20240423114306.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-196.623,1,0.0625,3,11,0,232.343,1.29335,0.8162,2.11335
-196.623,0,14.3855,0,1,1,197.269,1.29335,0.8162,2.11335
-196.623,0,2.43117,0,1,1,198.654,1.29335,0.8162,2.11335
-196.623,0,0.239791,0,1,1,196.81,1.29335,0.8162,2.11335
-191.59,0.997428,0.0186273,3,7,0,198.148,1.17452,0.822323,1.96205
-189.863,1,0.0255293,4,15,0,192.282,0.642693,1.48985,2.58907
-187.063,1,0.0400895,2,3,0,189.867,0.691778,1.52381,2.41437
-187.063,0.0822722,0.0681764,2,3,0,188.747,0.691778,1.52381,2.41437
-182.032,0.999999,0.00680966,6,63,0,187.342,0.96304,1.3031,2.62174
-181.833,0.998615,0.0123623,4,31,0,182.313,0.922374,1.35163,2.71574
-181.91,0.996216,0.0229528,3,7,0,181.93,0.93987,1.35323,2.68246
-182.723,0.917205,0.0429534,3,11,0,183.343,0.821158,1.31393,2.27797
-182.405,0.996397,0.0631569,2,7,0,183.68,0.844119,1.38937,2.49085
-182.405,0.0987796,0.119554,1,3,0,184.246,0.844119,1.38937,2.49085
-181.907,0.999608,0.0137582,5,47,0,183.795,0.917102,1.38836,2.73429
-182.14,0.979706,0.0266195,3,7,0,182.467,0.969018,1.37101,2.80766
-183.225,0.972677,0.0482142,3,15,0,183.937,0.790672,1.07244,1.90729
-186.052,0.516389,0.0849884,2,3,0,187.015,0.686602,1.07206,1.70608
-186.077,1,0.0373388,3,7,0,187.47,0.703587,0.946828,1.61722
-186.077,0.00919792,0.071245,3,15,0,189.248,0.703587,0.946828,1.61722
-185.296,0.999966,0.00702204,6,63,0,187.223,0.952608,0.872361,1.86932
-185.212,0.997357,0.0134766,4,15,0,186.47,0.909292,0.87314,1.7275
-181.94,0.985316,0.025416,4,15,0,186.168,0.851877,1.32031,2.45515
-184.391,0.718983,0.0458261,3,11,0,184.999,0.995234,1.51954,2.81594
-184.386,0.994741,0.0379913,3,7,0,186.327,0.952607,1.62895,2.96045
-182.369,0.903793,0.0695018,1,3,0,184.097,0.937492,1.47657,2.88883
-182.369,0.246839,0.0972934,1,3,0,183.036,0.937492,1.47657,2.88883
