# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 10:56:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\qyfiv38c.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.8\realisation3\exponential_priors-20240423115659.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-296.99,1,0.0625,2,3,0,348.632,0.853062,0.675362,1.70848
-296.99,0,14.3855,0,1,1,297.287,0.853062,0.675362,1.70848
-296.99,0,2.43117,0,1,1,297.469,0.853062,0.675362,1.70848
-296.99,0,0.239791,1,2,1,299.512,0.853062,0.675362,1.70848
-297.939,0.963765,0.0186273,3,15,0,300.701,0.77735,0.696015,1.57796
-297.202,0.990934,0.0230914,5,39,0,302.613,0.789067,0.983912,2.14546
-297.252,0.995747,0.0351731,3,15,0,297.774,0.787866,0.954039,2.12369
-297.071,0.912405,0.0589009,2,3,0,298.172,0.889029,1.01408,2.03752
-296.178,0.934188,0.0798018,2,7,0,296.839,0.843641,1.02029,2.1858
-296.178,0.000312946,0.119097,2,3,0,297.436,0.843641,1.02029,2.1858
-296.37,0.988672,0.00943999,5,55,0,298.786,0.964771,0.933943,2.8082
-295.243,1,0.0172673,3,7,0,296.484,0.989317,0.945011,2.67391
-297.312,0.976634,0.0330426,3,15,0,298.071,0.834079,1.04147,2.04801
-296.44,0.834738,0.0589592,2,3,0,298.73,0.844169,0.834942,2.08776
-298.514,0.390555,0.0675824,1,1,0,299.115,0.812641,0.824223,2.14538
-298.619,0.99795,0.0196138,4,31,0,299.604,1.01925,1.00893,2.15761
-299.145,0.992587,0.0376562,3,15,0,299.797,1.11924,0.767582,1.92856
-295.844,1,0.0706682,3,11,0,298.246,0.928808,1.02716,2.26206
-295.844,0.000832405,0.134627,1,3,0,299.057,0.928808,1.02716,2.26206
-295.75,0.997898,0.0126123,4,15,0,296.354,0.918843,0.961211,2.58466
-297.901,0.993409,0.0240365,4,31,0,300.805,0.781726,0.694565,1.59006
-297.916,0.863944,0.0447817,3,7,0,299.601,0.876791,0.642342,1.77564
-298.522,0.995937,0.0565412,3,15,0,300.119,0.93127,0.519279,1.35272
