# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 11:04:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\dfneaxap.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_exponential_priors\p=0.8\realisation4\exponential_priors-20240423120445.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-326.758,1,0.0625,2,3,0,381.866,0.767998,0.564565,1.46439
-326.758,0,14.3855,0,1,1,330.697,0.767998,0.564565,1.46439
-326.758,0,2.43117,0,1,1,331.755,0.767998,0.564565,1.46439
-326.758,0,0.239791,0,1,1,328.904,0.767998,0.564565,1.46439
-324.032,0.999471,0.0186273,4,31,0,327.574,1.03621,0.538598,1.55971
-326.204,0.991321,0.0256852,5,31,0,326.82,1.04095,0.439708,1.26645
-323.519,1,0.039283,4,15,0,326.594,0.829706,0.650218,1.64006
-322.862,0.992298,0.0667824,3,15,0,323.692,0.944319,0.656583,2.04197
-322.862,6.59906e-008,0.116445,1,1,0,323.908,0.944319,0.656583,2.04197
-322.641,0.999994,0.0091118,6,95,0,324.048,0.946772,0.913902,2.65419
-323.537,0.990214,0.0169843,5,63,0,324.55,0.90324,0.594423,1.76099
-323.76,0.978948,0.031198,1,1,0,323.795,0.896761,0.59353,1.76706
-323.068,0.779055,0.0557713,2,5,0,326.094,0.846452,0.650126,1.57959
-324.053,0.982149,0.0534385,3,15,0,324.603,1.04168,0.570501,2.13827
-324.533,0.103129,0.0970481,2,7,0,325.346,1.01196,0.549038,2.04575
-323.946,0.997095,0.0115335,4,15,0,325.615,1.00625,0.545026,1.9068
-322.249,0.999445,0.0221662,5,31,0,325.115,0.952537,0.746835,2.23597
-322.377,0.997841,0.042646,4,15,0,322.612,0.937411,0.753571,1.86861
-322.072,0.56874,0.0810302,3,11,0,323.235,1.00754,0.764933,2.19879
-323.285,0.837051,0.0420252,2,3,0,323.585,1.05339,0.792245,2.16309
-323.344,0.993355,0.0490932,2,7,0,323.968,0.931018,0.803399,2.53026
-322.142,0.496533,0.0909055,2,7,0,323.452,0.975933,0.755201,2.3016
-322.81,0.964297,0.0388589,4,19,0,323.481,0.964979,0.701616,1.75116
-322.441,0.994417,0.0656743,2,7,0,324.275,0.889163,0.765683,1.84341
-322.581,0.140524,0.120045,2,6,1,323.691,0.986858,0.662342,1.77509
-322.581,0.999487,0.0189427,5,47,0,323.698,0.987188,0.884178,2.7718
-322.554,0.996476,0.0351619,3,11,0,323.318,1.05771,0.833197,2.75229
-322.621,0.825383,0.0640586,3,7,0,323.766,1.0184,0.764968,2.58881
-322.501,0.705201,0.0717479,2,7,0,323.673,0.984629,0.897554,2.3641
-323.764,0.783123,0.0575586,3,15,0,326.485,1.02057,0.525646,1.57228
-323.397,0.989312,0.0573721,3,7,0,324.211,0.827541,0.648464,1.57626
-323.397,0.0294343,0.10012,2,7,0,324.666,0.827541,0.648464,1.57626
-323.073,0.998732,0.0130446,5,63,0,325.237,1.074,0.706558,2.1124
-322.033,0.981211,0.0234118,3,15,0,324.513,0.976658,0.7237,2.14857
-322.702,0.999423,0.0397325,4,23,0,323.142,0.992389,0.964087,2.89146
-323.175,0.929111,0.0701377,3,15,0,325.792,0.922939,0.620698,1.50807
-323.175,0.0202417,0.102132,2,3,0,323.952,0.922939,0.620698,1.50807
-323.319,0.999757,0.0140635,5,63,0,324.092,0.818361,0.715662,1.63026
-324.241,0.96315,0.0247087,5,39,0,326.038,1.13644,0.890054,3.54748
-325.297,0.96822,0.0391993,3,15,0,326.755,1.11093,1.04702,4.32278
-324.816,0.982953,0.0625442,3,7,0,326.114,0.997611,1.23227,3.53095
-323.453,0.289292,0.102819,2,7,0,326.402,1.02366,0.98284,3.32633
-323.576,0.998556,0.0297726,2,7,0,324.015,1.06329,0.958885,3.44203
-323.841,0.910339,0.0507609,2,7,0,324.825,1.13626,0.898314,3.0889
-325.188,0.477577,0.0691372,2,3,0,326.64,1.06132,0.858308,3.62215
-324.726,0.993668,0.0326174,3,7,0,325.532,1.17239,0.939256,3.47758
-323.738,0.997225,0.0542749,3,7,0,324.986,1.09222,1.02271,3.19112
-323.864,0.337366,0.0904318,2,3,0,325.675,0.93048,0.984682,2.97442
-324.181,0.971777,0.0309243,4,19,0,325.369,0.946327,0.712788,2.45318
-323.589,0.93072,0.0483383,2,3,0,325.284,1.08455,0.73346,2.1185
-325.656,0.370789,0.0681677,2,3,0,327.374,1.14836,0.669541,2.00943
-323.224,0.993528,0.025789,3,7,0,326.412,0.90487,0.71751,2.15544
-323.591,0.991936,0.0420579,3,7,0,324.405,0.824937,0.752857,1.91506
-323.384,0.998323,0.0678948,2,3,0,323.73,0.928288,0.767552,1.75399
-323.384,0.09686,0.110526,1,3,0,323.588,0.928288,0.767552,1.75399
-322.35,0.972028,0.0228551,3,15,0,325.7,0.925291,0.735115,1.8182
-325.768,0.825297,0.0350654,3,15,0,327.356,0.784838,0.812038,2.10709
-324.863,0.917684,0.0384401,3,7,0,328.115,0.830697,0.81265,2.25539
-322.936,0.989313,0.0517607,2,7,0,325.297,1.05612,0.79115,2.24088
-322.667,1,0.081441,2,7,0,323.32,1.02085,0.731533,2.49579
-322.667,0.283529,0.130479,1,3,0,324.141,1.02085,0.731533,2.49579
-322.28,0.967591,0.042972,4,23,0,324.146,1.04047,0.738895,2.29975
-323.487,0.787272,0.064003,2,3,0,323.586,1.10738,0.74958,2.32981
-323.483,0.944112,0.0640991,2,3,0,324.23,0.909532,0.776098,2.38168
-323.483,0.00405049,0.0900968,1,1,0,325.051,0.909532,0.776098,2.38168
-323.946,0.983065,0.0167145,3,11,0,325.14,1.07278,0.839074,2.27411
-324.82,0.9824,0.0256215,3,15,0,325.453,0.875836,0.714828,2.22188
-322.834,0.985717,0.0390276,2,7,0,326.359,1.06437,0.677469,2.08131
-323.265,0.907697,0.0595817,3,15,0,323.813,0.988709,0.94254,2.35902
-324.632,0.929204,0.0768321,3,7,0,326.725,1.09056,0.631041,2.65447
-322.087,0.402454,0.103339,1,3,0,327.117,0.976467,0.858727,2.38999
-322.304,0.949246,0.0463034,3,15,0,323.163,1.01222,0.722557,2.329
-322.062,0.997813,0.0648697,3,7,0,322.464,0.968197,0.816369,2.38633
-322.062,0.0151046,0.100072,3,7,0,322.721,0.968197,0.816369,2.38633
-322.596,0.998903,0.0205333,4,15,0,322.992,1.06798,0.795562,2.65329
-323.313,0.993987,0.0317844,3,7,0,323.473,1.089,0.724077,2.71836
-322.326,0.999812,0.0484906,3,15,0,323.483,0.899317,0.799315,1.96377
-322.133,0.986608,0.0745259,2,7,0,322.959,0.951301,0.866306,2.35903
-323.422,0.31075,0.111056,1,3,0,325.124,1.11556,0.701408,2.54997
-322.654,0.955036,0.0427327,4,15,0,323.969,0.931547,0.859775,2.07894
-323.153,0.791377,0.0597216,2,3,0,323.541,0.876496,0.800741,2.22395
